"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004891";"ENSDARG00000004891";"8 x 15";"72hpf_pos_gata5.1";"pex19";"peroxisomal biogenesis factor 19 [Source:ZFIN;Acc:ZDB-GENE-050417-424]"
"ENSDARG00000022518";"ENSDARG00000022518";"40 x 18";"24hpf_pos.1";"pex5la";"peroxisomal biogenesis factor 5-like a [Source:ZFIN;Acc:ZDB-GENE-070705-298]"
"ENSDARG00000028322";"ENSDARG00000028322";"39 x 24";"72hpf_pos_tbx5.1";"pex14";"peroxisomal biogenesis factor 14 [Source:ZFIN;Acc:ZDB-GENE-060130-169]"
"ENSDARG00000035149";"ENSDARG00000035149";"17 x 31";"72hpf_neg_gata5";"pex12";"peroxisomal biogenesis factor 12 [Source:ZFIN;Acc:ZDB-GENE-040426-929]"
"ENSDARG00000035895";"ENSDARG00000035895";"12 x 33";"72hpf_neg_tbx5";"fndc5b";"fibronectin type III domain containing 5b [Source:ZFIN;Acc:ZDB-GENE-060503-916]"
"ENSDARG00000041511";"ENSDARG00000041511";"16 x 7";"72hpf_pos";"pex10";"peroxisomal biogenesis factor 10 [Source:ZFIN;Acc:ZDB-GENE-041010-71]"
"ENSDARG00000052734";"ENSDARG00000052734";"2 x 32";"72hpf_neg_tbx5";"hmgcra";"3-hydroxy-3-methylglutaryl-CoA reductase a [Source:ZFIN;Acc:ZDB-GENE-040401-2]"
"ENSDARG00000060707";"ENSDARG00000060707";"40 x 11";"24hpf_pos.1";"pex11a";"peroxisomal biogenesis factor 11 alpha [Source:ZFIN;Acc:ZDB-GENE-050419-121]"
"ENSDARG00000069147";"ENSDARG00000069147";"22 x 13";"72hpf_pos_tbx5.1";"pex11b";"peroxisomal biogenesis factor 11 beta [Source:ZFIN;Acc:ZDB-GENE-060825-289]"
"ENSDARG00000070654";"ENSDARG00000070654";"14 x 29";"48hpf_neg";"pex5";"peroxisomal biogenesis factor 5 [Source:ZFIN;Acc:ZDB-GENE-040426-981]"
"ENSDARG00000074403";"ENSDARG00000074403";"1 x 20";"72hpf_neg_tbx5";"pex5lb";"peroxisomal biogenesis factor 5-like b [Source:ZFIN;Acc:ZDB-GENE-111221-1]"
"ENSDARG00000074876";"ENSDARG00000074876";"19 x 6";"72hpf_neg_gata5";"abcd1";"ATP-binding cassette, sub-family D (ALD), member 1 [Source:ZFIN;Acc:ZDB-GENE-050517-27]"
"ENSDARG00000098904";"ENSDARG00000098904";"34 x 18";"24hpf_pos.1";"pex1";"peroxisomal biogenesis factor 1 [Source:ZFIN;Acc:ZDB-GENE-070530-1]"
"ENSDARG00000101805";"ENSDARG00000101805";"23 x 1";"24hpf_pos";"wu:fe02h09";"wu:fe02h09 [Source:ZFIN;Acc:ZDB-GENE-030131-4872]"
