"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003250";"ENSDARG00000003250";"31 x 1";"24hpf_pos";"pik3cd";"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit delta [Source:ZFIN;Acc:ZDB-GENE-040426-1128]"
"ENSDARG00000018060";"ENSDARG00000018060";"9 x 13";"72hpf_pos_tbx5";"pik3r2";"phosphoinositide-3-kinase, regulatory subunit 2 (beta) [Source:ZFIN;Acc:ZDB-GENE-040309-1]"
"ENSDARG00000034409";"ENSDARG00000034409";"10 x 38";"72hpf_neg_gata5";"pik3r3b";"phosphoinositide-3-kinase, regulatory subunit 3b (gamma) [Source:ZFIN;Acc:ZDB-GENE-040426-743]"
"ENSDARG00000038524";"ENSDARG00000038524";"2 x 21";"72hpf_pos";"pik3r1";"phosphoinositide-3-kinase, regulatory subunit 1 (alpha) [Source:ZFIN;Acc:ZDB-GENE-030131-1280]"
"ENSDARG00000060841";"ENSDARG00000060841";"13 x 14";"72hpf_pos_hand2";"pik3c2a";"phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 alpha [Source:ZFIN;Acc:ZDB-GENE-030328-39]"
"ENSDARG00000075253";"ENSDARG00000075253";"11 x 4";"72hpf_pos.1";"pik3cb";"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit beta [Source:ZFIN;Acc:ZDB-GENE-030131-1904]"
"ENSDARG00000086927";"ENSDARG00000086927";"40 x 26";"48hpf_neg";"pik3c2b";"phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 beta [Source:ZFIN;Acc:ZDB-GENE-050309-145]"
"ENSDARG00000099803";"ENSDARG00000099803";"31 x 30";"72hpf_pos_gata5";"pik3c2g";"phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma [Source:ZFIN;Acc:ZDB-GENE-170327-2]"
"ENSDARG00000100336";"ENSDARG00000100336";"5 x 1";"72hpf_pos_tbx5.1";"pik3r6";"phosphoinositide-3-kinase, regulatory subunit 6a [Source:ZFIN;Acc:ZDB-GENE-170330-1]"
"ENSDARG00000103038";"ENSDARG00000103038";"6 x 28";"72hpf_pos.1";"pik3r3a";"phosphoinositide-3-kinase, regulatory subunit 3a (gamma) [Source:ZFIN;Acc:ZDB-GENE-040426-1978]"
