"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000028354";"ENSDARG00000028354";"11 x 26";"72hpf_pos_gata5.1";"stxbp6l";"syntaxin binding protein 6 (amisyn), like [Source:ZFIN;Acc:ZDB-GENE-040724-16]"
"ENSDARG00000037804";"ENSDARG00000037804";"4 x 28";"72hpf_neg";"phlda3";"pleckstrin homology-like domain, family A, member 3 [Source:ZFIN;Acc:ZDB-GENE-030616-267]"
"ENSDARG00000040466";"ENSDARG00000040466";"1 x 30";"72hpf_pos.1";"vil1";"villin 1 [Source:ZFIN;Acc:ZDB-GENE-040426-799]"
"ENSDARG00000043019";"ENSDARG00000043019";"5 x 17";"72hpf_pos_gata5.1";"exoc1";"exocyst complex component 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1057]"
"ENSDARG00000059906";"ENSDARG00000059906";"5 x 9";"72hpf_pos_hand2.1";"sdc4";"syndecan 4 [Source:ZFIN;Acc:ZDB-GENE-061111-1]"
"ENSDARG00000070320";"ENSDARG00000070320";"23 x 15";"72hpf_pos_tbx5.1";"si:dkey-245p14.4";"si:dkey-245p14.4 [Source:ZFIN;Acc:ZDB-GENE-061207-63]"
"ENSDARG00000075222";"ENSDARG00000075222";"5 x 35";"72hpf_neg_tbx5";"amer2";"APC membrane recruitment protein 2 [Source:ZFIN;Acc:ZDB-GENE-070719-5]"
"ENSDARG00000079624";"ENSDARG00000079624";"21 x 39";"24hpf_neg";"amer1";"APC membrane recruitment protein 1 [Source:ZFIN;Acc:ZDB-GENE-070719-2]"
"ENSDARG00000088862";"ENSDARG00000088862";"38 x 27";"24hpf_pos";"";"syntaxin binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19666]"
"ENSDARG00000091777";"ENSDARG00000091777";"38 x 21";"24hpf_neg";"mapkap1";"mitogen-activated protein kinase associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-041111-178]"
"ENSDARG00000095819";"ENSDARG00000095819";"11 x 33";"72hpf_neg_hand2";"si:dkey-231j24.3";"si:dkey-231j24.3 [Source:ZFIN;Acc:ZDB-GENE-030131-8217]"
