"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000034080";"ENSDARG00000034080";"3 x 28";"72hpf_neg";"plcd1b";"phospholipase C, delta 1b [Source:ZFIN;Acc:ZDB-GENE-030131-9435]"
"ENSDARG00000038442";"ENSDARG00000038442";"28 x 34";"24hpf_pos.1";"";"phospholipase C, gamma 1 [Source:ZFIN;Acc:ZDB-GENE-030421-3]"
"ENSDARG00000040684";"ENSDARG00000040684";"16 x 1";"72hpf_pos_gata5.1";"plcd4b";"phospholipase C, delta 4b [Source:ZFIN;Acc:ZDB-GENE-080512-3]"
"ENSDARG00000052957";"ENSDARG00000052957";"1 x 22";"72hpf_neg";"plcd3a";"phospholipase C, delta 3a [Source:ZFIN;Acc:ZDB-GENE-070620-1]"
"ENSDARG00000056805";"ENSDARG00000056805";"9 x 36";"72hpf_neg_gata5";"";"phospholipase C, eta 2b [Source:ZFIN;Acc:ZDB-GENE-101112-1]"
"ENSDARG00000057975";"ENSDARG00000057975";"9 x 24";"72hpf_pos.1";"plcd4a";"phospholipase C, delta 4a [Source:ZFIN;Acc:ZDB-GENE-050208-654]"
"ENSDARG00000059123";"ENSDARG00000059123";"33 x 36";"72hpf_neg";"plcd1a";"phospholipase C, delta 1a [Source:ZFIN;Acc:ZDB-GENE-071004-78]"
"ENSDARG00000059960";"ENSDARG00000059960";"2 x 39";"72hpf_neg_tbx5";"plch2a";"phospholipase C, eta 2a [Source:ZFIN;Acc:ZDB-GENE-030131-6367]"
"ENSDARG00000062575";"ENSDARG00000062575";"6 x 29";"72hpf_neg_tbx5";"si:ch211-210g13.5";"si:ch211-210g13.5 [Source:ZFIN;Acc:ZDB-GENE-030131-5675]"
"ENSDARG00000067676";"ENSDARG00000067676";"40 x 25";"24hpf_pos.1";"plcl1";"phospholipase C-like 1 [Source:ZFIN;Acc:ZDB-GENE-090313-194]"
"ENSDARG00000068246";"ENSDARG00000068246";"8 x 11";"72hpf_pos_hand2.1";"plcb3";"phospholipase C, beta 3 (phosphatidylinositol-specific) [Source:ZFIN;Acc:ZDB-GENE-030616-594]"
"ENSDARG00000068763";"ENSDARG00000068763";"10 x 1";"72hpf_pos_hand2.1";"plcg2";"phospholipase C, gamma 2 [Source:ZFIN;Acc:ZDB-GENE-030131-9532]"
"ENSDARG00000079253";"ENSDARG00000079253";"33 x 40";"24hpf_neg";"plch1";"phospholipase C, eta 1 [Source:ZFIN;Acc:ZDB-GENE-060503-398]"
"ENSDARG00000079572";"ENSDARG00000079572";"15 x 40";"48hpf_pos.1";"plcd3b";"phospholipase C, delta 3b [Source:ZFIN;Acc:ZDB-GENE-081222-2]"
"ENSDARG00000087921";"ENSDARG00000087921";"16 x 36";"72hpf_pos_hand2";"plce1";"phospholipase C, epsilon 1 [Source:ZFIN;Acc:ZDB-GENE-061212-4]"
"ENSDARG00000090381";"ENSDARG00000090381";"18 x 33";"72hpf_neg_gata5";"";""
"ENSDARG00000092862";"ENSDARG00000092862";"40 x 1";"24hpf_pos.1";"";"si:ch211-260p9.3 [Source:ZFIN;Acc:ZDB-GENE-050419-185]"
"ENSDARG00000098826";"ENSDARG00000098826";"13 x 12";"72hpf_pos_tbx5";"LOC100334276";"phospholipase C-like 2 [Source:ZFIN;Acc:ZDB-GENE-120426-4]"
"ENSDARG00000100786";"ENSDARG00000100786";"15 x 25";"72hpf_neg_hand2";"LOC100537538";"phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]"
