"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000010002";"ENSDARG00000010002";"25 x 24";"72hpf_neg_tbx5";"gna11a";"guanine nucleotide binding protein (G protein), alpha 11a (Gq class) [Source:ZFIN;Acc:ZDB-GENE-050208-597]"
"ENSDARG00000011091";"ENSDARG00000011091";"14 x 29";"72hpf_neg_hand2";"drd2b";"dopamine receptor D2b [Source:ZFIN;Acc:ZDB-GENE-030910-2]"
"ENSDARG00000011487";"ENSDARG00000011487";"1 x 19";"72hpf_neg_hand2";"gnaq";"guanine nucleotide binding protein (G protein), q polypeptide [Source:ZFIN;Acc:ZDB-GENE-081104-25]"
"ENSDARG00000014858";"ENSDARG00000014858";"21 x 33";"72hpf_neg_gata5";"drd2l";"dopamine receptor D2 like [Source:ZFIN;Acc:ZDB-GENE-030910-1]"
"ENSDARG00000016364";"ENSDARG00000016364";"2 x 26";"72hpf_neg";"gna15.1";"guanine nucleotide binding protein (G protein), alpha 15 (Gq class), tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-040801-146]"
"ENSDARG00000024873";"ENSDARG00000024873";"15 x 18";"72hpf_pos_gata5";"LOC563567";""
"ENSDARG00000025013";"ENSDARG00000025013";"19 x 33";"72hpf_neg_gata5";"gna14a";"guanine nucleotide binding protein (G protein), alpha 14a [Source:ZFIN;Acc:ZDB-GENE-081105-76]"
"ENSDARG00000035178";"ENSDARG00000035178";"8 x 18";"72hpf_pos.1";"gna14";"guanine nucleotide binding protein (G protein), alpha 14 [Source:ZFIN;Acc:ZDB-GENE-040808-7]"
"ENSDARG00000037576";"ENSDARG00000037576";"9 x 19";"72hpf_pos.1";"";"dopamine receptor D5 [Source:HGNC Symbol;Acc:HGNC:3026]"
"ENSDARG00000038918";"ENSDARG00000038918";"13 x 29";"72hpf_neg_tbx5";"drd1b";"dopamine receptor D1b [Source:ZFIN;Acc:ZDB-GENE-070524-2]"
"ENSDARG00000040765";"ENSDARG00000040765";"21 x 23";"72hpf_neg_tbx5";"";"dopamine receptor D6b [Source:ZFIN;Acc:ZDB-GENE-121214-145]"
"ENSDARG00000053326";"ENSDARG00000053326";"1 x 17";"72hpf_neg_tbx5";"gna11b";"guanine nucleotide binding protein (G protein), alpha 11b (Gq class) [Source:ZFIN;Acc:ZDB-GENE-041121-9]"
"ENSDARG00000056284";"ENSDARG00000056284";"16 x 26";"72hpf_neg_hand2";"drd7";"dopamine receptor D7 [Source:ZFIN;Acc:ZDB-GENE-060526-372]"
"ENSDARG00000056926";"ENSDARG00000056926";"26 x 13";"48hpf_pos.1";"drd2a";"dopamine receptor D2a [Source:ZFIN;Acc:ZDB-GENE-021119-2]"
"ENSDARG00000071416";"ENSDARG00000071416";"6 x 23";"72hpf_pos.1";"gna15.4";"guanine nucleotide binding protein (G protein), alpha 15 (Gq class), tandem duplicate 4 [Source:ZFIN;Acc:ZDB-GENE-050208-781]"
"ENSDARG00000071640";"ENSDARG00000071640";"15 x 19";"72hpf_pos_gata5";"drd1a";"dopamine receptor D1a [Source:ZFIN;Acc:ZDB-GENE-130522-1]"
"ENSDARG00000092481";"ENSDARG00000092481";"22 x 21";"72hpf_pos_hand2.1";"";"si:ch211-207c7.2 [Source:ZFIN;Acc:ZDB-GENE-050208-540]"
"ENSDARG00000092948";"ENSDARG00000092948";"20 x 27";"72hpf_pos_gata5.1";"";"guanine nucleotide binding protein (G protein), alpha 15 (Gq class), tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-050208-700]"
