"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000017141";"ENSDARG00000017141";"32 x 20";"24hpf_pos";"pla2g4ab";"phospholipase A2, group IVAb (cytosolic, calcium-dependent) [Source:ZFIN;Acc:ZDB-GENE-041014-325]"
"ENSDARG00000024546";"ENSDARG00000024546";"22 x 7";"72hpf_pos_gata5";"pla2g4aa";"phospholipase A2, group IVAa (cytosolic, calcium-dependent) [Source:ZFIN;Acc:ZDB-GENE-990415-45]"
"ENSDARG00000033355";"ENSDARG00000033355";"39 x 1";"72hpf_pos_hand2.1";"zgc:101699";"zgc:101699 [Source:ZFIN;Acc:ZDB-GENE-041114-140]"
"ENSDARG00000037042";"ENSDARG00000037042";"11 x 28";"72hpf_neg_hand2";"ddhd1b";"DDHD domain containing 1b [Source:ZFIN;Acc:ZDB-GENE-040724-18]"
"ENSDARG00000042090";"ENSDARG00000042090";"7 x 26";"48hpf_neg";"si:ch73-55i23.1";"si:ch73-55i23.1 [Source:ZFIN;Acc:ZDB-GENE-140106-38]"
"ENSDARG00000056535";"ENSDARG00000056535";"30 x 1";"72hpf_pos_gata5";"pla2g4f.1";"phospholipase A2, group IVF, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-131121-408]"
"ENSDARG00000061413";"ENSDARG00000061413";"4 x 19";"72hpf_pos_hand2.1";"sec23ip";"SEC23 interacting protein [Source:ZFIN;Acc:ZDB-GENE-030131-5259]"
"ENSDARG00000070953";"ENSDARG00000070953";"24 x 26";"72hpf_pos_hand2.1";"pla2g4f.2";"phospholipase A2, group IVF, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-131127-625]"
"ENSDARG00000076765";"ENSDARG00000076765";"14 x 9";"72hpf_pos";"ddhd2";"DDHD domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-080519-4]"
"ENSDARG00000086808";"ENSDARG00000086808";"16 x 40";"72hpf_neg_gata5";"ddhd1a";"DDHD domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-111020-16]"
"ENSDARG00000101721";"ENSDARG00000101721";"21 x 23";"24hpf_pos.1";"LOC101883703";""
