"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000183";"ENSDARG00000000183";"13 x 40";"72hpf_neg_tbx5";"ptpn4b";"protein tyrosine phosphatase, non-receptor type 4b [Source:ZFIN;Acc:ZDB-GENE-030131-6259]"
"ENSDARG00000000631";"ENSDARG00000000631";"3 x 16";"48hpf_pos";"ptpn4a";"protein tyrosine phosphatase, non-receptor type 4a [Source:ZFIN;Acc:ZDB-GENE-030616-449]"
"ENSDARG00000001769";"ENSDARG00000001769";"20 x 34";"24hpf_neg";"ptpra";"protein tyrosine phosphatase, receptor type, A [Source:ZFIN;Acc:ZDB-GENE-020107-1]"
"ENSDARG00000001888";"ENSDARG00000001888";"37 x 11";"24hpf_pos.1";"ppm1ba";"protein phosphatase, Mg2+/Mn2+ dependent, 1Ba [Source:ZFIN;Acc:ZDB-GENE-991102-16]"
"ENSDARG00000002949";"ENSDARG00000002949";"27 x 3";"24hpf_pos";"ppp6c";"protein phosphatase 6, catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-040426-949]"
"ENSDARG00000003486";"ENSDARG00000003486";"27 x 30";"24hpf_pos";"ppp1caa";"protein phosphatase 1, catalytic subunit, alpha isozyme a [Source:ZFIN;Acc:ZDB-GENE-040516-3]"
"ENSDARG00000004988";"ENSDARG00000004988";"3 x 40";"72hpf_neg_hand2";"ppp3ca";"protein phosphatase 3, catalytic subunit, alpha isozyme [Source:ZFIN;Acc:ZDB-GENE-091113-24]"
"ENSDARG00000005754";"ENSDARG00000005754";"14 x 40";"48hpf_neg";"ptprfb";"protein tyrosine phosphatase, receptor type, f, b [Source:ZFIN;Acc:ZDB-GENE-060503-530]"
"ENSDARG00000005786";"ENSDARG00000005786";"21 x 1";"24hpf_pos.1";"ppm1f";"protein phosphatase, Mg2+/Mn2+ dependent, 1F [Source:ZFIN;Acc:ZDB-GENE-051128-2]"
"ENSDARG00000006308";"ENSDARG00000006308";"11 x 9";"72hpf_pos.1";"ptpn18";"protein tyrosine phosphatase, non-receptor type 18 [Source:ZFIN;Acc:ZDB-GENE-050320-12]"
"ENSDARG00000007923";"ENSDARG00000007923";"38 x 12";"24hpf_pos.1";"ptpn1";"protein tyrosine phosphatase, non-receptor type 1 [Source:ZFIN;Acc:ZDB-GENE-980605-23]"
