"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002355";"ENSDARG00000002355";"14 x 9";"72hpf_pos_tbx5";"shpk";"sedoheptulokinase [Source:ZFIN;Acc:ZDB-GENE-060526-357]"
"ENSDARG00000003208";"ENSDARG00000003208";"22 x 33";"72hpf_pos_tbx5.1";"pomk";"protein-O-mannose kinase [Source:ZFIN;Acc:ZDB-GENE-041114-119]"
"ENSDARG00000004059";"ENSDARG00000004059";"10 x 5";"72hpf_pos_tbx5.1";"galk2";"galactokinase 2 [Source:ZFIN;Acc:ZDB-GENE-041114-143]"
"ENSDARG00000019877";"ENSDARG00000019877";"29 x 1";"24hpf_pos.1";"rbks";"ribokinase [Source:ZFIN;Acc:ZDB-GENE-040625-112]"
"ENSDARG00000028088";"ENSDARG00000028088";"3 x 4";"72hpf_pos_gata5";"galk1";"galactokinase 1 [Source:ZFIN;Acc:ZDB-GENE-041010-79]"
"ENSDARG00000038667";"ENSDARG00000038667";"40 x 31";"24hpf_pos.1";"";"FGGY carbohydrate kinase domain containing [Source:ZFIN;Acc:ZDB-GENE-040426-2461]"
"ENSDARG00000038703";"ENSDARG00000038703";"37 x 11";"72hpf_pos_tbx5";"hkdc1";"hexokinase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9801]"
"ENSDARG00000039429";"ENSDARG00000039429";"14 x 1";"48hpf_pos";"adka";"adenosine kinase a [Source:ZFIN;Acc:ZDB-GENE-030425-3]"
"ENSDARG00000039452";"ENSDARG00000039452";"31 x 16";"48hpf_pos.1";"hk1";"hexokinase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2848]"
"ENSDARG00000043260";"ENSDARG00000043260";"24 x 9";"72hpf_pos_gata5.1";"";"xylulokinase homolog (H. influenzae) [Source:ZFIN;Acc:ZDB-GENE-040426-1373]"
"ENSDARG00000053456";"ENSDARG00000053456";"12 x 24";"72hpf_pos.1";"zgc:172295";"zgc:172295 [Source:ZFIN;Acc:ZDB-GENE-080204-72]"
"ENSDARG00000062785";"ENSDARG00000062785";"30 x 30";"24hpf_pos.1";"adpgk2";"ADP-dependent glucokinase 2 [Source:ZFIN;Acc:ZDB-GENE-090609-3]"
"ENSDARG00000062864";"ENSDARG00000062864";"30 x 2";"72hpf_pos_tbx5";"gk5";"glycerol kinase 5 (putative) [Source:ZFIN;Acc:ZDB-GENE-061110-49]"
"ENSDARG00000063525";"ENSDARG00000063525";"37 x 6";"24hpf_pos.1";"adpgk";"ADP-dependent glucokinase [Source:ZFIN;Acc:ZDB-GENE-061103-421]"
"ENSDARG00000068006";"ENSDARG00000068006";"17 x 20";"72hpf_pos_gata5";"gck";"glucokinase (hexokinase 4) [Source:ZFIN;Acc:ZDB-GENE-060825-204]"
"ENSDARG00000070830";"ENSDARG00000070830";"10 x 13";"72hpf_pos.1";"zgc:136858";"zgc:136858 [Source:ZFIN;Acc:ZDB-GENE-060421-6632]"
"ENSDARG00000090821";"ENSDARG00000090821";"39 x 6";"24hpf_pos";"tp53rk";"TP53 regulating kinase [Source:ZFIN;Acc:ZDB-GENE-050522-123]"
"ENSDARG00000095947";"ENSDARG00000095947";"32 x 3";"24hpf_pos";"adkb";"adenosine kinase b [Source:ZFIN;Acc:ZDB-GENE-030131-948]"
"ENSDARG00000101482";"ENSDARG00000101482";"12 x 8";"72hpf_pos_hand2.1";"hk2";"hexokinase 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2017]"
