"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002593";"ENSDARG00000002593";"5 x 1";"72hpf_pos_gata5.1";"slc45a2";"solute carrier family 45, member 2 [Source:ZFIN;Acc:ZDB-GENE-050208-97]"
"ENSDARG00000003732";"ENSDARG00000003732";"3 x 1";"48hpf_pos.1";"mitfa";"microphthalmia-associated transcription factor a [Source:ZFIN;Acc:ZDB-GENE-990910-11]"
"ENSDARG00000006370";"ENSDARG00000006370";"4 x 11";"72hpf_pos";"atp6v1h";"ATPase, H+ transporting, lysosomal V1 subunit H [Source:ZFIN;Acc:ZDB-GENE-021219-2]"
"ENSDARG00000008947";"ENSDARG00000008947";"27 x 36";"24hpf_neg";"";"RTF1 homolog, Paf1/RNA polymerase II complex component [Source:ZFIN;Acc:ZDB-GENE-030131-6778]"
"ENSDARG00000009170";"ENSDARG00000009170";"32 x 13";"24hpf_neg";"ctr9";"CTR9 homolog, Paf1/RNA polymerase II complex component [Source:ZFIN;Acc:ZDB-GENE-030131-3782]"
"ENSDARG00000011665";"ENSDARG00000011665";"15 x 5";"48hpf_pos";"aldoaa";"aldolase a, fructose-bisphosphate, a [Source:ZFIN;Acc:ZDB-GENE-030131-8369]"
"ENSDARG00000021346";"ENSDARG00000021346";"7 x 13";"72hpf_pos.1";"pdhb";"pyruvate dehydrogenase (lipoamide) beta [Source:ZFIN;Acc:ZDB-GENE-040426-2173]"
"ENSDARG00000024540";"ENSDARG00000024540";"3 x 1";"48hpf_pos";"tspan36";"tetraspanin 36 [Source:ZFIN;Acc:ZDB-GENE-040718-248]"
"ENSDARG00000024771";"ENSDARG00000024771";"9 x 23";"24hpf_neg";"slc24a5";"solute carrier family 24 (sodium/potassium/calcium exchanger), member 5 [Source:ZFIN;Acc:ZDB-GENE-031210-1]"
"ENSDARG00000029204";"ENSDARG00000029204";"11 x 25";"24hpf_neg";"tyrp1a";"tyrosinase-related protein 1a [Source:ZFIN;Acc:ZDB-GENE-070718-2]"
"ENSDARG00000033539";"ENSDARG00000033539";"2 x 1";"48hpf_pos";"paics";"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase [Source:ZFIN;Acc:ZDB-GENE-030131-9762]"
"ENSDARG00000039077";"ENSDARG00000039077";"1 x 1";"48hpf_pos.1";"tyr";"tyrosinase [Source:ZFIN;Acc:ZDB-GENE-991026-3]"
