"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004307";"ENSDARG00000004307";"21 x 2";"48hpf_pos";"lypd6";"LY6/PLAUR domain containing 6 [Source:ZFIN;Acc:ZDB-GENE-040912-117]"
"ENSDARG00000016156";"ENSDARG00000016156";"33 x 28";"24hpf_pos";"fam53b";"family with sequence similarity 53, member B [Source:ZFIN;Acc:ZDB-GENE-040426-2495]"
"ENSDARG00000019838";"ENSDARG00000019838";"19 x 38";"72hpf_neg";"ugdh";"UDP-glucose 6-dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-011022-1]"
"ENSDARG00000020527";"ENSDARG00000020527";"37 x 30";"24hpf_pos";"nup62l";"nucleoporin 62 like [Source:ZFIN;Acc:ZDB-GENE-030131-8491]"
"ENSDARG00000020749";"ENSDARG00000020749";"13 x 27";"72hpf_neg_hand2";"caprin2";"caprin family member 2 [Source:ZFIN;Acc:ZDB-GENE-040812-2]"
"ENSDARG00000044216";"ENSDARG00000044216";"1 x 19";"72hpf_pos_tbx5";"fto";"fat mass and obesity associated [Source:ZFIN;Acc:ZDB-GENE-061108-1]"
"ENSDARG00000055381";"ENSDARG00000055381";"27 x 7";"48hpf_pos";"bambia";"BMP and activin membrane-bound inhibitor (Xenopus laevis) homolog a [Source:ZFIN;Acc:ZDB-GENE-010416-1]"
"ENSDARG00000060542";"ENSDARG00000060542";"34 x 39";"72hpf_neg";"lgr4";"Leucine-rich repeat-containing G-protein coupled receptor 4  [Source:UniProtKB/Swiss-Prot;Acc:E7FE13]"
"ENSDARG00000060929";"ENSDARG00000060929";"22 x 38";"24hpf_neg";"rnf220a";"ring finger protein 220a [Source:ZFIN;Acc:ZDB-GENE-060929-1006]"
"ENSDARG00000075183";"ENSDARG00000075183";"9 x 36";"48hpf_neg";"";"ring finger protein 220b [Source:ZFIN;Acc:ZDB-GENE-081104-195]"
"ENSDARG00000079624";"ENSDARG00000079624";"21 x 39";"24hpf_neg";"amer1";"APC membrane recruitment protein 1 [Source:ZFIN;Acc:ZDB-GENE-070719-2]"
"ENSDARG00000091293";"ENSDARG00000091293";"1 x 12";"72hpf_neg_tbx5";"";"Dmx-like 2 [Source:ZFIN;Acc:ZDB-GENE-031007-6]"
"ENSDARG00000099677";"ENSDARG00000099677";"40 x 7";"24hpf_pos";"bambib";"BMP and activin membrane-bound inhibitor homolog (Xenopus laevis) b [Source:ZFIN;Acc:ZDB-GENE-040704-30]"
"ENSDARG00000104340";"ENSDARG00000104340";"7 x 25";"72hpf_pos.1";"rspo1";"R-spondin 1 [Source:ZFIN;Acc:ZDB-GENE-040718-44]"
