"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002445";"ENSDARG00000002445";"35 x 35";"24hpf_pos.1";"prdm1a";"PR domain containing 1a, with ZNF domain [Source:ZFIN;Acc:ZDB-GENE-030131-2193]"
"ENSDARG00000004714";"ENSDARG00000004714";"3 x 30";"72hpf_neg";"tcf12";"transcription factor 12 [Source:ZFIN;Acc:ZDB-GENE-040516-11]"
"ENSDARG00000005915";"ENSDARG00000005915";"34 x 36";"72hpf_neg_gata5";"tcf3a";"transcription factor 3a [Source:ZFIN;Acc:ZDB-GENE-990415-51]"
"ENSDARG00000007278";"ENSDARG00000007278";"38 x 38";"24hpf_pos.1";"ect2";"epithelial cell transforming 2 [Source:ZFIN;Acc:ZDB-GENE-040831-2]"
"ENSDARG00000014302";"ENSDARG00000014302";"4 x 35";"72hpf_neg_tbx5";"brinp2";"bone morphogenetic protein/retinoic acid inducible neural-specific 2 [Source:ZFIN;Acc:ZDB-GENE-070912-621]"
"ENSDARG00000020708";"ENSDARG00000020708";"2 x 40";"72hpf_neg_hand2";"mdkb";"midkine b [Source:ZFIN;Acc:ZDB-GENE-010131-6]"
"ENSDARG00000038386";"ENSDARG00000038386";"17 x 40";"24hpf_neg";"ascl1a";"achaete-scute family bHLH transcription factor 1a [Source:ZFIN;Acc:ZDB-GENE-980526-90]"
"ENSDARG00000043288";"ENSDARG00000043288";"20 x 7";"72hpf_pos_gata5.1";"impact";"impact RWD domain protein [Source:ZFIN;Acc:ZDB-GENE-040927-10]"
"ENSDARG00000056130";"ENSDARG00000056130";"19 x 40";"48hpf_neg";"neurog1";"neurogenin 1 [Source:ZFIN;Acc:ZDB-GENE-990415-174]"
"ENSDARG00000061051";"ENSDARG00000061051";"11 x 34";"72hpf_neg_hand2";"brinp3a.2";"bone morphogenetic protein/retinoic acid inducible neural-specific 3a, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-131119-53]"
"ENSDARG00000075352";"ENSDARG00000075352";"39 x 17";"24hpf_pos.1";"brinp3b";"BMP/retinoic acid inducible neural specific 3 [Source:HGNC Symbol;Acc:HGNC:22393]"
"ENSDARG00000076351";"ENSDARG00000076351";"9 x 36";"72hpf_neg_tbx5";"brinp3a.1";"bone morphogenetic protein/retinoic acid inducible neural-specific 3a, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-080218-16]"
"ENSDARG00000078302";"ENSDARG00000078302";"4 x 37";"72hpf_neg_tbx5";"brinp1";"bone morphogenetic protein/retinoic acid inducible neural-specific 1 [Source:ZFIN;Acc:ZDB-GENE-130530-847]"
"ENSDARG00000099999";"ENSDARG00000099999";"32 x 37";"72hpf_neg";"tcf3b";"transcription factor 3b [Source:ZFIN;Acc:ZDB-GENE-051113-64]"
"ENSDARG00000101540";"ENSDARG00000101540";"29 x 11";"24hpf_neg";"fgf3";"fibroblast growth factor 3 [Source:ZFIN;Acc:ZDB-GENE-980526-178]"
"ENSDARG00000101628";"ENSDARG00000101628";"20 x 40";"24hpf_neg";"ascl1b";"achaete-scute family bHLH transcription factor 1b [Source:ZFIN;Acc:ZDB-GENE-980526-174]"
