"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000008947";"ENSDARG00000008947";"27 x 36";"24hpf_neg";"";"RTF1 homolog, Paf1/RNA polymerase II complex component [Source:ZFIN;Acc:ZDB-GENE-030131-6778]"
"ENSDARG00000010124";"ENSDARG00000010124";"30 x 39";"24hpf_neg";"sp5l";"Sp5 transcription factor-like [Source:ZFIN;Acc:ZDB-GENE-030131-2981]"
"ENSDARG00000011027";"ENSDARG00000011027";"34 x 40";"72hpf_neg";"fgfr1a";"fibroblast growth factor receptor 1a [Source:ZFIN;Acc:ZDB-GENE-980526-255]"
"ENSDARG00000011190";"ENSDARG00000011190";"33 x 40";"24hpf_neg";"fgfr1b";"fibroblast growth factor receptor 1b [Source:ZFIN;Acc:ZDB-GENE-060503-14]"
"ENSDARG00000015472";"ENSDARG00000015472";"4 x 18";"72hpf_pos.1";"gpc4";"glypican 4 [Source:ZFIN;Acc:ZDB-GENE-011119-1]"
"ENSDARG00000015707";"ENSDARG00000015707";"22 x 40";"24hpf_neg";"dvl3a";"dishevelled segment polarity protein 3a [Source:ZFIN;Acc:ZDB-GENE-010319-1]"
"ENSDARG00000018260";"ENSDARG00000018260";"29 x 24";"24hpf_neg";"bmp7a";"bone morphogenetic protein 7a [Source:ZFIN;Acc:ZDB-GENE-000208-25]"
"ENSDARG00000027397";"ENSDARG00000027397";"27 x 40";"48hpf_neg";"vangl2";"VANGL planar cell polarity protein 2 [Source:ZFIN;Acc:ZDB-GENE-020507-3]"
"ENSDARG00000036292";"ENSDARG00000036292";"35 x 19";"24hpf_neg";"cdx4";"caudal type homeobox 4 [Source:ZFIN;Acc:ZDB-GENE-980526-330]"
"ENSDARG00000037238";"ENSDARG00000037238";"28 x 8";"72hpf_pos_tbx5.1";"smad5";"SMAD family member 5 [Source:ZFIN;Acc:ZDB-GENE-990603-9]"
"ENSDARG00000037429";"ENSDARG00000037429";"39 x 39";"24hpf_pos";"tll1";"tolloid-like 1 [Source:ZFIN;Acc:ZDB-GENE-041020-1]"
"ENSDARG00000056012";"ENSDARG00000056012";"26 x 24";"24hpf_neg";"eve1";"even-skipped-like1 [Source:ZFIN;Acc:ZDB-GENE-980526-69]"
"ENSDARG00000056184";"ENSDARG00000056184";"20 x 34";"72hpf_neg_gata5";"dvl2";"dishevelled segment polarity protein 2 [Source:ZFIN;Acc:ZDB-GENE-041118-20]"
"ENSDARG00000058822";"ENSDARG00000058822";"19 x 40";"24hpf_neg";"wnt3a";"wingless-type MMTV integration site family, member 3A [Source:ZFIN;Acc:ZDB-GENE-001106-1]"
"ENSDARG00000094673";"ENSDARG00000094673";"9 x 6";"72hpf_pos_hand2";"zgc:153713";"ras homolog gene family, member Ab [Source:ZFIN;Acc:ZDB-GENE-040322-2]"
"ENSDARG00000101576";"ENSDARG00000101576";"17 x 16";"24hpf_neg";"ta";"T, brachyury homolog a [Source:ZFIN;Acc:ZDB-GENE-980526-437]"
"ENSDARG00000102389";"ENSDARG00000102389";"26 x 19";"72hpf_pos_hand2.1";"ved";"ventrally expressed dharma/bozozok antagonist [Source:ZFIN;Acc:ZDB-GENE-030813-1]"
"ENSDARG00000102464";"ENSDARG00000102464";"31 x 38";"72hpf_neg";"wnt5b";"wingless-type MMTV integration site family, member 5b [Source:ZFIN;Acc:ZDB-GENE-980526-87]"
