"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000861";"ENSDARG00000000861";"13 x 14";"72hpf_pos_tbx5";"scrib";"scribbled planar cell polarity protein [Source:ZFIN;Acc:ZDB-GENE-030616-572]"
"ENSDARG00000004445";"ENSDARG00000004445";"12 x 30";"72hpf_neg_tbx5";"grm5a";"glutamate receptor, metabotropic 5a [Source:ZFIN;Acc:ZDB-GENE-090821-9]"
"ENSDARG00000009677";"ENSDARG00000009677";"3 x 16";"48hpf_pos.1";"dlg1";"discs, large homolog 1 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-010724-8]"
"ENSDARG00000026796";"ENSDARG00000026796";"6 x 35";"72hpf_neg_tbx5";"grm1a";"glutamate receptor, metabotropic 1a [Source:ZFIN;Acc:ZDB-GENE-030131-7893]"
"ENSDARG00000032161";"ENSDARG00000032161";"20 x 34";"72hpf_neg";"srgap2";"SLIT-ROBO Rho GTPase activating protein 2 [Source:ZFIN;Acc:ZDB-GENE-060915-2]"
"ENSDARG00000058558";"ENSDARG00000058558";"8 x 33";"72hpf_neg_tbx5";"lzts3b";"leucine zipper, putative tumor suppressor family member 3b [Source:ZFIN;Acc:ZDB-GENE-110411-249]"
"ENSDARG00000060007";"ENSDARG00000060007";"40 x 31";"24hpf_pos.1";"n4bp3";"NEDD4 binding protein 3 [Source:ZFIN;Acc:ZDB-GENE-141216-2]"
"ENSDARG00000074661";"ENSDARG00000074661";"40 x 15";"24hpf_pos.1";"gper1";"G protein-coupled estrogen receptor 1 [Source:ZFIN;Acc:ZDB-GENE-090311-1]"
"ENSDARG00000076796";"ENSDARG00000076796";"15 x 38";"72hpf_neg_hand2";"dlg3";"discs, large homolog 3 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-050208-93]"
"ENSDARG00000098751";"ENSDARG00000098751";"7 x 36";"72hpf_neg_hand2";"LOC795227";"leucine zipper, putative tumor suppressor family member 3a [Source:ZFIN;Acc:ZDB-GENE-060313-2]"
"ENSDARG00000099323";"ENSDARG00000099323";"10 x 36";"72hpf_neg_tbx5";"dlg2";"discs, large homolog 2 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-050221-3]"
"ENSDARG00000099744";"ENSDARG00000099744";"9 x 36";"72hpf_neg_hand2";"gap43";"growth associated protein 43 [Source:ZFIN;Acc:ZDB-GENE-990415-87]"
"ENSDARG00000102067";"ENSDARG00000102067";"9 x 37";"72hpf_neg_tbx5";"";"glutamate receptor, metabotropic 5b [Source:ZFIN;Acc:ZDB-GENE-090821-6]"
"ENSDARG00000102216";"ENSDARG00000102216";"6 x 29";"72hpf_neg_tbx5";"dlg1l";"discs, large (Drosophila) homolog 1, like [Source:ZFIN;Acc:ZDB-GENE-050222-3]"
