"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004587";"ENSDARG00000004587";"22 x 34";"48hpf_neg";"kat5a";"K(lysine) acetyltransferase 5a [Source:ZFIN;Acc:ZDB-GENE-040718-57]"
"ENSDARG00000007430";"ENSDARG00000007430";"12 x 40";"24hpf_neg";"prdm12b";"PR domain containing 12b [Source:ZFIN;Acc:ZDB-GENE-041114-172]"
"ENSDARG00000007485";"ENSDARG00000007485";"32 x 27";"24hpf_pos.1";"epc2";"enhancer of polycomb homolog 2 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-040426-802]"
"ENSDARG00000012078";"ENSDARG00000012078";"12 x 40";"72hpf_neg_hand2";"meis1b";"Meis homeobox 1 b [Source:ZFIN;Acc:ZDB-GENE-020122-1]"
"ENSDARG00000012776";"ENSDARG00000012776";"6 x 10";"72hpf_pos_gata5";"smarca1";"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 [Source:ZFIN;Acc:ZDB-GENE-070705-296]"
"ENSDARG00000017400";"ENSDARG00000017400";"40 x 40";"24hpf_pos.1";"klf1";"Kruppel-like factor 1 (erythroid) [Source:ZFIN;Acc:ZDB-GENE-980526-55]"
"ENSDARG00000026655";"ENSDARG00000026655";"39 x 2";"24hpf_pos.1";"tspo";"translocator protein [Source:ZFIN;Acc:ZDB-GENE-041010-125]"
"ENSDARG00000027279";"ENSDARG00000027279";"25 x 1";"72hpf_pos_tbx5";"numb";"numb homolog (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-060422-1]"
"ENSDARG00000042337";"ENSDARG00000042337";"28 x 7";"24hpf_neg";"chrac1";"chromatin accessibility complex 1 [Source:ZFIN;Acc:ZDB-GENE-050227-18]"
"ENSDARG00000055502";"ENSDARG00000055502";"14 x 33";"72hpf_neg_tbx5";"cicb";"capicua transcriptional repressor b [Source:ZFIN;Acc:ZDB-GENE-030131-1966]"
"ENSDARG00000056929";"ENSDARG00000056929";"7 x 31";"72hpf_neg_tbx5";"kdm6bb";"lysine (K)-specific demethylase 6B, b [Source:ZFIN;Acc:ZDB-GENE-040724-166]"
"ENSDARG00000060392";"ENSDARG00000060392";"39 x 27";"24hpf_pos.1";"ash2l";"ash2 (absent, small, or homeotic)-like (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-030131-494]"
"ENSDARG00000070076";"ENSDARG00000070076";"27 x 4";"24hpf_pos";"actr2b";"ARP2 actin related protein 2b homolog [Source:ZFIN;Acc:ZDB-GENE-050410-4]"
"ENSDARG00000075211";"ENSDARG00000075211";"32 x 40";"24hpf_neg";"chd7";"chromodomain helicase DNA binding protein 7 [Source:ZFIN;Acc:ZDB-GENE-070912-179]"
"ENSDARG00000076928";"ENSDARG00000076928";"15 x 36";"48hpf_neg";"tet2";"tet methylcytosine dioxygenase 2 [Source:ZFIN;Acc:ZDB-GENE-090312-98]"
"ENSDARG00000101949";"ENSDARG00000101949";"14 x 37";"72hpf_neg_tbx5";"numbl";"numb homolog (Drosophila)-like [Source:ZFIN;Acc:ZDB-GENE-051113-340]"
