"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000005134";"ENSDARG00000005134";"39 x 18";"24hpf_pos.1";"psmd11b";"proteasome 26S subunit, non-ATPase 11b [Source:ZFIN;Acc:ZDB-GENE-030131-984]"
"ENSDARG00000016239";"ENSDARG00000016239";"28 x 5";"72hpf_pos_gata5.1";"psmd13";"proteasome 26S subunit, non-ATPase 13 [Source:ZFIN;Acc:ZDB-GENE-040426-1004]"
"ENSDARG00000020454";"ENSDARG00000020454";"29 x 6";"48hpf_pos";"psmd8";"proteasome 26S subunit, non-ATPase 8 [Source:ZFIN;Acc:ZDB-GENE-040625-136]"
"ENSDARG00000023279";"ENSDARG00000023279";"7 x 19";"72hpf_pos.1";"psmd4b";"proteasome 26S subunit, non-ATPase 4b [Source:ZFIN;Acc:ZDB-GENE-050417-96]"
"ENSDARG00000027899";"ENSDARG00000027899";"25 x 12";"48hpf_neg";"";"split hand/foot malformation (ectrodactyly) type 1 [Source:ZFIN;Acc:ZDB-GENE-030131-988]"
"ENSDARG00000029859";"ENSDARG00000029859";"25 x 27";"72hpf_neg";"";"si:ch211-241d21.5 [Source:ZFIN;Acc:ZDB-GENE-081104-194]"
"ENSDARG00000032296";"ENSDARG00000032296";"27 x 8";"48hpf_pos";"pomp";"proteasome maturation protein [Source:ZFIN;Acc:ZDB-GENE-040801-10]"
"ENSDARG00000035987";"ENSDARG00000035987";"40 x 21";"72hpf_pos_gata5.1";"psmg2";"proteasome (prosome, macropain) assembly chaperone 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1972]"
"ENSDARG00000040620";"ENSDARG00000040620";"32 x 7";"72hpf_pos.1";"psmg1";"proteasome (prosome, macropain) assembly chaperone 1 [Source:ZFIN;Acc:ZDB-GENE-040718-469]"
"ENSDARG00000059046";"ENSDARG00000059046";"35 x 23";"72hpf_pos_gata5";"psmd5";"proteasome 26S subunit, non-ATPase 5 [Source:ZFIN;Acc:ZDB-GENE-050417-28]"
"ENSDARG00000060150";"ENSDARG00000060150";"33 x 9";"24hpf_pos";"psmd11a";"proteasome 26S subunit, non-ATPase 11a [Source:ZFIN;Acc:ZDB-GENE-030131-2711]"
"ENSDARG00000061952";"ENSDARG00000061952";"26 x 35";"24hpf_pos";"kiaa0368";"si:dkey-245p14.7 [Source:ZFIN;Acc:ZDB-GENE-061207-66]"
"ENSDARG00000090191";"ENSDARG00000090191";"28 x 13";"24hpf_pos";"psmg4";"proteasome assembly chaperone 4 [Source:HGNC Symbol;Acc:HGNC:21108]"
"ENSDARG00000101295";"ENSDARG00000101295";"29 x 1";"24hpf_pos.1";"psmd4a";"proteasome 26S subunit, non-ATPase 4a [Source:ZFIN;Acc:ZDB-GENE-040625-104]"
