"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000861";"ENSDARG00000000861";"13 x 14";"72hpf_pos_tbx5";"scrib";"scribbled planar cell polarity protein [Source:ZFIN;Acc:ZDB-GENE-030616-572]"
"ENSDARG00000002707";"ENSDARG00000002707";"26 x 23";"24hpf_neg";"her11";"hairy-related 11 [Source:ZFIN;Acc:ZDB-GENE-040824-4]"
"ENSDARG00000003403";"ENSDARG00000003403";"5 x 36";"72hpf_neg_hand2";"tenm1";"teneurin transmembrane protein 1 [Source:ZFIN;Acc:ZDB-GENE-060531-26]"
"ENSDARG00000004714";"ENSDARG00000004714";"3 x 30";"72hpf_neg";"tcf12";"transcription factor 12 [Source:ZFIN;Acc:ZDB-GENE-040516-11]"
"ENSDARG00000005915";"ENSDARG00000005915";"34 x 36";"72hpf_neg_gata5";"tcf3a";"transcription factor 3a [Source:ZFIN;Acc:ZDB-GENE-990415-51]"
"ENSDARG00000006353";"ENSDARG00000006353";"40 x 8";"24hpf_pos";"itga5";"integrin, alpha 5 (fibronectin receptor, alpha polypeptide) [Source:ZFIN;Acc:ZDB-GENE-031116-52]"
"ENSDARG00000006604";"ENSDARG00000006604";"40 x 25";"24hpf_neg";"pvrl3b";"poliovirus receptor-related 3b [Source:ZFIN;Acc:ZDB-GENE-050327-14]"
"ENSDARG00000006791";"ENSDARG00000006791";"14 x 29";"72hpf_neg_hand2";"arntl1a";"aryl hydrocarbon receptor nuclear translocator-like 1a [Source:ZFIN;Acc:ZDB-GENE-000509-1]"
"ENSDARG00000008363";"ENSDARG00000008363";"3 x 6";"72hpf_pos";"mcl1b";"MCL1, BCL2 family apoptosis regulator b [Source:ZFIN;Acc:ZDB-GENE-030825-1]"
"ENSDARG00000008434";"ENSDARG00000008434";"20 x 11";"72hpf_pos";"bcl2l1";"bcl2-like 1 [Source:ZFIN;Acc:ZDB-GENE-010730-1]"
"ENSDARG00000008551";"ENSDARG00000008551";"38 x 29";"24hpf_pos.1";"pole3";"polymerase (DNA directed), epsilon 3 (p17 subunit) [Source:ZFIN;Acc:ZDB-GENE-040426-1773]"
"ENSDARG00000008796";"ENSDARG00000008796";"14 x 19";"72hpf_pos_gata5";"her5";"hairy-related 5 [Source:ZFIN;Acc:ZDB-GENE-990415-90]"
"ENSDARG00000009779";"ENSDARG00000009779";"7 x 7";"72hpf_pos_gata5";"mcl1a";"MCL1, BCL2 family apoptosis regulator a [Source:ZFIN;Acc:ZDB-GENE-000511-7]"
"ENSDARG00000011171";"ENSDARG00000011171";"1 x 39";"72hpf_neg_tbx5";"si:ch211-12m10.1";"si:ch211-12m10.1 [Source:ZFIN;Acc:ZDB-GENE-060503-100]"
"ENSDARG00000011703";"ENSDARG00000011703";"6 x 31";"72hpf_neg";"clocka";"clock circadian regulator a [Source:ZFIN;Acc:ZDB-GENE-990630-14]"
"ENSDARG00000012827";"ENSDARG00000012827";"33 x 32";"24hpf_pos";"mettl3";"methyltransferase like 3 [Source:ZFIN;Acc:ZDB-GENE-030131-9498]"
"ENSDARG00000013016";"ENSDARG00000013016";"40 x 13";"24hpf_pos.1";"pole4";"polymerase (DNA-directed), epsilon 4, accessory subunit [Source:ZFIN;Acc:ZDB-GENE-050522-309]"
"ENSDARG00000014722";"ENSDARG00000014722";"30 x 24";"24hpf_neg";"her1";"hairy-related 1 [Source:ZFIN;Acc:ZDB-GENE-980526-125]"
"ENSDARG00000015070";"ENSDARG00000015070";"40 x 34";"24hpf_pos.1";"pola2";"polymerase (DNA directed), alpha 2 [Source:ZFIN;Acc:ZDB-GENE-030131-778]"
"ENSDARG00000017320";"ENSDARG00000017320";"1 x 27";"72hpf_pos_gata5";"f11r.1";"F11 receptor, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2416]"
"ENSDARG00000018109";"ENSDARG00000018109";"7 x 30";"48hpf_neg";"mafga";"v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog Ga [Source:ZFIN;Acc:ZDB-GENE-040624-7]"
"ENSDARG00000018260";"ENSDARG00000018260";"29 x 24";"24hpf_neg";"bmp7a";"bone morphogenetic protein 7a [Source:ZFIN;Acc:ZDB-GENE-000208-25]"
"ENSDARG00000018553";"ENSDARG00000018553";"11 x 6";"72hpf_pos_hand2.1";"ifih1";"interferon induced with helicase C domain 1 [Source:ZFIN;Acc:ZDB-GENE-081104-438]"
"ENSDARG00000019335";"ENSDARG00000019335";"19 x 40";"24hpf_neg";"hes6";"hes family bHLH transcription factor 6 [Source:ZFIN;Acc:ZDB-GENE-030828-5]"
"ENSDARG00000020504";"ENSDARG00000020504";"21 x 38";"48hpf_neg";"h3f3a";"H3 histone, family 3A [Source:ZFIN;Acc:ZDB-GENE-040426-1928]"
"ENSDARG00000020606";"ENSDARG00000020606";"37 x 40";"24hpf_pos.1";"nfe2";"nuclear factor, erythroid 2 [Source:ZFIN;Acc:ZDB-GENE-030124-1]"
"ENSDARG00000021938";"ENSDARG00000021938";"40 x 6";"48hpf_pos.1";"smad9";"SMAD family member 9 [Source:ZFIN;Acc:ZDB-GENE-031014-1]"
"ENSDARG00000026766";"ENSDARG00000026766";"40 x 10";"24hpf_pos.1";"bcl2l10";"BCL2-like 10 (apoptosis facilitator) [Source:ZFIN;Acc:ZDB-GENE-030825-2]"
