"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000001777";"ENSDARG00000001777";"39 x 33";"24hpf_pos";"nup155";"nucleoporin 155 [Source:ZFIN;Acc:ZDB-GENE-040426-711]"
"ENSDARG00000003235";"ENSDARG00000003235";"35 x 30";"24hpf_pos";"nup88";"nucleoporin 88 [Source:ZFIN;Acc:ZDB-GENE-050522-297]"
"ENSDARG00000006963";"ENSDARG00000006963";"34 x 9";"72hpf_pos.1";"cse1l";"CSE1 chromosome segregation 1-like (yeast) [Source:ZFIN;Acc:ZDB-GENE-990603-1]"
"ENSDARG00000007196";"ENSDARG00000007196";"36 x 27";"24hpf_pos.1";"rae1";"ribonucleic acid export 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1029]"
"ENSDARG00000008395";"ENSDARG00000008395";"35 x 25";"24hpf_pos";"snupn";"snurportin 1 [Source:ZFIN;Acc:ZDB-GENE-030131-3464]"
"ENSDARG00000008727";"ENSDARG00000008727";"32 x 33";"24hpf_pos.1";"ranbp3a";"RAN binding protein 3a [Source:ZFIN;Acc:ZDB-GENE-040426-1132]"
"ENSDARG00000010078";"ENSDARG00000010078";"36 x 33";"24hpf_pos";"nup133";"nucleoporin 133 [Source:ZFIN;Acc:ZDB-GENE-040426-2941]"
"ENSDARG00000014817";"ENSDARG00000014817";"33 x 5";"24hpf_pos";"ranbp1";"RAN binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2548]"
"ENSDARG00000016010";"ENSDARG00000016010";"23 x 40";"24hpf_pos";"nup107";"nucleoporin 107 [Source:ZFIN;Acc:ZDB-GENE-041210-245]"
"ENSDARG00000016212";"ENSDARG00000016212";"35 x 34";"24hpf_pos";"";"nucleoporin 214 [Source:ZFIN;Acc:ZDB-GENE-110203-3]"
"ENSDARG00000016360";"ENSDARG00000016360";"26 x 30";"48hpf_pos.1";"kpna1";"karyopherin alpha 1 (importin alpha 5) [Source:ZFIN;Acc:ZDB-GENE-091116-39]"
"ENSDARG00000016630";"ENSDARG00000016630";"37 x 32";"24hpf_pos.1";"tprb";"translocated promoter region b, nuclear basket protein [Source:ZFIN;Acc:ZDB-GENE-030131-6410]"
"ENSDARG00000016753";"ENSDARG00000016753";"35 x 5";"24hpf_pos";"ipo9";"importin 9 [Source:ZFIN;Acc:ZDB-GENE-040426-2953]"
"ENSDARG00000017454";"ENSDARG00000017454";"36 x 5";"24hpf_pos.1";"nup50";"nucleoporin 50 [Source:ZFIN;Acc:ZDB-GENE-030131-1689]"
"ENSDARG00000023190";"ENSDARG00000023190";"19 x 17";"72hpf_pos";"kpna4";"karyopherin alpha 4 (importin alpha 3) [Source:ZFIN;Acc:ZDB-GENE-030131-5584]"
"ENSDARG00000027169";"ENSDARG00000027169";"9 x 23";"72hpf_pos.1";"kpna7";"karyopherin alpha 7 (importin alpha 8) [Source:ZFIN;Acc:ZDB-GENE-040426-2023]"
