"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000014439";"ENSDARG00000014439";"5 x 4";"72hpf_pos_tbx5.1";"dgkza";"diacylglycerol kinase, zeta a [Source:ZFIN;Acc:ZDB-GENE-111104-3]"
"ENSDARG00000018716";"ENSDARG00000018716";"40 x 23";"72hpf_neg_tbx5";"dgkh";"diacylglycerol kinase, eta [Source:ZFIN;Acc:ZDB-GENE-070912-328]"
"ENSDARG00000027724";"ENSDARG00000027724";"14 x 27";"72hpf_neg_hand2";"dgkb";"diacylglycerol kinase, beta [Source:ZFIN;Acc:ZDB-GENE-070126-1]"
"ENSDARG00000060626";"ENSDARG00000060626";"7 x 5";"72hpf_pos_gata5.1";"dgkaa";"diacylglycerol kinase, alpha a [Source:ZFIN;Acc:ZDB-GENE-060616-305]"
"ENSDARG00000062696";"ENSDARG00000062696";"13 x 36";"72hpf_neg_gata5";"";"diacylglycerol kinase, gamma [Source:ZFIN;Acc:ZDB-GENE-081105-39]"
"ENSDARG00000063578";"ENSDARG00000063578";"14 x 38";"72hpf_neg_tbx5";"dgki";"diacylglycerol kinase iota [Source:HGNC Symbol;Acc:HGNC:2855]"
"ENSDARG00000074183";"ENSDARG00000074183";"40 x 25";"72hpf_neg_tbx5";"si:dkey-172j4.3";"si:dkey-172j4.3 [Source:ZFIN;Acc:ZDB-GENE-081104-24]"
"ENSDARG00000076025";"ENSDARG00000076025";"32 x 37";"24hpf_pos.1";"dgkzb";"diacylglycerol kinase, zeta b [Source:ZFIN;Acc:ZDB-GENE-111104-4]"
"ENSDARG00000098175";"ENSDARG00000098175";"20 x 32";"72hpf_neg_gata5";"";"diacylglycerol kinase, alpha b [Source:ZFIN;Acc:ZDB-GENE-121105-5]"
"ENSDARG00000104793";"ENSDARG00000104793";"6 x 16";"48hpf_pos.1";"dgke";"diacylglycerol kinase, epsilon [Source:ZFIN;Acc:ZDB-GENE-090512-7]"
