"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000006624";"ENSDARG00000006624";"34 x 13";"24hpf_pos.1";"ppp2r2ab";"protein phosphatase 2, regulatory subunit B, alpha b [Source:ZFIN;Acc:ZDB-GENE-030131-5474]"
"ENSDARG00000014428";"ENSDARG00000014428";"23 x 14";"72hpf_pos_tbx5.1";"ppp2r5d";"protein phosphatase 2, regulatory subunit B', delta [Source:ZFIN;Acc:ZDB-GENE-040426-2568]"
"ENSDARG00000015474";"ENSDARG00000015474";"26 x 23";"24hpf_neg";"ppp2r5ea";"protein phosphatase 2, regulatory subunit B', epsilon isoform a [Source:ZFIN;Acc:ZDB-GENE-030904-7]"
"ENSDARG00000021996";"ENSDARG00000021996";"34 x 28";"24hpf_pos.1";"ppp2r2aa";"protein phosphatase 2, regulatory subunit B, alpha a [Source:ZFIN;Acc:ZDB-GENE-130530-565]"
"ENSDARG00000027017";"ENSDARG00000027017";"31 x 8";"24hpf_pos.1";"ppp2r5a";"protein phosphatase 2, regulatory subunit B', alpha isoform [Source:ZFIN;Acc:ZDB-GENE-040724-174]"
"ENSDARG00000031200";"ENSDARG00000031200";"13 x 27";"72hpf_neg_tbx5";"ppp2r5cb";"protein phosphatase 2, regulatory subunit B', gamma b [Source:ZFIN;Acc:ZDB-GENE-041014-4]"
"ENSDARG00000031985";"ENSDARG00000031985";"23 x 6";"72hpf_pos_gata5.1";"ppp2r4";"protein phosphatase 2A activator, regulatory subunit 4 [Source:ZFIN;Acc:ZDB-GENE-040801-11]"
"ENSDARG00000054931";"ENSDARG00000054931";"3 x 38";"72hpf_neg_tbx5";"ppp2r5b";"protein phosphatase 2, regulatory subunit B', beta [Source:ZFIN;Acc:ZDB-GENE-101208-1]"
"ENSDARG00000056797";"ENSDARG00000056797";"4 x 37";"72hpf_neg_tbx5";"ppp2r2ca";"protein phosphatase 2, regulatory subunit B, gamma a [Source:ZFIN;Acc:ZDB-GENE-051120-168]"
"ENSDARG00000059083";"ENSDARG00000059083";"37 x 24";"24hpf_neg";"ppp2r5cb";"protein phosphatase 2, regulatory subunit B', gamma a [Source:ZFIN;Acc:ZDB-GENE-120406-9]"
"ENSDARG00000062277";"ENSDARG00000062277";"9 x 34";"72hpf_neg_hand2";"ppp2r2cb";"protein phosphatase 2, regulatory subunit B, gamma b [Source:ZFIN;Acc:ZDB-GENE-130530-705]"
"ENSDARG00000069118";"ENSDARG00000069118";"10 x 24";"72hpf_pos.1";"ppp2r5eb";"protein phosphatase 2, regulatory subunit B', epsilon isoform b [Source:ZFIN;Acc:ZDB-GENE-030904-6]"
"ENSDARG00000099221";"ENSDARG00000099221";"6 x 40";"72hpf_neg_hand2";"ppp2r2bb";"protein phosphatase 2, regulatory subunit B, beta b [Source:ZFIN;Acc:ZDB-GENE-041010-39]"
"ENSDARG00000100093";"ENSDARG00000100093";"6 x 40";"72hpf_neg_tbx5";"ppp2r2ba";"protein phosphatase 2, regulatory subunit B, beta a [Source:ZFIN;Acc:ZDB-GENE-101026-5]"
"ENSDARG00000102009";"ENSDARG00000102009";"18 x 16";"72hpf_pos";"";"protein phosphatase 2, regulatory subunit B, delta [Source:ZFIN;Acc:ZDB-GENE-040426-2086]"
