"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002016";"ENSDARG00000002016";"38 x 19";"24hpf_pos.1";"ppil2";"peptidylprolyl isomerase (cyclophilin)-like 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1096]"
"ENSDARG00000002609";"ENSDARG00000002609";"37 x 40";"24hpf_pos";"rnf145a";"ring finger protein 145a [Source:ZFIN;Acc:ZDB-GENE-111012-3]"
"ENSDARG00000002794";"ENSDARG00000002794";"7 x 19";"72hpf_pos_gata5.1";"LOC558876";"zmp:0000000524 [Source:ZFIN;Acc:ZDB-GENE-130530-527]"
"ENSDARG00000003017";"ENSDARG00000003017";"6 x 13";"72hpf_pos";"ube2al";"ubiquitin conjugating enzyme E2 A, like [Source:ZFIN;Acc:ZDB-GENE-030131-4195]"
"ENSDARG00000003041";"ENSDARG00000003041";"24 x 1";"24hpf_pos";"";""
"ENSDARG00000003616";"ENSDARG00000003616";"28 x 33";"72hpf_neg";"arih1";"ariadne ubiquitin-conjugating enzyme E2 binding protein homolog 1 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-030131-5213]"
"ENSDARG00000006011";"ENSDARG00000006011";"14 x 6";"72hpf_pos_gata5.1";"klhl42";"kelch-like family, member 42 [Source:ZFIN;Acc:ZDB-GENE-041210-190]"
"ENSDARG00000008748";"ENSDARG00000008748";"29 x 7";"72hpf_pos";"ube2na";"ubiquitin-conjugating enzyme E2Na [Source:ZFIN;Acc:ZDB-GENE-040426-2873]"
"ENSDARG00000009886";"ENSDARG00000009886";"5 x 12";"72hpf_pos_gata5.1";"rnf114";"ring finger protein 114 [Source:ZFIN;Acc:ZDB-GENE-040813-1]"
"ENSDARG00000012040";"ENSDARG00000012040";"12 x 16";"72hpf_pos_tbx5";"rnf19a";"ring finger protein 19A, RBR E3 ubiquitin protein ligase [Source:ZFIN;Acc:ZDB-GENE-030131-9414]"
"ENSDARG00000012848";"ENSDARG00000012848";"17 x 17";"72hpf_pos_gata5";"arih2";"ariadne homolog 2 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-040426-2158]"
"ENSDARG00000013505";"ENSDARG00000013505";"40 x 8";"48hpf_pos.1";"ube2kb";"ubiquitin-conjugating enzyme E2Kb (UBC1 homolog, yeast) [Source:ZFIN;Acc:ZDB-GENE-980605-9]"
"ENSDARG00000015292";"ENSDARG00000015292";"38 x 22";"48hpf_neg";"ube2g1a";"ubiquitin-conjugating enzyme E2G 1a (UBC7 homolog, yeast) [Source:ZFIN;Acc:ZDB-GENE-030131-6065]"
"ENSDARG00000020218";"ENSDARG00000020218";"6 x 13";"72hpf_pos_hand2.1";"amfr";"autocrine motility factor receptor, E3 ubiquitin protein ligase a [Source:ZFIN;Acc:ZDB-GENE-040426-2190]"
"ENSDARG00000020284";"ENSDARG00000020284";"13 x 34";"72hpf_neg_hand2";"si:ch211-278j3.3";"si:ch211-278j3.3 [Source:ZFIN;Acc:ZDB-GENE-041014-147]"
"ENSDARG00000020600";"ENSDARG00000020600";"40 x 18";"24hpf_pos.1";"rnf144aa";"ring finger protein 144aa [Source:ZFIN;Acc:ZDB-GENE-041001-88]"
"ENSDARG00000021555";"ENSDARG00000021555";"22 x 9";"72hpf_pos_gata5.1";"park2";"parkin RBR E3 ubiquitin protein ligase [Source:ZFIN;Acc:ZDB-GENE-050417-109]"
"ENSDARG00000022891";"ENSDARG00000022891";"14 x 31";"72hpf_neg_tbx5";"zgc:175214";"zgc:175214 [Source:ZFIN;Acc:ZDB-GENE-080303-32]"
"ENSDARG00000023002";"ENSDARG00000023002";"39 x 35";"24hpf_neg";"dtl";"denticleless E3 ubiquitin protein ligase homolog (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-020419-34]"
"ENSDARG00000023958";"ENSDARG00000023958";"14 x 1";"72hpf_pos_hand2.1";"rnf181";"ring finger protein 181 [Source:ZFIN;Acc:ZDB-GENE-040426-1024]"
"ENSDARG00000024940";"ENSDARG00000024940";"24 x 1";"72hpf_pos_hand2.1";"rnf144b";"ring finger protein 144B [Source:ZFIN;Acc:ZDB-GENE-040426-1292]"
"ENSDARG00000025404";"ENSDARG00000025404";"7 x 14";"72hpf_pos.1";"ube2g2";"ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast) [Source:ZFIN;Acc:ZDB-GENE-050417-288]"
"ENSDARG00000026053";"ENSDARG00000026053";"34 x 4";"24hpf_pos";"hltf";"helicase-like transcription factor [Source:ZFIN;Acc:ZDB-GENE-030131-3306]"
"ENSDARG00000029045";"ENSDARG00000029045";"21 x 4";"72hpf_pos_gata5.1";"peli2";"pellino E3 ubiquitin protein ligase family member 2 [Source:ZFIN;Acc:ZDB-GENE-040718-360]"
"ENSDARG00000031775";"ENSDARG00000031775";"37 x 35";"24hpf_pos.1";"ube2s";"ubiquitin-conjugating enzyme E2S [Source:ZFIN;Acc:ZDB-GENE-050913-92]"
"ENSDARG00000036870";"ENSDARG00000036870";"25 x 1";"24hpf_pos.1";"arih1l";"ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 like [Source:ZFIN;Acc:ZDB-GENE-040426-2395]"
"ENSDARG00000036929";"ENSDARG00000036929";"28 x 14";"24hpf_neg";"rnf139";"ring finger protein 139 [Source:ZFIN;Acc:ZDB-GENE-080401-4]"
"ENSDARG00000036965";"ENSDARG00000036965";"3 x 20";"72hpf_pos_tbx5.1";"rnf24";"ring finger protein 24 [Source:ZFIN;Acc:ZDB-GENE-041114-40]"
"ENSDARG00000037017";"ENSDARG00000037017";"26 x 32";"24hpf_pos";"ube4b";"ubiquitination factor E4B, UFD2 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-020205-1]"
"ENSDARG00000038576";"ENSDARG00000038576";"17 x 4";"72hpf_pos_gata5";"ube2d1b";"ubiquitin-conjugating enzyme E2D 1b [Source:ZFIN;Acc:ZDB-GENE-030131-2735]"
"ENSDARG00000039483";"ENSDARG00000039483";"2 x 17";"48hpf_neg";"si:dkey-51a16.9";"si:dkey-51a16.9 [Source:ZFIN;Acc:ZDB-GENE-030616-560]"
"ENSDARG00000040571";"ENSDARG00000040571";"38 x 22";"24hpf_pos";"ube4a";"ubiquitination factor E4A (UFD2 homolog, yeast) [Source:ZFIN;Acc:ZDB-GENE-070410-21]"
"ENSDARG00000043905";"ENSDARG00000043905";"25 x 1";"24hpf_pos.1";"rnf14";"ring finger protein 14 [Source:ZFIN;Acc:ZDB-GENE-040625-65]"
"ENSDARG00000044923";"ENSDARG00000044923";"14 x 4";"72hpf_pos_gata5.1";"ube2w";"ubiquitin-conjugating enzyme E2W (putative) [Source:ZFIN;Acc:ZDB-GENE-050506-94]"
