"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000001804";"ENSDARG00000001804";"6 x 21";"72hpf_pos.1";"zgc:112148";"zgc:112148 [Source:ZFIN;Acc:ZDB-GENE-050417-235]"
"ENSDARG00000004726";"ENSDARG00000004726";"17 x 3";"72hpf_pos_tbx5.1";"trappc11";"trafficking protein particle complex 11 [Source:ZFIN;Acc:ZDB-GENE-030131-1723]"
"ENSDARG00000026484";"ENSDARG00000026484";"29 x 39";"48hpf_neg";"rab15";"RAB15, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-040718-2]"
"ENSDARG00000046106";"ENSDARG00000046106";"15 x 9";"72hpf_pos_hand2.1";"rab10";"RAB10, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-040718-304]"
"ENSDARG00000057060";"ENSDARG00000057060";"19 x 3";"72hpf_pos_gata5.1";"tvp23b";"trans-golgi network vesicle protein 23 homolog B (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-050522-404]"
"ENSDARG00000059400";"ENSDARG00000059400";"27 x 29";"72hpf_pos.1";"tmem167b";"transmembrane protein 167B [Source:ZFIN;Acc:ZDB-GENE-040808-17]"
"ENSDARG00000068628";"ENSDARG00000068628";"8 x 4";"72hpf_pos_gata5.1";"rab8b";"RAB8B, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-070620-16]"
"ENSDARG00000078585";"ENSDARG00000078585";"13 x 4";"72hpf_pos_tbx5";"mon1a";"MON1 secretory trafficking family member A [Source:ZFIN;Acc:ZDB-GENE-070615-6]"
"ENSDARG00000104259";"ENSDARG00000104259";"19 x 32";"72hpf_neg_gata5";"LOC101885743";""
"ENSDARG00000105254";"ENSDARG00000105254";"14 x 31";"48hpf_neg";"LOC101885697";"RAB37, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30268]"
