"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002609";"ENSDARG00000002609";"37 x 40";"24hpf_pos";"rnf145a";"ring finger protein 145a [Source:ZFIN;Acc:ZDB-GENE-111012-3]"
"ENSDARG00000002794";"ENSDARG00000002794";"7 x 19";"72hpf_pos_gata5.1";"LOC558876";"zmp:0000000524 [Source:ZFIN;Acc:ZDB-GENE-130530-527]"
"ENSDARG00000003616";"ENSDARG00000003616";"28 x 33";"72hpf_neg";"arih1";"ariadne ubiquitin-conjugating enzyme E2 binding protein homolog 1 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-030131-5213]"
"ENSDARG00000003974";"ENSDARG00000003974";"23 x 12";"72hpf_pos_gata5.1";"spoplb";"speckle-type POZ protein-like b [Source:ZFIN;Acc:ZDB-GENE-061103-277]"
"ENSDARG00000004260";"ENSDARG00000004260";"13 x 35";"48hpf_neg";"cul5b";"cullin 5b [Source:ZFIN;Acc:ZDB-GENE-091113-45]"
"ENSDARG00000004291";"ENSDARG00000004291";"3 x 40";"72hpf_neg_tbx5";"hecw1b";"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1b [Source:ZFIN;Acc:ZDB-GENE-060503-2]"
"ENSDARG00000007691";"ENSDARG00000007691";"36 x 18";"48hpf_neg";"cul1b";"cullin 1b [Source:ZFIN;Acc:ZDB-GENE-040426-2887]"
"ENSDARG00000008859";"ENSDARG00000008859";"40 x 6";"24hpf_pos.1";"mylipa";"myosin regulatory light chain interacting protein a [Source:ZFIN;Acc:ZDB-GENE-030131-7831]"
"ENSDARG00000010563";"ENSDARG00000010563";"27 x 7";"48hpf_pos";"spopla";"speckle-type POZ protein-like a [Source:ZFIN;Acc:ZDB-GENE-050320-3]"
"ENSDARG00000012040";"ENSDARG00000012040";"12 x 16";"72hpf_pos_tbx5";"rnf19a";"ring finger protein 19A, RBR E3 ubiquitin protein ligase [Source:ZFIN;Acc:ZDB-GENE-030131-9414]"
"ENSDARG00000012848";"ENSDARG00000012848";"17 x 17";"72hpf_pos_gata5";"arih2";"ariadne homolog 2 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-040426-2158]"
"ENSDARG00000016086";"ENSDARG00000016086";"28 x 35";"24hpf_pos";"smurf1";"SMAD specific E3 ubiquitin protein ligase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2744]"
"ENSDARG00000016782";"ENSDARG00000016782";"28 x 40";"24hpf_neg";"";"HECT, UBA and WWE domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-081104-387]"
"ENSDARG00000019239";"ENSDARG00000019239";"37 x 21";"24hpf_pos.1";"cul1a";"cullin 1a [Source:ZFIN;Acc:ZDB-GENE-030131-2603]"
"ENSDARG00000020218";"ENSDARG00000020218";"6 x 13";"72hpf_pos_hand2.1";"amfr";"autocrine motility factor receptor, E3 ubiquitin protein ligase a [Source:ZFIN;Acc:ZDB-GENE-040426-2190]"
"ENSDARG00000020284";"ENSDARG00000020284";"13 x 34";"72hpf_neg_hand2";"si:ch211-278j3.3";"si:ch211-278j3.3 [Source:ZFIN;Acc:ZDB-GENE-041014-147]"
"ENSDARG00000020600";"ENSDARG00000020600";"40 x 18";"24hpf_pos.1";"rnf144aa";"ring finger protein 144aa [Source:ZFIN;Acc:ZDB-GENE-041001-88]"
"ENSDARG00000021555";"ENSDARG00000021555";"22 x 9";"72hpf_pos_gata5.1";"park2";"parkin RBR E3 ubiquitin protein ligase [Source:ZFIN;Acc:ZDB-GENE-050417-109]"
"ENSDARG00000021885";"ENSDARG00000021885";"36 x 26";"24hpf_neg";"cacul1";"CDK2 associated cullin domain 1 [Source:ZFIN;Acc:ZDB-GENE-170113-2]"
"ENSDARG00000022891";"ENSDARG00000022891";"14 x 31";"72hpf_neg_tbx5";"zgc:175214";"zgc:175214 [Source:ZFIN;Acc:ZDB-GENE-080303-32]"
"ENSDARG00000023958";"ENSDARG00000023958";"14 x 1";"72hpf_pos_hand2.1";"rnf181";"ring finger protein 181 [Source:ZFIN;Acc:ZDB-GENE-040426-1024]"
"ENSDARG00000024940";"ENSDARG00000024940";"24 x 1";"72hpf_pos_hand2.1";"rnf144b";"ring finger protein 144B [Source:ZFIN;Acc:ZDB-GENE-040426-1292]"
"ENSDARG00000032369";"ENSDARG00000032369";"11 x 32";"72hpf_neg_tbx5";"btbd6b";"BTB (POZ) domain containing 6b [Source:ZFIN;Acc:ZDB-GENE-030829-65]"
"ENSDARG00000032997";"ENSDARG00000032997";"22 x 5";"72hpf_pos_gata5.1";"rnf185";"ring finger protein 185 [Source:ZFIN;Acc:ZDB-GENE-040426-1977]"
"ENSDARG00000036870";"ENSDARG00000036870";"25 x 1";"24hpf_pos.1";"arih1l";"ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 like [Source:ZFIN;Acc:ZDB-GENE-040426-2395]"
"ENSDARG00000036929";"ENSDARG00000036929";"28 x 14";"24hpf_neg";"rnf139";"ring finger protein 139 [Source:ZFIN;Acc:ZDB-GENE-080401-4]"
"ENSDARG00000036965";"ENSDARG00000036965";"3 x 20";"72hpf_pos_tbx5.1";"rnf24";"ring finger protein 24 [Source:ZFIN;Acc:ZDB-GENE-041114-40]"
"ENSDARG00000038030";"ENSDARG00000038030";"19 x 1";"72hpf_pos_gata5";"rbx1";"ring-box 1, E3 ubiquitin protein ligase [Source:ZFIN;Acc:ZDB-GENE-041008-106]"
"ENSDARG00000038067";"ENSDARG00000038067";"17 x 35";"72hpf_neg_gata5";"smurf2";"SMAD specific E3 ubiquitin protein ligase 2 [Source:ZFIN;Acc:ZDB-GENE-030131-1830]"
"ENSDARG00000038967";"ENSDARG00000038967";"20 x 15";"72hpf_pos";"cul3a";"cullin 3a [Source:ZFIN;Acc:ZDB-GENE-030131-3376]"
"ENSDARG00000039066";"ENSDARG00000039066";"12 x 3";"72hpf_pos_hand2";"klhl31";"kelch-like family member 31 [Source:ZFIN;Acc:ZDB-GENE-030131-2052]"
"ENSDARG00000039483";"ENSDARG00000039483";"2 x 17";"48hpf_neg";"si:dkey-51a16.9";"si:dkey-51a16.9 [Source:ZFIN;Acc:ZDB-GENE-030616-560]"
"ENSDARG00000042091";"ENSDARG00000042091";"14 x 33";"72hpf_neg_tbx5";"btbd2a";"BTB (POZ) domain containing 2a [Source:ZFIN;Acc:ZDB-GENE-030829-3]"
"ENSDARG00000043359";"ENSDARG00000043359";"33 x 17";"72hpf_pos_tbx5.1";"";"required for meiotic nuclear division 5 homolog B [Source:ZFIN;Acc:ZDB-GENE-040426-1744]"
"ENSDARG00000043799";"ENSDARG00000043799";"6 x 34";"72hpf_neg_gata5";"LOC100334314";"zmp:0000000619 [Source:ZFIN;Acc:ZDB-GENE-130530-622]"
"ENSDARG00000043905";"ENSDARG00000043905";"25 x 1";"24hpf_pos.1";"rnf14";"ring finger protein 14 [Source:ZFIN;Acc:ZDB-GENE-040625-65]"
"ENSDARG00000045130";"ENSDARG00000045130";"26 x 34";"72hpf_neg_tbx5";"klhl11";"kelch-like family member 11 [Source:ZFIN;Acc:ZDB-GENE-030131-5524]"
"ENSDARG00000045355";"ENSDARG00000045355";"30 x 2";"72hpf_pos_gata5.1";"tceb1a";"transcription elongation factor B (SIII), polypeptide 1a [Source:ZFIN;Acc:ZDB-GENE-040912-120]"
"ENSDARG00000045359";"ENSDARG00000045359";"4 x 16";"72hpf_pos";"";"transcription elongation factor B (SIII), polypeptide 1b [Source:ZFIN;Acc:ZDB-GENE-040718-138]"
"ENSDARG00000053691";"ENSDARG00000053691";"38 x 23";"72hpf_pos_tbx5.1";"maea";"macrophage erythroblast attacher [Source:ZFIN;Acc:ZDB-GENE-030131-294]"
"ENSDARG00000053803";"ENSDARG00000053803";"13 x 12";"72hpf_pos_tbx5";"klhl43";"kelch-like family member 43 [Source:ZFIN;Acc:ZDB-GENE-141212-285]"
"ENSDARG00000055524";"ENSDARG00000055524";"15 x 5";"72hpf_pos_tbx5.1";"rnf7";"ring finger protein 7 [Source:ZFIN;Acc:ZDB-GENE-050220-12]"
"ENSDARG00000056829";"ENSDARG00000056829";"37 x 8";"24hpf_pos";"zmp:0000000662";"zmp:0000000662 [Source:ZFIN;Acc:ZDB-GENE-130530-665]"
"ENSDARG00000059751";"ENSDARG00000059751";"3 x 31";"72hpf_neg_gata5";"abtb2a";"ankyrin repeat and BTB (POZ) domain containing 2a [Source:ZFIN;Acc:ZDB-GENE-100422-13]"
"ENSDARG00000060510";"ENSDARG00000060510";"28 x 25";"24hpf_neg";"cul4b";"cullin 4B [Source:ZFIN;Acc:ZDB-GENE-041008-208]"
"ENSDARG00000060768";"ENSDARG00000060768";"29 x 32";"48hpf_neg";"ankib1a";"ankyrin repeat and IBR domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-060503-156]"
"ENSDARG00000060944";"ENSDARG00000060944";"36 x 23";"48hpf_pos.1";"rnf217";"ring finger protein 217 [Source:ZFIN;Acc:ZDB-GENE-060503-400]"
