"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000656";"ENSDARG00000000656";"10 x 23";"72hpf_pos.1";"psmb9a";"proteasome subunit beta 9a [Source:ZFIN;Acc:ZDB-GENE-990415-140]"
"ENSDARG00000001656";"ENSDARG00000001656";"24 x 19";"72hpf_pos_hand2.1";"psmb10";"proteasome subunit beta 13a [Source:ZFIN;Acc:ZDB-GENE-001208-2]"
"ENSDARG00000002240";"ENSDARG00000002240";"27 x 2";"72hpf_pos_gata5.1";"psmb6";"proteasome subunit beta 6 [Source:ZFIN;Acc:ZDB-GENE-990415-216]"
"ENSDARG00000003526";"ENSDARG00000003526";"30 x 7";"72hpf_pos_tbx5.1";"psma5";"proteasome subunit alpha 5 [Source:ZFIN;Acc:ZDB-GENE-040625-96]"
"ENSDARG00000003902";"ENSDARG00000003902";"1 x 4";"72hpf_pos_hand2.1";"ctsl.1";"cathepsin L.1 [Source:ZFIN;Acc:ZDB-GENE-040718-61]"
"ENSDARG00000007836";"ENSDARG00000007836";"5 x 4";"72hpf_pos_tbx5";"ctsla";"cathepsin La [Source:ZFIN;Acc:ZDB-GENE-030131-106]"
"ENSDARG00000009640";"ENSDARG00000009640";"6 x 17";"72hpf_pos_gata5";"psmb1";"proteasome subunit beta 1 [Source:ZFIN;Acc:ZDB-GENE-040618-2]"
"ENSDARG00000010965";"ENSDARG00000010965";"28 x 9";"24hpf_pos";"psma8";"proteasome subunit alpha 8 [Source:ZFIN;Acc:ZDB-GENE-040426-2194]"
"ENSDARG00000011701";"ENSDARG00000011701";"16 x 23";"48hpf_pos";"ctsll";"cathepsin L, like [Source:ZFIN;Acc:ZDB-GENE-041010-76]"
"ENSDARG00000013771";"ENSDARG00000013771";"8 x 1";"72hpf_pos_hand2.1";"ctss2.2";"cathepsin S, ortholog 2, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-050626-55]"
