"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000013443";"ENSDARG00000013443";"13 x 6";"72hpf_pos_hand2.1";"atp6v1ba";"ATPase, H+ transporting, lysosomal, V1 subunit B, member a [Source:ZFIN;Acc:ZDB-GENE-030711-3]"
"ENSDARG00000023967";"ENSDARG00000023967";"5 x 13";"72hpf_pos_gata5.1";"atp6v1c1a";"ATPase, H+ transporting, lysosomal, V1 subunit C1a [Source:ZFIN;Acc:ZDB-GENE-030616-612]"
"ENSDARG00000034534";"ENSDARG00000034534";"1 x 21";"72hpf_neg_tbx5";"atp6v1aa";"ATPase, H+ transporting, lysosomal, V1 subunit Aa [Source:ZFIN;Acc:ZDB-GENE-040426-1143]"
"ENSDARG00000035880";"ENSDARG00000035880";"14 x 1";"72hpf_pos_gata5";"atp6v1c1b";"ATPase, H+ transporting, lysosomal, V1 subunit C1b [Source:ZFIN;Acc:ZDB-GENE-041010-104]"
"ENSDARG00000037153";"ENSDARG00000037153";"6 x 2";"48hpf_pos";"atp6ap1b";"ATPase, H+ transporting, lysosomal accessory protein 1b [Source:ZFIN;Acc:ZDB-GENE-020423-2]"
"ENSDARG00000041417";"ENSDARG00000041417";"13 x 39";"72hpf_neg_tbx5";"atp6ap1a";"ATPase, H+ transporting, lysosomal accessory protein 1a [Source:ZFIN;Acc:ZDB-GENE-090312-136]"
"ENSDARG00000043465";"ENSDARG00000043465";"5 x 37";"72hpf_neg_tbx5";"atp6v1b2";"ATPase, H+ transporting, lysosomal, V1 subunit B2 [Source:ZFIN;Acc:ZDB-GENE-030711-4]"
"ENSDARG00000045543";"ENSDARG00000045543";"3 x 12";"48hpf_pos";"atp6v1f";"ATPase, H+ transporting, lysosomal, V1 subunit F [Source:ZFIN;Acc:ZDB-GENE-040718-259]"
"ENSDARG00000070440";"ENSDARG00000070440";"15 x 6";"24hpf_pos.1";"";"ATPase, H+ transporting, lysosomal, V1 subunit C2 [Source:ZFIN;Acc:ZDB-GENE-131127-65]"
"ENSDARG00000076318";"ENSDARG00000076318";"6 x 2";"48hpf_pos.1";"atp6v1ab";"ATPase, H+ transporting, lysosomal, V1 subunit Ab [Source:ZFIN;Acc:ZDB-GENE-030131-9529]"
"ENSDARG00000090963";"ENSDARG00000090963";"12 x 36";"72hpf_neg_gata5";"";"ATPase, H+ transporting, lysosomal accessory protein 1-like b [Source:ZFIN;Acc:ZDB-GENE-050208-117]"
"ENSDARG00000091509";"ENSDARG00000091509";"9 x 38";"72hpf_neg_tbx5";"atp6ap1la";"ATPase, H+ transporting, lysosomal accessory protein 1-like a [Source:ZFIN;Acc:ZDB-GENE-110318-1]"
