"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000005049";"ENSDARG00000005049";"4 x 1";"72hpf_pos_gata5.1";"rab20";"RAB20, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-030131-9143]"
"ENSDARG00000007257";"ENSDARG00000007257";"24 x 5";"72hpf_pos_tbx5.1";"rab5ab";"RAB5A, member RAS oncogene family, b [Source:ZFIN;Acc:ZDB-GENE-040122-3]"
"ENSDARG00000018602";"ENSDARG00000018602";"5 x 13";"72hpf_pos_hand2.1";"rab5aa";"RAB5A, member RAS oncogene family, a [Source:ZFIN;Acc:ZDB-GENE-030131-139]"
"ENSDARG00000019144";"ENSDARG00000019144";"21 x 9";"72hpf_pos_gata5";"rab4a";"RAB4a, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-040525-1]"
"ENSDARG00000026712";"ENSDARG00000026712";"13 x 4";"24hpf_pos.1";"rab5c";"RAB5C, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-031118-30]"
"ENSDARG00000032865";"ENSDARG00000032865";"1 x 40";"72hpf_neg_tbx5";"pacsin1a";"protein kinase C and casein kinase substrate in neurons 1a [Source:ZFIN;Acc:ZDB-GENE-050522-155]"
"ENSDARG00000035188";"ENSDARG00000035188";"1 x 17";"72hpf_neg_hand2";"rab14l";"RAB14, member RAS oncogene family, like [Source:ZFIN;Acc:ZDB-GENE-040426-1207]"
"ENSDARG00000042128";"ENSDARG00000042128";"11 x 40";"48hpf_neg";"pacsin1b";"protein kinase C and casein kinase substrate in neurons 1b [Source:ZFIN;Acc:ZDB-GENE-050913-35]"
"ENSDARG00000054645";"ENSDARG00000054645";"6 x 2";"72hpf_pos_gata5.1";"si:ch211-51c14.1";"si:ch211-51c14.1 [Source:ZFIN;Acc:ZDB-GENE-120215-48]"
"ENSDARG00000057452";"ENSDARG00000057452";"12 x 13";"72hpf_neg";"ston2";"stonin 2 [Source:ZFIN;Acc:ZDB-GENE-050913-137]"
"ENSDARG00000062756";"ENSDARG00000062756";"15 x 15";"72hpf_pos_gata5";"pllp";"plasmolipin [Source:ZFIN;Acc:ZDB-GENE-050419-195]"
"ENSDARG00000074246";"ENSDARG00000074246";"10 x 5";"72hpf_pos_hand2.1";"rab14";"RAB14, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-030826-20]"
"ENSDARG00000078014";"ENSDARG00000078014";"16 x 2";"72hpf_pos_hand2.1";"pacsin2";"protein kinase C and casein kinase substrate in neurons 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2596]"
"ENSDARG00000091293";"ENSDARG00000091293";"1 x 12";"72hpf_neg_tbx5";"";"Dmx-like 2 [Source:ZFIN;Acc:ZDB-GENE-031007-6]"
"ENSDARG00000099339";"ENSDARG00000099339";"38 x 3";"24hpf_pos.1";"pacsin3";"protein kinase C and casein kinase substrate in neurons 3 [Source:ZFIN;Acc:ZDB-GENE-040426-984]"
