"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000008165";"ENSDARG00000008165";"10 x 8";"72hpf_pos_hand2.1";"caspa";"caspase a [Source:ZFIN;Acc:ZDB-GENE-000616-3]"
"ENSDARG00000014657";"ENSDARG00000014657";"15 x 20";"72hpf_pos_gata5";"zgc:171731";"zgc:171731 [Source:ZFIN;Acc:ZDB-GENE-071004-27]"
"ENSDARG00000015653";"ENSDARG00000015653";"1 x 20";"72hpf_neg_tbx5";"tnip1";"TNFAIP3 interacting protein 1 [Source:ZFIN;Acc:ZDB-GENE-070112-1502]"
"ENSDARG00000016188";"ENSDARG00000016188";"6 x 10";"72hpf_pos_hand2";"si:ch73-63e15.2";"si:ch73-63e15.2 [Source:ZFIN;Acc:ZDB-GENE-091204-463]"
"ENSDARG00000027777";"ENSDARG00000027777";"16 x 5";"72hpf_pos_gata5";"tnfaip3";"tumor necrosis factor, alpha-induced protein 3 [Source:ZFIN;Acc:ZDB-GENE-100212-2]"
"ENSDARG00000045556";"ENSDARG00000045556";"8 x 39";"72hpf_neg_tbx5";"si:dkey-37f18.2";"si:dkey-37f18.2 [Source:ZFIN;Acc:ZDB-GENE-131120-28]"
"ENSDARG00000045673";"ENSDARG00000045673";"23 x 15";"72hpf_pos_tbx5.1";"il22";"interleukin 22 [Source:ZFIN;Acc:ZDB-GENE-060209-3]"
"ENSDARG00000069335";"ENSDARG00000069335";"39 x 2";"24hpf_pos.1";"bcl6b";"B-cell CLL/lymphoma 6, member B [Source:ZFIN;Acc:ZDB-GENE-120907-1]"
"ENSDARG00000070864";"ENSDARG00000070864";"1 x 19";"72hpf_pos_hand2";"bcl6a";"B-cell CLL/lymphoma 6a (zinc finger protein 51) [Source:ZFIN;Acc:ZDB-GENE-040426-1696]"
"ENSDARG00000078904";"ENSDARG00000078904";"28 x 39";"48hpf_neg";"brd4";"bromodomain containing 4 [Source:ZFIN;Acc:ZDB-GENE-030131-267]"
"ENSDARG00000088612";"ENSDARG00000088612";"9 x 6";"72hpf_pos_hand2.1";"si:ch211-153b23.7";"si:ch211-153b23.7 [Source:ZFIN;Acc:ZDB-GENE-141216-14]"
"ENSDARG00000094433";"ENSDARG00000094433";"10 x 14";"72hpf_pos.1";"caspbl";"caspase b, like [Source:ZFIN;Acc:ZDB-GENE-090311-53]"
"ENSDARG00000098801";"ENSDARG00000098801";"37 x 26";"24hpf_pos.1";"";"strawberry notch homolog 2a [Source:ZFIN;Acc:ZDB-GENE-100629-3]"
