"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000027290";"ENSDARG00000027290";"29 x 37";"24hpf_pos.1";"nrp1b";"neuropilin 1b [Source:ZFIN;Acc:ZDB-GENE-040611-1]"
"ENSDARG00000031915";"ENSDARG00000031915";"29 x 22";"24hpf_pos";"hif1an";"hypoxia inducible factor 1, alpha subunit inhibitor [Source:ZFIN;Acc:ZDB-GENE-030826-19]"
"ENSDARG00000038446";"ENSDARG00000038446";"29 x 37";"24hpf_pos.1";"nrp2b";"neuropilin 2b [Source:ZFIN;Acc:ZDB-GENE-040611-3]"
"ENSDARG00000041449";"ENSDARG00000041449";"4 x 21";"72hpf_pos_gata5.1";"spred1";"sprouty-related, EVH1 domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2338]"
"ENSDARG00000041895";"ENSDARG00000041895";"39 x 36";"24hpf_neg";"cad";"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase [Source:ZFIN;Acc:ZDB-GENE-021030-4]"
"ENSDARG00000045273";"ENSDARG00000045273";"15 x 36";"72hpf_neg";"tmem204";"transmembrane protein 204 [Source:ZFIN;Acc:ZDB-GENE-040724-12]"
"ENSDARG00000068567";"ENSDARG00000068567";"1 x 30";"72hpf_neg_gata5";"shha";"sonic hedgehog a [Source:ZFIN;Acc:ZDB-GENE-980526-166]"
"ENSDARG00000070425";"ENSDARG00000070425";"32 x 38";"72hpf_neg_gata5";"dll4";"delta-like 4 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-041014-73]"
"ENSDARG00000070617";"ENSDARG00000070617";"28 x 2";"72hpf_pos_tbx5.1";"vhl";"von Hippel-Lindau tumor suppressor [Source:ZFIN;Acc:ZDB-GENE-070112-1042]"
"ENSDARG00000096546";"ENSDARG00000096546";"39 x 25";"24hpf_pos.1";"nrp2a";"neuropilin 2a [Source:ZFIN;Acc:ZDB-GENE-040611-2]"
