"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000006560";"ENSDARG00000006560";"18 x 32";"72hpf_neg_gata5";"irf4a";"interferon regulatory factor 4a [Source:ZFIN;Acc:ZDB-GENE-070912-330]"
"ENSDARG00000007387";"ENSDARG00000007387";"40 x 24";"24hpf_pos.1";"irf2a";"interferon regulatory factor 2a [Source:ZFIN;Acc:ZDB-GENE-030131-4135]"
"ENSDARG00000016457";"ENSDARG00000016457";"4 x 11";"72hpf_pos_hand2";"irf9";"interferon regulatory factor 9 [Source:ZFIN;Acc:ZDB-GENE-040912-165]"
"ENSDARG00000027658";"ENSDARG00000027658";"14 x 17";"72hpf_pos_gata5";"irf10";"interferon regulatory factor 10 [Source:ZFIN;Acc:ZDB-GENE-040426-2084]"
"ENSDARG00000037238";"ENSDARG00000037238";"28 x 8";"72hpf_pos_tbx5.1";"smad5";"SMAD family member 5 [Source:ZFIN;Acc:ZDB-GENE-990603-9]"
"ENSDARG00000040465";"ENSDARG00000040465";"22 x 1";"72hpf_pos_hand2.1";"irf2";"interferon regulatory factor 2 [Source:ZFIN;Acc:ZDB-GENE-041212-38]"
"ENSDARG00000043249";"ENSDARG00000043249";"9 x 14";"72hpf_pos_hand2";"irf1b";"thioredoxin domain containing 15 [Source:ZFIN;Acc:ZDB-GENE-070615-36]"
"ENSDARG00000043492";"ENSDARG00000043492";"34 x 18";"24hpf_pos.1";"irf1a";"interferon regulatory factor 1a [Source:ZFIN;Acc:ZDB-GENE-060421-4031]"
"ENSDARG00000045661";"ENSDARG00000045661";"17 x 10";"72hpf_pos_hand2.1";"irf7";"interferon regulatory factor 7 [Source:ZFIN;Acc:ZDB-GENE-040426-1518]"
"ENSDARG00000045681";"ENSDARG00000045681";"19 x 2";"72hpf_pos_hand2";"irf5";"interferon regulatory factor 5 [Source:ZFIN;Acc:ZDB-GENE-040426-2587]"
"ENSDARG00000055374";"ENSDARG00000055374";"29 x 15";"48hpf_pos";"irf4b";"interferon regulatory factor 4b [Source:ZFIN;Acc:ZDB-GENE-041001-131]"
"ENSDARG00000056407";"ENSDARG00000056407";"7 x 1";"72hpf_pos_hand2.1";"irf8";"interferon regulatory factor 8 [Source:ZFIN;Acc:ZDB-GENE-040718-367]"
"ENSDARG00000075226";"ENSDARG00000075226";"31 x 27";"72hpf_neg_hand2";"smad4a";"SMAD family member 4a [Source:ZFIN;Acc:ZDB-GENE-990603-8]"
"ENSDARG00000076251";"ENSDARG00000076251";"37 x 8";"24hpf_pos.1";"irf3";"interferon regulatory factor 3 [Source:ZFIN;Acc:ZDB-GENE-071120-7]"
"ENSDARG00000078784";"ENSDARG00000078784";"17 x 35";"72hpf_neg_tbx5";"mgaa";"MGA, MAX dimerization protein a [Source:ZFIN;Acc:ZDB-GENE-030603-1]"
"ENSDARG00000101986";"ENSDARG00000101986";"3 x 26";"72hpf_pos.1";"irf6";"interferon regulatory factor 6 [Source:ZFIN;Acc:ZDB-GENE-040426-1137]"
"ENSDARG00000102193";"ENSDARG00000102193";"36 x 15";"24hpf_pos.1";"";"interferon regulatory factor 4 like [Source:ZFIN;Acc:ZDB-GENE-071120-1]"
