"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000020623";"ENSDARG00000020623";"17 x 5";"24hpf_pos.1";"baxa";"bcl2-associated X protein, a [Source:ZFIN;Acc:ZDB-GENE-000511-6]"
"ENSDARG00000027744";"ENSDARG00000027744";"8 x 8";"72hpf_pos_hand2";"gadd45ba";"growth arrest and DNA-damage-inducible, beta a [Source:ZFIN;Acc:ZDB-GENE-040426-1971]"
"ENSDARG00000029688";"ENSDARG00000029688";"8 x 7";"72hpf_pos_hand2";"hsp70.1";"heat shock cognate 70-kd protein, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-990415-91]"
"ENSDARG00000036787";"ENSDARG00000036787";"17 x 24";"72hpf_neg_hand2";"abcb3l1";"ATP-binding cassette, sub-family B (MDR/TAP), member 3 like 1 [Source:ZFIN;Acc:ZDB-GENE-030616-245]"
"ENSDARG00000041411";"ENSDARG00000041411";"35 x 29";"24hpf_pos";"rad51";"RAD51 recombinase [Source:ZFIN;Acc:ZDB-GENE-040426-2286]"
"ENSDARG00000041623";"ENSDARG00000041623";"1 x 6";"72hpf_pos_gata5.1";"mt";"metallothionein 2 [Source:ZFIN;Acc:ZDB-GENE-030131-4174]"
"ENSDARG00000042644";"ENSDARG00000042644";"7 x 11";"72hpf_pos_gata5";"sod2";"superoxide dismutase 2, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-030131-7742]"
"ENSDARG00000043531";"ENSDARG00000043531";"12 x 11";"72hpf_pos.1";"jun";"jun proto-oncogene [Source:ZFIN;Acc:ZDB-GENE-030131-7859]"
"ENSDARG00000051939";"ENSDARG00000051939";"7 x 8";"72hpf_pos_tbx5";"pcxb";"pyruvate carboxylase b [Source:ZFIN;Acc:ZDB-GENE-000831-1]"
"ENSDARG00000055723";"ENSDARG00000055723";"9 x 7";"72hpf_pos_hand2";"hsp70l";"heat shock cognate 70-kd protein, like [Source:ZFIN;Acc:ZDB-GENE-050321-1]"
"ENSDARG00000063905";"ENSDARG00000063905";"9 x 13";"72hpf_pos.1";"COX1";"cytochrome c oxidase I, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-011205-14]"
"ENSDARG00000089129";"ENSDARG00000089129";"14 x 17";"72hpf_pos_gata5";"LOC100004321";"bcl2-associated X protein, a [Source:ZFIN;Acc:ZDB-GENE-000511-6]"
"ENSDARG00000092362";"ENSDARG00000092362";"9 x 7";"72hpf_pos_hand2";"hsp70.1";"heat shock cognate 70-kd protein, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-110405-1]"
