"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000011091";"ENSDARG00000011091";"14 x 29";"72hpf_neg_hand2";"drd2b";"dopamine receptor D2b [Source:ZFIN;Acc:ZDB-GENE-030910-2]"
"ENSDARG00000013210";"ENSDARG00000013210";"20 x 25";"48hpf_neg";"htr2cl2";"5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled-like 2 [Source:ZFIN;Acc:ZDB-GENE-120215-109]"
"ENSDARG00000014858";"ENSDARG00000014858";"21 x 33";"72hpf_neg_gata5";"drd2l";"dopamine receptor D2 like [Source:ZFIN;Acc:ZDB-GENE-030910-1]"
"ENSDARG00000015985";"ENSDARG00000015985";"12 x 38";"72hpf_neg_hand2";"abcc9";"ATP-binding cassette, sub-family C (CFTR/MRP), member 9 [Source:ZFIN;Acc:ZDB-GENE-050517-23]"
"ENSDARG00000018228";"ENSDARG00000018228";"40 x 13";"24hpf_pos.1";"htr2cl1";"5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled-like 1 [Source:ZFIN;Acc:ZDB-GENE-081104-48]"
"ENSDARG00000043531";"ENSDARG00000043531";"12 x 11";"72hpf_pos.1";"jun";"jun proto-oncogene [Source:ZFIN;Acc:ZDB-GENE-030131-7859]"
"ENSDARG00000051879";"ENSDARG00000051879";"6 x 39";"72hpf_neg_tbx5";"abcc8";"ATP-binding cassette, sub-family C (CFTR/MRP), member 8 [Source:ZFIN;Acc:ZDB-GENE-050517-22]"
"ENSDARG00000056926";"ENSDARG00000056926";"26 x 13";"48hpf_pos.1";"drd2a";"dopamine receptor D2a [Source:ZFIN;Acc:ZDB-GENE-021119-2]"
"ENSDARG00000057029";"ENSDARG00000057029";"28 x 24";"24hpf_neg";"";"5-hydroxytryptamine (serotonin) receptor 2A, genome duplicate a [Source:ZFIN;Acc:ZDB-GENE-070912-500]"
"ENSDARG00000058165";"ENSDARG00000058165";"22 x 30";"72hpf_neg_gata5";"htr2ab";"5-hydroxytryptamine (serotonin) receptor 2A, genome duplicate b [Source:ZFIN;Acc:ZDB-GENE-120215-60]"
"ENSDARG00000067850";"ENSDARG00000067850";"3 x 10";"72hpf_pos_hand2";"jund";"jun D proto-oncogene [Source:ZFIN;Acc:ZDB-GENE-070725-2]"
"ENSDARG00000070940";"ENSDARG00000070940";"38 x 26";"24hpf_pos";"htr2b";"5-hydroxytryptamine (serotonin) receptor 2B, G protein-coupled [Source:ZFIN;Acc:ZDB-GENE-081022-57]"
"ENSDARG00000074378";"ENSDARG00000074378";"9 x 1";"72hpf_pos_hand2";"junba";"jun B proto-oncogene a [Source:ZFIN;Acc:ZDB-GENE-040426-2172]"
"ENSDARG00000104090";"ENSDARG00000104090";"1 x 11";"72hpf_pos_hand2.1";"zgc:153924";"zgc:153924 [Source:ZFIN;Acc:ZDB-GENE-060929-812]"
