"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000857";"ENSDARG00000000857";"32 x 23";"24hpf_pos";"mapk14a";"mitogen-activated protein kinase 14a [Source:ZFIN;Acc:ZDB-GENE-010202-2]"
"ENSDARG00000003570";"ENSDARG00000003570";"5 x 29";"72hpf_neg";"hsp90b1";"heat shock protein 90, beta (grp94), member 1 [Source:ZFIN;Acc:ZDB-GENE-031002-1]"
"ENSDARG00000010478";"ENSDARG00000010478";"30 x 33";"24hpf_neg";"hsp90aa1.1";"heat shock protein 90, alpha (cytosolic), class A member 1, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-990415-94]"
"ENSDARG00000013576";"ENSDARG00000013576";"3 x 3";"72hpf_pos";"gadd45bb";"growth arrest and DNA-damage-inducible, beta b [Source:ZFIN;Acc:ZDB-GENE-050223-1]"
"ENSDARG00000016725";"ENSDARG00000016725";"7 x 40";"72hpf_neg_gata5";"gadd45gb.1";"growth arrest and DNA-damage-inducible, gamma b, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2321]"
"ENSDARG00000019417";"ENSDARG00000019417";"3 x 10";"72hpf_pos_tbx5.1";"gadd45ga";"growth arrest and DNA-damage-inducible, gamma a [Source:ZFIN;Acc:ZDB-GENE-040426-1882]"
"ENSDARG00000020744";"ENSDARG00000020744";"26 x 29";"24hpf_pos.1";"bdkrb1";"bradykinin receptor B1 [Source:ZFIN;Acc:ZDB-GENE-030814-1]"
"ENSDARG00000024317";"ENSDARG00000024317";"33 x 14";"24hpf_pos.1";"trap1";"TNF receptor-associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-4257]"
"ENSDARG00000024746";"ENSDARG00000024746";"7 x 27";"24hpf_pos.1";"hsp90aa1.2";"heat shock protein 90, alpha (cytosolic), class A member 1, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-031001-3]"
"ENSDARG00000027744";"ENSDARG00000027744";"8 x 8";"72hpf_pos_hand2";"gadd45ba";"growth arrest and DNA-damage-inducible, beta a [Source:ZFIN;Acc:ZDB-GENE-040426-1971]"
"ENSDARG00000028664";"ENSDARG00000028664";"40 x 5";"24hpf_pos";"ahsa1a";"AHA1, activator of heat shock protein ATPase homolog 1a [Source:ZFIN;Acc:ZDB-GENE-030131-1869]"
"ENSDARG00000029150";"ENSDARG00000029150";"24 x 36";"24hpf_neg";"hsp90ab1";"heat shock protein 90, alpha (cytosolic), class B member 1 [Source:ZFIN;Acc:ZDB-GENE-990415-95]"
"ENSDARG00000043581";"ENSDARG00000043581";"5 x 5";"48hpf_pos";"gadd45aa";"growth arrest and DNA-damage-inducible, alpha, a [Source:ZFIN;Acc:ZDB-GENE-040426-1501]"
"ENSDARG00000043664";"ENSDARG00000043664";"20 x 28";"72hpf_neg_gata5";"si:dkey-63b1.1";"si:dkey-63b1.1 [Source:ZFIN;Acc:ZDB-GENE-041210-292]"
"ENSDARG00000044676";"ENSDARG00000044676";"18 x 40";"72hpf_neg_gata5";"";"growth arrest and DNA damage inducible gamma [Source:HGNC Symbol;Acc:HGNC:4097]"
"ENSDARG00000079942";"ENSDARG00000079942";"40 x 15";"24hpf_pos.1";"bdkrb2";"bradykinin receptor B2 [Source:ZFIN;Acc:ZDB-GENE-060515-1]"
"ENSDARG00000087241";"ENSDARG00000087241";"14 x 25";"72hpf_neg_hand2";"ucn3l";"urocortin 3, like [Source:ZFIN;Acc:ZDB-GENE-060130-250]"
"ENSDARG00000100317";"ENSDARG00000100317";"31 x 17";"24hpf_pos";"ahsa1b";"AHA1, activator of heat shock protein ATPase homolog 1b [Source:ZFIN;Acc:ZDB-GENE-030131-664]"
"ENSDARG00000104571";"ENSDARG00000104571";"16 x 4";"48hpf_pos";"gadd45ab";"growth arrest and DNA-damage-inducible, alpha, b [Source:ZFIN;Acc:ZDB-GENE-040704-60]"
