"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002949";"ENSDARG00000002949";"27 x 3";"24hpf_pos";"ppp6c";"protein phosphatase 6, catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-040426-949]"
"ENSDARG00000008107";"ENSDARG00000008107";"31 x 38";"24hpf_pos.1";"src";"v-src avian sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog [Source:ZFIN;Acc:ZDB-GENE-030131-3809]"
"ENSDARG00000008192";"ENSDARG00000008192";"1 x 11";"48hpf_pos.1";"pank1a";"pantothenate kinase 1a [Source:ZFIN;Acc:ZDB-GENE-040426-2846]"
"ENSDARG00000015657";"ENSDARG00000015657";"28 x 20";"24hpf_pos";"zgc:77112";"zgc:77112 [Source:ZFIN;Acc:ZDB-GENE-040426-2219]"
"ENSDARG00000019228";"ENSDARG00000019228";"23 x 29";"72hpf_neg";"mogat2";"monoacylglycerol O-acyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-041010-186]"
"ENSDARG00000022000";"ENSDARG00000022000";"13 x 3";"72hpf_pos_tbx5.1";"traf3";"TNF receptor-associated factor 3 [Source:ZFIN;Acc:ZDB-GENE-040801-257]"
"ENSDARG00000032010";"ENSDARG00000032010";"6 x 1";"48hpf_pos";"slc15a2";"solute carrier family 15 (oligopeptide transporter), member 2 [Source:ZFIN;Acc:ZDB-GENE-030131-5866]"
"ENSDARG00000039217";"ENSDARG00000039217";"40 x 33";"24hpf_pos.1";"orc1";"origin recognition complex, subunit 1 [Source:ZFIN;Acc:ZDB-GENE-030131-6960]"
"ENSDARG00000040041";"ENSDARG00000040041";"39 x 34";"24hpf_neg";"mcm4";"minichromosome maintenance complex component 4 [Source:ZFIN;Acc:ZDB-GENE-030131-9544]"
"ENSDARG00000042641";"ENSDARG00000042641";"1 x 23";"72hpf_pos_gata5";"cyp51";"cytochrome P450, family 51 [Source:ZFIN;Acc:ZDB-GENE-040625-2]"
"ENSDARG00000042725";"ENSDARG00000042725";"7 x 7";"72hpf_pos_hand2.1";"cebpb";"CCAAT/enhancer binding protein (C/EBP), beta [Source:ZFIN;Acc:ZDB-GENE-020111-3]"
"ENSDARG00000044642";"ENSDARG00000044642";"12 x 14";"72hpf_pos_tbx5.1";"sc5d";"sterol-C5-desaturase [Source:ZFIN;Acc:ZDB-GENE-040912-56]"
"ENSDARG00000051925";"ENSDARG00000051925";"13 x 9";"72hpf_pos_tbx5.1";"cyb5r2";"cytochrome b5 reductase 2 [Source:ZFIN;Acc:ZDB-GENE-060825-83]"
"ENSDARG00000054914";"ENSDARG00000054914";"36 x 1";"24hpf_pos.1";"dgat1b";"diacylglycerol O-acyltransferase 1b [Source:ZFIN;Acc:ZDB-GENE-040718-158]"
"ENSDARG00000057853";"ENSDARG00000057853";"11 x 5";"72hpf_pos_hand2";"atp6v0ca";"ATPase, H+ transporting, lysosomal, V0 subunit ca [Source:ZFIN;Acc:ZDB-GENE-020419-23]"
"ENSDARG00000062972";"ENSDARG00000062972";"23 x 31";"72hpf_neg_gata5";"hip1";"huntingtin interacting protein 1 [Source:ZFIN;Acc:ZDB-GENE-010328-15]"
"ENSDARG00000063100";"ENSDARG00000063100";"32 x 8";"72hpf_pos";"psmd14";"proteasome 26S subunit, non-ATPase 14 [Source:ZFIN;Acc:ZDB-GENE-070410-56]"
"ENSDARG00000063229";"ENSDARG00000063229";"18 x 37";"72hpf_neg_gata5";"xpo1b";"exportin 1 (CRM1 homolog, yeast) b [Source:ZFIN;Acc:ZDB-GENE-070530-6]"
"ENSDARG00000063677";"ENSDARG00000063677";"16 x 3";"48hpf_pos";"ccny";"cyclin Y [Source:ZFIN;Acc:ZDB-GENE-091117-45]"
"ENSDARG00000099315";"ENSDARG00000099315";"9 x 16";"72hpf_pos_gata5";"nsdhl";"NAD(P) dependent steroid dehydrogenase-like [Source:ZFIN;Acc:ZDB-GENE-050417-163]"
"ENSDARG00000101813";"ENSDARG00000101813";"36 x 33";"24hpf_neg";"nap1l1";"nucleosome assembly protein 1-like 1 [Source:ZFIN;Acc:ZDB-GENE-030516-2]"
"ENSDARG00000103467";"ENSDARG00000103467";"1 x 18";"72hpf_pos_hand2.1";"limk1a";"LIM domain kinase 1a [Source:ZFIN;Acc:ZDB-GENE-061212-3]"
"ENSDARG00000103846";"ENSDARG00000103846";"8 x 29";"72hpf_pos_tbx5";"hspa5";"heat shock protein 5 [Source:ZFIN;Acc:ZDB-GENE-031001-11]"
