"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003599";"ENSDARG00000003599";"30 x 23";"24hpf_neg";"rpl3";"ribosomal protein L3 [Source:ZFIN;Acc:ZDB-GENE-030131-1291]"
"ENSDARG00000006316";"ENSDARG00000006316";"20 x 7";"72hpf_pos_hand2";"rpl23a";"ribosomal protein L23a [Source:ZFIN;Acc:ZDB-GENE-030131-7479]"
"ENSDARG00000006691";"ENSDARG00000006691";"16 x 5";"72hpf_pos_gata5.1";"rpl12";"ribosomal protein L12 [Source:ZFIN;Acc:ZDB-GENE-030131-5297]"
"ENSDARG00000007130";"ENSDARG00000007130";"40 x 28";"24hpf_pos.1";"mrto4";"MRT4 homolog, ribosome maturation factor [Source:ZFIN;Acc:ZDB-GENE-050417-142]"
"ENSDARG00000008976";"ENSDARG00000008976";"39 x 31";"24hpf_pos";"mdn1";"midasin AAA ATPase 1 [Source:ZFIN;Acc:ZDB-GENE-041001-138]"
"ENSDARG00000013075";"ENSDARG00000013075";"27 x 1";"24hpf_pos.1";"mrpl11";"mitochondrial ribosomal protein L11 [Source:ZFIN;Acc:ZDB-GENE-040718-294]"
"ENSDARG00000015862";"ENSDARG00000015862";"32 x 12";"72hpf_pos";"rpl5b";"ribosomal protein L5b [Source:ZFIN;Acc:ZDB-GENE-040625-93]"
"ENSDARG00000020197";"ENSDARG00000020197";"8 x 15";"72hpf_pos";"rpl5a";"ribosomal protein L5a [Source:ZFIN;Acc:ZDB-GENE-030131-5161]"
"ENSDARG00000022232";"ENSDARG00000022232";"34 x 8";"24hpf_pos";"ppan";"peter pan homolog (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-030114-4]"
"ENSDARG00000025581";"ENSDARG00000025581";"27 x 8";"24hpf_pos";"rpl10";"ribosomal protein L10 [Source:ZFIN;Acc:ZDB-GENE-030131-8656]"
"ENSDARG00000040439";"ENSDARG00000040439";"2 x 13";"72hpf_pos_gata5.1";"rsl24d1";"ribosomal L24 domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1925]"
"ENSDARG00000043509";"ENSDARG00000043509";"26 x 7";"24hpf_pos";"rpl11";"ribosomal protein L11 [Source:ZFIN;Acc:ZDB-GENE-040625-147]"
"ENSDARG00000043960";"ENSDARG00000043960";"36 x 3";"24hpf_pos";"rpf2";"ribosome production factor 2 homolog [Source:ZFIN;Acc:ZDB-GENE-040426-2501]"
"ENSDARG00000057105";"ENSDARG00000057105";"35 x 29";"24hpf_pos.1";"nle1";"notchless homolog 1 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-050522-321]"
"ENSDARG00000058451";"ENSDARG00000058451";"29 x 24";"24hpf_pos.1";"rpl6";"ribosomal protein L6 [Source:ZFIN;Acc:ZDB-GENE-030131-8671]"
"ENSDARG00000090462";"ENSDARG00000090462";"22 x 8";"72hpf_pos_gata5.1";"mrpl20";"mitochondrial ribosomal protein L20 [Source:ZFIN;Acc:ZDB-GENE-030131-5299]"
