"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000007494";"ENSDARG00000007494";"31 x 16";"24hpf_pos";"st3gal8";"ST3 beta-galactoside alpha-2,3-sialyltransferase 8 [Source:ZFIN;Acc:ZDB-GENE-050417-286]"
"ENSDARG00000015252";"ENSDARG00000015252";"40 x 31";"24hpf_pos";"st3gal3b";"ST3 beta-galactoside alpha-2,3-sialyltransferase 3b [Source:ZFIN;Acc:ZDB-GENE-050411-13]"
"ENSDARG00000015374";"ENSDARG00000015374";"40 x 26";"24hpf_pos.1";"st3gal3a";"ST3 beta-galactoside alpha-2,3-sialyltransferase 3a [Source:ZFIN;Acc:ZDB-GENE-040426-1322]"
"ENSDARG00000018788";"ENSDARG00000018788";"9 x 40";"24hpf_neg";"st8sia2";"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-020919-4]"
"ENSDARG00000021195";"ENSDARG00000021195";"16 x 8";"72hpf_pos_hand2";"st8sia6";"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6 [Source:ZFIN;Acc:ZDB-GENE-060322-9]"
"ENSDARG00000036584";"ENSDARG00000036584";"5 x 40";"72hpf_neg_tbx5";"st8sia5";"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5 [Source:ZFIN;Acc:ZDB-GENE-060322-8]"
"ENSDARG00000036913";"ENSDARG00000036913";"14 x 33";"72hpf_neg_tbx5";"";"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6 [Source:ZFIN;Acc:ZDB-GENE-060322-7]"
"ENSDARG00000037556";"ENSDARG00000037556";"28 x 5";"72hpf_pos_gata5.1";"st3gal5";"ST3 beta-galactoside alpha-2,3-sialyltransferase 5 [Source:ZFIN;Acc:ZDB-GENE-060322-1]"
"ENSDARG00000038533";"ENSDARG00000038533";"21 x 19";"72hpf_pos_hand2";"st3gal1l2";"ST3 beta-galactoside alpha-2,3-sialyltransferase 1, like 2 [Source:ZFIN;Acc:ZDB-GENE-120426-1]"
"ENSDARG00000039064";"ENSDARG00000039064";"10 x 13";"72hpf_pos.1";"st3gal7";"ST3 beta-galactoside alpha-2,3-sialyltransferase 7 [Source:ZFIN;Acc:ZDB-GENE-060322-2]"
"ENSDARG00000039220";"ENSDARG00000039220";"25 x 10";"72hpf_pos_gata5.1";"st6galnac5a";"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5a [Source:ZFIN;Acc:ZDB-GENE-070705-488]"
"ENSDARG00000039335";"ENSDARG00000039335";"10 x 37";"72hpf_neg_hand2";"st6gal2a";"ST6 beta-galactosamide alpha-2,6-sialyltranferase 2a [Source:ZFIN;Acc:ZDB-GENE-060322-4]"
"ENSDARG00000041006";"ENSDARG00000041006";"40 x 34";"24hpf_pos";"st3gal4";"ST3 beta-galactoside alpha-2,3-sialyltransferase 4 [Source:ZFIN;Acc:ZDB-GENE-050309-174]"
"ENSDARG00000043814";"ENSDARG00000043814";"32 x 34";"24hpf_pos.1";"st6galnac1.1";"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-041014-160]"
