"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000016749";"ENSDARG00000016749";"3 x 1";"48hpf_pos";"slco1c1";"solute carrier organic anion transporter family, member 1C1 [Source:ZFIN;Acc:ZDB-GENE-041210-50]"
"ENSDARG00000018726";"ENSDARG00000018726";"16 x 4";"72hpf_pos";"slco3a1";"solute carrier organic anion transporter family, member 3A1 [Source:ZFIN;Acc:ZDB-GENE-030131-8662]"
"ENSDARG00000019713";"ENSDARG00000019713";"8 x 8";"72hpf_pos_tbx5";"";"organic anion transporter X [Source:ZFIN;Acc:ZDB-GENE-070115-1]"
"ENSDARG00000054609";"ENSDARG00000054609";"1 x 22";"72hpf_neg";"slco2b1";"solute carrier organic anion transporter family, member 2B1 [Source:ZFIN;Acc:ZDB-GENE-051023-6]"
"ENSDARG00000056028";"ENSDARG00000056028";"1 x 1";"72hpf_pos_gata5.1";"slc22a7a";"solute carrier family 22 (organic anion transporter), member 7a [Source:ZFIN;Acc:ZDB-GENE-050506-52]"
"ENSDARG00000056643";"ENSDARG00000056643";"32 x 20";"24hpf_pos";"slc22a7b.1";"solute carrier family 22 (organic anion transporter), member 7b, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1311]"
"ENSDARG00000056652";"ENSDARG00000056652";"21 x 22";"72hpf_neg_tbx5";"slc22a7b.1";"zmp:0000001102 [Source:ZFIN;Acc:ZDB-GENE-140106-62]"
"ENSDARG00000059166";"ENSDARG00000059166";"18 x 9";"72hpf_pos_hand2";"slc22a13b";"solute carrier family 22 member 13b [Source:ZFIN;Acc:ZDB-GENE-061013-532]"
"ENSDARG00000061896";"ENSDARG00000061896";"9 x 12";"72hpf_pos_tbx5";"slco2a1";"solute carrier organic anion transporter family, member 2A1 [Source:ZFIN;Acc:ZDB-GENE-060606-3]"
"ENSDARG00000062182";"ENSDARG00000062182";"23 x 28";"72hpf_neg";"slc22a7b.3";"solute carrier family 22 (organic anion transporter), member 7b, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-131120-103]"
"ENSDARG00000071685";"ENSDARG00000071685";"1 x 18";"72hpf_pos_tbx5.1";"LOC556735";"solute carrier organic anion transporter family member 5A1a [Source:ZFIN;Acc:ZDB-GENE-090316-1]"
"ENSDARG00000075948";"ENSDARG00000075948";"4 x 30";"72hpf_pos.1";"slco4a1";"solute carrier organic anion transporter family, member 4A1 [Source:ZFIN;Acc:ZDB-GENE-060606-4]"
"ENSDARG00000086104";"ENSDARG00000086104";"14 x 39";"72hpf_neg_tbx5";"slco5a1a";"solute carrier organic anion transporter family member 5A1b [Source:ZFIN;Acc:ZDB-GENE-070912-587]"
"ENSDARG00000091252";"ENSDARG00000091252";"32 x 21";"24hpf_pos";"";"solute carrier family 22 (organic anion transporter), member 7b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030131-9391]"
