"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002084";"ENSDARG00000002084";"6 x 5";"48hpf_pos.1";"lamb2";"laminin, beta 2 (laminin S) [Source:ZFIN;Acc:ZDB-GENE-081030-4]"
"ENSDARG00000003399";"ENSDARG00000003399";"34 x 25";"24hpf_neg";"fgf8a";"fibroblast growth factor 8a [Source:ZFIN;Acc:ZDB-GENE-990415-72]"
"ENSDARG00000004173";"ENSDARG00000004173";"27 x 29";"72hpf_neg";"copa";"coatomer protein complex, subunit alpha [Source:ZFIN;Acc:ZDB-GENE-020905-2]"
"ENSDARG00000007891";"ENSDARG00000007891";"34 x 40";"24hpf_neg";"meox1";"mesenchyme homeobox 1 [Source:ZFIN;Acc:ZDB-GENE-040718-149]"
"ENSDARG00000008487";"ENSDARG00000008487";"3 x 30";"72hpf_pos.1";"dmd";"dystrophin [Source:ZFIN;Acc:ZDB-GENE-010426-1]"
"ENSDARG00000011785";"ENSDARG00000011785";"40 x 30";"24hpf_neg";"tbx6";"T-box 6 [Source:ZFIN;Acc:ZDB-GENE-020416-5]"
"ENSDARG00000015540";"ENSDARG00000015540";"6 x 4";"72hpf_pos_gata5.1";"psen2";"presenilin 2 [Source:ZFIN;Acc:ZDB-GENE-000330-9]"
"ENSDARG00000019004";"ENSDARG00000019004";"22 x 39";"48hpf_neg";"smarcd1";"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1835]"
"ENSDARG00000020482";"ENSDARG00000020482";"22 x 40";"48hpf_neg";"nono";"non-POU domain containing, octamer-binding [Source:ZFIN;Acc:ZDB-GENE-030131-713]"
"ENSDARG00000021201";"ENSDARG00000021201";"28 x 25";"24hpf_neg";"noto";"notochord homeobox [Source:ZFIN;Acc:ZDB-GENE-990415-75]"
"ENSDARG00000023299";"ENSDARG00000023299";"38 x 33";"24hpf_neg";"snu13b";"SNU13 homolog, small nuclear ribonucleoprotein b (U4/U6.U5) [Source:ZFIN;Acc:ZDB-GENE-030131-9670]"
"ENSDARG00000030494";"ENSDARG00000030494";"32 x 11";"24hpf_neg";"hfe2";"hemochromatosis type 2 [Source:ZFIN;Acc:ZDB-GENE-030131-651]"
"ENSDARG00000035095";"ENSDARG00000035095";"40 x 6";"24hpf_pos.1";"tdgf1";"teratocarcinoma-derived growth factor 1 [Source:ZFIN;Acc:ZDB-GENE-990415-198]"
"ENSDARG00000036279";"ENSDARG00000036279";"25 x 30";"72hpf_neg";"lamc1";"laminin, gamma 1 [Source:ZFIN;Acc:ZDB-GENE-021226-3]"
"ENSDARG00000038743";"ENSDARG00000038743";"12 x 22";"72hpf_pos.1";"copb2";"coatomer protein complex, subunit beta 2 [Source:ZFIN;Acc:ZDB-GENE-010724-7]"
"ENSDARG00000039563";"ENSDARG00000039563";"3 x 22";"72hpf_pos.1";"loxl3b";"lysyl oxidase-like 3b [Source:ZFIN;Acc:ZDB-GENE-030131-8210]"
"ENSDARG00000040911";"ENSDARG00000040911";"5 x 30";"72hpf_pos.1";"meox2a";"mesenchyme homeobox 2a [Source:ZFIN;Acc:ZDB-GENE-080613-1]"
"ENSDARG00000040955";"ENSDARG00000040955";"21 x 23";"48hpf_neg";"dharma";"dharma [Source:ZFIN;Acc:ZDB-GENE-990415-22]"
"ENSDARG00000056557";"ENSDARG00000056557";"8 x 24";"72hpf_pos.1";"copb1";"coatomer protein complex, subunit beta 1 [Source:ZFIN;Acc:ZDB-GENE-030219-38]"
"ENSDARG00000061818";"ENSDARG00000061818";"17 x 34";"72hpf_neg";"meox2b";"mesenchyme homeobox 2b [Source:ZFIN;Acc:ZDB-GENE-060503-853]"
"ENSDARG00000063036";"ENSDARG00000063036";"12 x 39";"48hpf_neg";"psd2";"pleckstrin and Sec7 domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-030131-3033]"
"ENSDARG00000069937";"ENSDARG00000069937";"39 x 4";"24hpf_pos.1";"dnm2a";"dynamin 2a [Source:ZFIN;Acc:ZDB-GENE-050913-84]"
"ENSDARG00000076306";"ENSDARG00000076306";"22 x 14";"72hpf_neg";"loxl3a";"lysyl oxidase-like 3a [Source:ZFIN;Acc:ZDB-GENE-070818-2]"
"ENSDARG00000099746";"ENSDARG00000099746";"9 x 3";"72hpf_pos_tbx5.1";"rgs3a";"regulator of G protein signaling 3a [Source:ZFIN;Acc:ZDB-GENE-040801-150]"
"ENSDARG00000099979";"ENSDARG00000099979";"4 x 29";"72hpf_neg";"tgfbr3";"transforming growth factor, beta receptor III [Source:ZFIN;Acc:ZDB-GENE-120215-125]"
"ENSDARG00000101209";"ENSDARG00000101209";"33 x 36";"72hpf_neg";"lamb1a";"laminin, beta 1a [Source:ZFIN;Acc:ZDB-GENE-021226-1]"
"ENSDARG00000101576";"ENSDARG00000101576";"17 x 16";"24hpf_neg";"ta";"T, brachyury homolog a [Source:ZFIN;Acc:ZDB-GENE-980526-437]"
"ENSDARG00000101873";"ENSDARG00000101873";"39 x 8";"48hpf_pos.1";"dtwd2";"DTW domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-120215-183]"
"ENSDARG00000102277";"ENSDARG00000102277";"39 x 40";"24hpf_pos";"lama1";"laminin, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-060118-1]"
"ENSDARG00000102464";"ENSDARG00000102464";"31 x 38";"72hpf_neg";"wnt5b";"wingless-type MMTV integration site family, member 5b [Source:ZFIN;Acc:ZDB-GENE-980526-87]"
