"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000009026";"ENSDARG00000009026";"8 x 40";"72hpf_neg_tbx5";"ank2a";"ankyrin 2a, neuronal [Source:ZFIN;Acc:ZDB-GENE-111215-3]"
"ENSDARG00000019208";"ENSDARG00000019208";"9 x 39";"72hpf_neg_tbx5";"camsap1a";"calmodulin regulated spectrin-associated protein 1a [Source:ZFIN;Acc:ZDB-GENE-060518-4]"
"ENSDARG00000035122";"ENSDARG00000035122";"28 x 36";"72hpf_neg_tbx5";"camsap1b";"calmodulin regulated spectrin-associated protein 1b [Source:ZFIN;Acc:ZDB-GENE-070705-301]"
"ENSDARG00000043313";"ENSDARG00000043313";"4 x 40";"72hpf_neg_tbx5";"ank2b";"ankyrin 2b, neuronal [Source:ZFIN;Acc:ZDB-GENE-041010-165]"
"ENSDARG00000059475";"ENSDARG00000059475";"6 x 31";"48hpf_neg";"camsap3";"calmodulin regulated spectrin-associated protein family, member 3 [Source:ZFIN;Acc:ZDB-GENE-060503-811]"
"ENSDARG00000059965";"ENSDARG00000059965";"7 x 13";"72hpf_pos_tbx5";"camsap2b";"calmodulin regulated spectrin-associated protein family, member 2b [Source:ZFIN;Acc:ZDB-GENE-070912-80]"
"ENSDARG00000061736";"ENSDARG00000061736";"3 x 40";"72hpf_neg_tbx5";"ank3a";"ankyrin 3a [Source:ZFIN;Acc:ZDB-GENE-060621-1]"
"ENSDARG00000062173";"ENSDARG00000062173";"12 x 40";"72hpf_neg_tbx5";"camsap2a";"calmodulin regulated spectrin-associated protein family, member 2a [Source:ZFIN;Acc:ZDB-GENE-030131-3016]"
"ENSDARG00000077582";"ENSDARG00000077582";"7 x 30";"72hpf_neg_tbx5";"ank3b";"ankyrin 3b [Source:ZFIN;Acc:ZDB-GENE-060621-2]"
"ENSDARG00000091359";"ENSDARG00000091359";"3 x 40";"72hpf_neg_tbx5";"";""
"ENSDARG00000092758";"ENSDARG00000092758";"12 x 13";"72hpf_pos.1";"si:dkey-86e18.2";"si:dkey-86e18.2 [Source:ZFIN;Acc:ZDB-GENE-041014-19]"
