"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000013453";"ENSDARG00000013453";"13 x 27";"72hpf_neg_hand2";"tdrd9";"tudor domain containing 9 [Source:ZFIN;Acc:ZDB-GENE-090313-193]"
"ENSDARG00000021455";"ENSDARG00000021455";"11 x 30";"72hpf_neg_tbx5";"strbp";"spermatid perinuclear RNA binding protein [Source:ZFIN;Acc:ZDB-GENE-030729-18]"
"ENSDARG00000025948";"ENSDARG00000025948";"36 x 29";"24hpf_neg";"mlh1";"mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli) [Source:ZFIN;Acc:ZDB-GENE-040426-1600]"
"ENSDARG00000026081";"ENSDARG00000026081";"18 x 13";"72hpf_pos";"lhcgr";"luteinizing hormone/choriogonadotropin receptor [Source:ZFIN;Acc:ZDB-GENE-040806-3]"
"ENSDARG00000039820";"ENSDARG00000039820";"39 x 24";"72hpf_pos_tbx5.1";"mea1";"male-enhanced antigen 1 [Source:ZFIN;Acc:ZDB-GENE-070424-117]"
"ENSDARG00000041699";"ENSDARG00000041699";"21 x 11";"72hpf_pos_gata5.1";"piwil1";"piwi-like RNA-mediated gene silencing 1 [Source:ZFIN;Acc:ZDB-GENE-030813-2]"
"ENSDARG00000042637";"ENSDARG00000042637";"38 x 30";"24hpf_pos";"tert";"telomerase reverse transcriptase [Source:ZFIN;Acc:ZDB-GENE-080405-1]"
"ENSDARG00000043912";"ENSDARG00000043912";"28 x 21";"72hpf_neg_gata5";"mei4";"meiosis-specific, MEI4 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040724-211]"
"ENSDARG00000045705";"ENSDARG00000045705";"10 x 19";"72hpf_pos.1";"meig1";"meiosis/spermiogenesis associated 1 [Source:ZFIN;Acc:ZDB-GENE-050320-33]"
"ENSDARG00000057699";"ENSDARG00000057699";"30 x 29";"72hpf_pos.1";"styx";"serine/threonine/tyrosine interacting protein [Source:ZFIN;Acc:ZDB-GENE-050522-45]"
"ENSDARG00000059951";"ENSDARG00000059951";"23 x 25";"72hpf_neg";"pld6";"phospholipase D family, member 6 [Source:ZFIN;Acc:ZDB-GENE-030131-3825]"
"ENSDARG00000060542";"ENSDARG00000060542";"34 x 39";"72hpf_neg";"lgr4";"Leucine-rich repeat-containing G-protein coupled receptor 4  [Source:UniProtKB/Swiss-Prot;Acc:E7FE13]"
"ENSDARG00000062601";"ENSDARG00000062601";"33 x 17";"24hpf_pos.1";"piwil2";"piwi-like RNA-mediated gene silencing 2 [Source:ZFIN;Acc:ZDB-GENE-060526-345]"
"ENSDARG00000063003";"ENSDARG00000063003";"29 x 1";"24hpf_pos.1";"alkbh5";"alkB homolog 5, RNA demethylase [Source:ZFIN;Acc:ZDB-GENE-061013-602]"
"ENSDARG00000071450";"ENSDARG00000071450";"9 x 22";"72hpf_pos.1";"tdrd5";"tudor domain containing 5 [Source:ZFIN;Acc:ZDB-GENE-050208-502]"
"ENSDARG00000071494";"ENSDARG00000071494";"25 x 20";"72hpf_pos_tbx5";"fshr";"follicle stimulating hormone receptor [Source:ZFIN;Acc:ZDB-GENE-020423-5]"
"ENSDARG00000077523";"ENSDARG00000077523";"17 x 2";"72hpf_pos_tbx5";"sb:cb829";"Tudor domain-containing protein 7B  [Source:UniProtKB/Swiss-Prot;Acc:E7FDW8]"
"ENSDARG00000077531";"ENSDARG00000077531";"15 x 34";"48hpf_neg";"bag6l";"BCL2-associated athanogene 6, like [Source:ZFIN;Acc:ZDB-GENE-060307-2]"
"ENSDARG00000079015";"ENSDARG00000079015";"38 x 30";"24hpf_neg";"brca2";"breast cancer 2, early onset [Source:ZFIN;Acc:ZDB-GENE-060510-3]"
"ENSDARG00000092889";"ENSDARG00000092889";"9 x 21";"72hpf_pos.1";"zgc:194246";"zgc:194246 [Source:ZFIN;Acc:ZDB-GENE-081022-85]"
"ENSDARG00000099042";"ENSDARG00000099042";"23 x 11";"72hpf_pos_gata5.1";"cfap157";"cilia and flagella associated protein 157 [Source:ZFIN;Acc:ZDB-GENE-060526-118]"
"ENSDARG00000099485";"ENSDARG00000099485";"23 x 15";"72hpf_pos_tbx5.1";"m1ap";"meiosis 1 associated protein [Source:ZFIN;Acc:ZDB-GENE-070410-19]"
"ENSDARG00000099586";"ENSDARG00000099586";"40 x 14";"24hpf_pos.1";"LOC100535654";"gametocyte specific factor 1 [Source:HGNC Symbol;Acc:HGNC:26565]"
"ENSDARG00000100224";"ENSDARG00000100224";"34 x 20";"72hpf_neg_hand2";"";""
"ENSDARG00000103312";"ENSDARG00000103312";"21 x 28";"72hpf_neg_gata5";"";""
"ENSDARG00000104936";"ENSDARG00000104936";"5 x 1";"48hpf_pos.1";"si:ch211-225h24.2";"si:ch211-225h24.2 [Source:ZFIN;Acc:ZDB-GENE-030131-1581]"
