"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003344";"ENSDARG00000003344";"22 x 32";"72hpf_neg_gata5";"trpc2b";"transient receptor potential cation channel, subfamily C, member 2b [Source:ZFIN;Acc:ZDB-GENE-050712-3]"
"ENSDARG00000011515";"ENSDARG00000011515";"40 x 3";"24hpf_pos";"orai1a";"ORAI calcium release-activated calcium modulator 1a [Source:ZFIN;Acc:ZDB-GENE-110721-1]"
"ENSDARG00000035148";"ENSDARG00000035148";"5 x 17";"48hpf_pos.1";"orai2";"ORAI calcium release-activated calcium modulator 2 [Source:ZFIN;Acc:ZDB-GENE-060531-127]"
"ENSDARG00000039065";"ENSDARG00000039065";"19 x 25";"72hpf_neg_tbx5";"";"transient receptor potential cation channel, subfamily C, member 2a [Source:ZFIN;Acc:ZDB-GENE-130530-602]"
"ENSDARG00000056625";"ENSDARG00000056625";"25 x 32";"72hpf_neg";"trpc6a";"transient receptor potential cation channel, subfamily C, member 6a [Source:ZFIN;Acc:ZDB-GENE-040724-114]"
"ENSDARG00000060837";"ENSDARG00000060837";"16 x 29";"72hpf_neg_tbx5";"";"transient receptor potential cation channel, subfamily C, member 5b [Source:ZFIN;Acc:ZDB-GENE-091112-24]"
"ENSDARG00000061203";"ENSDARG00000061203";"9 x 36";"72hpf_neg_tbx5";"trpc1";"transient receptor potential cation channel, subfamily C, member 1 [Source:ZFIN;Acc:ZDB-GENE-070830-1]"
"ENSDARG00000070504";"ENSDARG00000070504";"13 x 31";"72hpf_neg_hand2";"trpc5a";"transient receptor potential cation channel, subfamily C, member 5a [Source:ZFIN;Acc:ZDB-GENE-040812-1]"
"ENSDARG00000070507";"ENSDARG00000070507";"12 x 30";"72hpf_neg_hand2";"trpc4a";"transient receptor potential cation channel, subfamily C, member 4a [Source:ZFIN;Acc:ZDB-GENE-131217-1]"
"ENSDARG00000079469";"ENSDARG00000079469";"13 x 31";"72hpf_neg_tbx5";"";"transient receptor potential cation channel subfamily C member 7 [Source:HGNC Symbol;Acc:HGNC:20754]"
