"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000001437";"ENSDARG00000001437";"27 x 14";"24hpf_neg";"slc2a1a";"solute carrier family 2 (facilitated glucose transporter), member 1a [Source:ZFIN;Acc:ZDB-GENE-030131-3158]"
"ENSDARG00000001937";"ENSDARG00000001937";"21 x 34";"24hpf_neg";"LOC100334818";""
"ENSDARG00000007412";"ENSDARG00000007412";"2 x 13";"72hpf_pos_hand2";"slc2a1b";"solute carrier family 2 (facilitated glucose transporter), member 1b [Source:ZFIN;Acc:ZDB-GENE-090915-1]"
"ENSDARG00000013295";"ENSDARG00000013295";"6 x 37";"72hpf_neg_tbx5";"slc2a3a";"solute carrier family 2 (facilitated glucose transporter), member 3a [Source:ZFIN;Acc:ZDB-GENE-040718-390]"
"ENSDARG00000014951";"ENSDARG00000014951";"25 x 20";"24hpf_pos.1";"";"SV2 related protein b [Source:ZFIN;Acc:ZDB-GENE-070705-359]"
"ENSDARG00000029894";"ENSDARG00000029894";"1 x 1";"48hpf_pos";"slc2a15a";"solute carrier family 2 (facilitated glucose transporter), member 15a [Source:ZFIN;Acc:ZDB-GENE-060531-109]"
"ENSDARG00000036865";"ENSDARG00000036865";"6 x 11";"72hpf_pos_tbx5";"slc2a12";"solute carrier family 2 (facilitated glucose transporter), member 12 [Source:ZFIN;Acc:ZDB-GENE-040426-1513]"
"ENSDARG00000037861";"ENSDARG00000037861";"10 x 1";"24hpf_pos.1";"slc2a3b";"solute carrier family 2 (facilitated glucose transporter), member 3b [Source:ZFIN;Acc:ZDB-GENE-121031-5]"
"ENSDARG00000053269";"ENSDARG00000053269";"1 x 1";"48hpf_pos";"slc2a15b";"solute carrier family 2 (facilitated glucose transporter), member 15b [Source:ZFIN;Acc:ZDB-GENE-050508-1]"
"ENSDARG00000053961";"ENSDARG00000053961";"17 x 26";"72hpf_pos_hand2";"slc2a11a";"solute carrier family 2 (facilitated glucose transporter), member 11a [Source:ZFIN;Acc:ZDB-GENE-080723-20]"
"ENSDARG00000056196";"ENSDARG00000056196";"8 x 10";"72hpf_pos.1";"slc2a2";"solute carrier family 2 (facilitated glucose transporter), member 2 [Source:ZFIN;Acc:ZDB-GENE-030131-1213]"
"ENSDARG00000056833";"ENSDARG00000056833";"10 x 37";"48hpf_neg";"svopa";"SV2 related protein a [Source:ZFIN;Acc:ZDB-GENE-060526-336]"
"ENSDARG00000057983";"ENSDARG00000057983";"1 x 27";"72hpf_pos_gata5";"svopl";"SVOP-like [Source:ZFIN;Acc:ZDB-GENE-041114-109]"
"ENSDARG00000058731";"ENSDARG00000058731";"9 x 1";"72hpf_pos_hand2.1";"slc2a6";"solute carrier family 2 (facilitated glucose transporter), member 6 [Source:ZFIN;Acc:ZDB-GENE-081104-301]"
"ENSDARG00000062873";"ENSDARG00000062873";"15 x 25";"72hpf_neg_hand2";"slc2a11l";"solute carrier family 2 (facilitated glucose transporter), member 11-like [Source:ZFIN;Acc:ZDB-GENE-061215-118]"
"ENSDARG00000063288";"ENSDARG00000063288";"1 x 1";"48hpf_pos";"slc2a11b";"solute carrier family 2 (facilitated glucose transporter), member 11b [Source:ZFIN;Acc:ZDB-GENE-070705-96]"
"ENSDARG00000076899";"ENSDARG00000076899";"8 x 5";"72hpf_pos_gata5";"slc2a13b";"solute carrier family 2 (facilitated glucose transporter), member 13b [Source:ZFIN;Acc:ZDB-GENE-090812-1]"
"ENSDARG00000077875";"ENSDARG00000077875";"16 x 23";"72hpf_neg_hand2";"";"solute carrier family 2 (facilitated glucose/fructose transporter), member 5 [Source:ZFIN;Acc:ZDB-GENE-060222-2]"
"ENSDARG00000087867";"ENSDARG00000087867";"13 x 29";"72hpf_neg_tbx5";"";""
"ENSDARG00000090820";"ENSDARG00000090820";"8 x 25";"72hpf_pos.1";"slc2a10";"solute carrier family 2 (facilitated glucose transporter), member 10 [Source:ZFIN;Acc:ZDB-GENE-080204-6]"
"ENSDARG00000104278";"ENSDARG00000104278";"30 x 4";"24hpf_pos";"slc2a8";"solute carrier family 2 (facilitated glucose transporter), member 8 [Source:ZFIN;Acc:ZDB-GENE-030829-25]"
