"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003615";"ENSDARG00000003615";"40 x 9";"24hpf_pos";"slc26a3.2";"solute carrier family 26 (anion exchanger), member 3, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-041210-179]"
"ENSDARG00000007371";"ENSDARG00000007371";"23 x 15";"72hpf_pos_tbx5.1";"slc26a3.1";"solute carrier family 26 (anion exchanger), member 3 [Source:ZFIN;Acc:ZDB-GENE-041210-180]"
"ENSDARG00000011618";"ENSDARG00000011618";"6 x 4";"48hpf_pos";"slc26a2";"solute carrier family 26 (anion exchanger), member 2 [Source:ZFIN;Acc:ZDB-GENE-030717-3]"
"ENSDARG00000022424";"ENSDARG00000022424";"10 x 5";"72hpf_pos_tbx5";"slc26a5";"solute carrier family 26 (anion exchanger), member 5 [Source:ZFIN;Acc:ZDB-GENE-030131-1566]"
"ENSDARG00000025074";"ENSDARG00000025074";"14 x 5";"72hpf_pos";"";"solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10 [Source:ZFIN;Acc:ZDB-GENE-040426-1095]"
"ENSDARG00000029832";"ENSDARG00000029832";"6 x 6";"72hpf_pos.1";"slc26a1";"solute carrier family 26 (anion exchanger), member 1 [Source:ZFIN;Acc:ZDB-GENE-070112-2182]"
"ENSDARG00000043021";"ENSDARG00000043021";"5 x 4";"72hpf_pos_gata5.1";"slc26a11";"solute carrier family 26 (anion exchanger), member 11 [Source:ZFIN;Acc:ZDB-GENE-030131-5349]"
"ENSDARG00000054127";"ENSDARG00000054127";"7 x 9";"72hpf_pos_tbx5.1";"slc26a6l";"solute carrier family 26, member 6, like [Source:ZFIN;Acc:ZDB-GENE-080220-10]"
"ENSDARG00000055835";"ENSDARG00000055835";"18 x 9";"72hpf_pos_tbx5.1";"slc26a6";"solute carrier family 26, member 6 [Source:ZFIN;Acc:ZDB-GENE-081105-83]"
"ENSDARG00000058738";"ENSDARG00000058738";"26 x 9";"48hpf_pos";"si:ch211-117c9.2";"si:ch211-117c9.2 [Source:ZFIN;Acc:ZDB-GENE-110408-11]"
"ENSDARG00000069431";"ENSDARG00000069431";"40 x 16";"24hpf_pos.1";"slc26a4";"solute carrier family 26 (anion exchanger), member 4 [Source:ZFIN;Acc:ZDB-GENE-060503-544]"
"ENSDARG00000078800";"ENSDARG00000078800";"21 x 34";"24hpf_neg";"slc26a10";"solute carrier family 26, member 10 [Source:ZFIN;Acc:ZDB-GENE-030131-9845]"
"ENSDARG00000097292";"ENSDARG00000097292";"34 x 20";"72hpf_neg_gata5";"LOC558704";"solute carrier family 26, member 6 [Source:ZFIN;Acc:ZDB-GENE-081105-83]"
"ENSDARG00000097890";"ENSDARG00000097890";"26 x 16";"48hpf_pos";"si:ch1073-100f3.2";"si:ch1073-100f3.2 [Source:ZFIN;Acc:ZDB-GENE-131127-11]"
