"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003181";"ENSDARG00000003181";"14 x 16";"72hpf_pos_gata5";"sult1st4";"sulfotransferase family 1, cytosolic sulfotransferase 4 [Source:ZFIN;Acc:ZDB-GENE-040426-2054]"
"ENSDARG00000003475";"ENSDARG00000003475";"29 x 22";"24hpf_pos";"sult1st5";"sulfotransferase family 1, cytosolic sulfotransferase 5 [Source:ZFIN;Acc:ZDB-GENE-050809-2]"
"ENSDARG00000004018";"ENSDARG00000004018";"13 x 9";"72hpf_pos_tbx5";"si:ch211-236h17.3";"si:ch211-236h17.3 [Source:ZFIN;Acc:ZDB-GENE-030131-738]"
"ENSDARG00000006044";"ENSDARG00000006044";"6 x 25";"72hpf_neg";"ust";"uronyl-2-sulfotransferase [Source:ZFIN;Acc:ZDB-GENE-041001-163]"
"ENSDARG00000006811";"ENSDARG00000006811";"4 x 24";"72hpf_pos.1";"sult1st6";"sulfotransferase family 1, cytosolic sulfotransferase 6 [Source:ZFIN;Acc:ZDB-GENE-040718-343]"
"ENSDARG00000007769";"ENSDARG00000007769";"35 x 18";"24hpf_pos.1";"sult5a1";"sulfotransferase family 5A, member 1 [Source:ZFIN;Acc:ZDB-GENE-060929-978]"
"ENSDARG00000009885";"ENSDARG00000009885";"16 x 24";"72hpf_neg_hand2";"sult3st1";"sulfotransferase family 3, cytosolic sulfotransferase 1 [Source:ZFIN;Acc:ZDB-GENE-061207-52]"
"ENSDARG00000012025";"ENSDARG00000012025";"23 x 37";"24hpf_neg";"hs6st2";"heparan sulfate 6-O-sulfotransferase 2 [Source:ZFIN;Acc:ZDB-GENE-030909-14]"
"ENSDARG00000012249";"ENSDARG00000012249";"17 x 17";"72hpf_pos_gata5";"hs3st1";"heparan sulfate (glucosamine) 3-O-sulfotransferase 1 [Source:ZFIN;Acc:ZDB-GENE-070202-1]"
"ENSDARG00000018361";"ENSDARG00000018361";"9 x 19";"72hpf_pos.1";"sult1st3";"sulfotransferase family 1, cytosolic sulfotransferase 3 [Source:ZFIN;Acc:ZDB-GENE-030804-28]"
"ENSDARG00000028275";"ENSDARG00000028275";"5 x 2";"48hpf_pos";"sult1st1";"sulfotransferase family 1, cytosolic sulfotransferase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2144]"
"ENSDARG00000028367";"ENSDARG00000028367";"32 x 6";"24hpf_pos";"sult2st3";"sulfotransferase family 2, cytosolic sulfotransferase 3 [Source:ZFIN;Acc:ZDB-GENE-061117-4]"
"ENSDARG00000028786";"ENSDARG00000028786";"38 x 24";"24hpf_pos.1";"chst12a";"carbohydrate (chondroitin 4) sulfotransferase 12a [Source:ZFIN;Acc:ZDB-GENE-081022-13]"
"ENSDARG00000031632";"ENSDARG00000031632";"23 x 40";"24hpf_neg";"chst10";"carbohydrate sulfotransferase 10 [Source:ZFIN;Acc:ZDB-GENE-040808-40]"
"ENSDARG00000033170";"ENSDARG00000033170";"33 x 2";"24hpf_pos.1";"sult2st1";"sulfotransferase family 2, cytosolic sulfotransferase 1 [Source:ZFIN;Acc:ZDB-GENE-030219-114]"
"ENSDARG00000034375";"ENSDARG00000034375";"24 x 30";"72hpf_neg";"chst11";"carbohydrate (chondroitin 4) sulfotransferase 11 [Source:ZFIN;Acc:ZDB-GENE-040315-1]"
"ENSDARG00000035578";"ENSDARG00000035578";"17 x 40";"48hpf_neg";"hs3st1l2";"heparan sulfate (glucosamine) 3-O-sulfotransferase 1-like 2 [Source:ZFIN;Acc:ZDB-GENE-070202-3]"
"ENSDARG00000040781";"ENSDARG00000040781";"15 x 13";"72hpf_pos";"sult3st4";"sulfotransferase family 3, cytosolic sulfotransferase 4 [Source:ZFIN;Acc:ZDB-GENE-050913-17]"
"ENSDARG00000041540";"ENSDARG00000041540";"19 x 22";"72hpf_pos_gata5.1";"sult1st2";"sulfotransferase family 1, cytosolic sulfotransferase 2 [Source:ZFIN;Acc:ZDB-GENE-030804-27]"
"ENSDARG00000041776";"ENSDARG00000041776";"10 x 40";"24hpf_neg";"ndst3";"N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3 [Source:ZFIN;Acc:ZDB-GENE-090312-199]"
"ENSDARG00000042920";"ENSDARG00000042920";"9 x 11";"72hpf_pos_tbx5";"sult3st3";"sulfotransferase family 3, cytosolic sulfotransferase 3 [Source:ZFIN;Acc:ZDB-GENE-060503-628]"
"ENSDARG00000043011";"ENSDARG00000043011";"34 x 24";"24hpf_pos";"chst14";"carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14 [Source:ZFIN;Acc:ZDB-GENE-040401-3]"
"ENSDARG00000044341";"ENSDARG00000044341";"1 x 15";"48hpf_pos";"chst7";"carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7 [Source:ZFIN;Acc:ZDB-GENE-131121-150]"
"ENSDARG00000052648";"ENSDARG00000052648";"11 x 31";"72hpf_neg_hand2";"hs3st4";"heparan sulfate (glucosamine) 3-O-sulfotransferase 4 [Source:ZFIN;Acc:ZDB-GENE-070202-8]"
"ENSDARG00000054754";"ENSDARG00000054754";"10 x 28";"72hpf_neg_hand2";"";"heparan sulfate 6-O-sulfotransferase 1a [Source:ZFIN;Acc:ZDB-GENE-050524-1]"
"ENSDARG00000058585";"ENSDARG00000058585";"9 x 32";"72hpf_neg_tbx5";"chst2b";"carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2b [Source:ZFIN;Acc:ZDB-GENE-060720-33]"
"ENSDARG00000059616";"ENSDARG00000059616";"11 x 28";"72hpf_neg_hand2";"hs3st2";"heparan sulfate (glucosamine) 3-O-sulfotransferase 2 [Source:ZFIN;Acc:ZDB-GENE-070202-7]"
"ENSDARG00000059903";"ENSDARG00000059903";"40 x 18";"24hpf_pos.1";"hs3st3l";"heparan sulfate (glucosamine) 3-O-sulfotransferase 3-like [Source:ZFIN;Acc:ZDB-GENE-070202-6]"
"ENSDARG00000059948";"ENSDARG00000059948";"34 x 19";"24hpf_pos";"si:dkey-121b10.7";"si:dkey-121b10.7 [Source:ZFIN;Acc:ZDB-GENE-090312-176]"
"ENSDARG00000060253";"ENSDARG00000060253";"24 x 37";"72hpf_neg_hand2";"si:ch211-216b21.2";"si:ch211-216b21.2 [Source:ZFIN;Acc:ZDB-GENE-130603-96]"
"ENSDARG00000060678";"ENSDARG00000060678";"8 x 40";"72hpf_neg_tbx5";"ndst2b";""
"ENSDARG00000061070";"ENSDARG00000061070";"32 x 39";"24hpf_pos.1";"chst3a";"carbohydrate (chondroitin 6) sulfotransferase 3a [Source:ZFIN;Acc:ZDB-GENE-090312-180]"
