"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002299";"ENSDARG00000002299";"12 x 22";"72hpf_neg";"arsh";"arylsulfatase H [Source:ZFIN;Acc:ZDB-GENE-081104-120]"
"ENSDARG00000013838";"ENSDARG00000013838";"6 x 35";"72hpf_neg_tbx5";"sulf2b";"sulfatase 2b [Source:ZFIN;Acc:ZDB-GENE-030131-775]"
"ENSDARG00000018423";"ENSDARG00000018423";"13 x 40";"24hpf_neg";"sulf2a";"sulfatase 2a [Source:ZFIN;Acc:ZDB-GENE-040426-759]"
"ENSDARG00000023766";"ENSDARG00000023766";"2 x 22";"72hpf_pos_gata5.1";"gnsa";"glucosamine (N-acetyl)-6-sulfatase a [Source:ZFIN;Acc:ZDB-GENE-050107-5]"
"ENSDARG00000032087";"ENSDARG00000032087";"30 x 1";"72hpf_pos_gata5";"sgsh";"N-sulfoglucosamine sulfohydrolase (sulfamidase) [Source:ZFIN;Acc:ZDB-GENE-030131-4958]"
"ENSDARG00000038428";"ENSDARG00000038428";"11 x 40";"72hpf_neg_gata5";"sulf1";"sulfatase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9242]"
"ENSDARG00000042270";"ENSDARG00000042270";"11 x 14";"72hpf_pos.1";"arsa";"arylsulfatase A [Source:ZFIN;Acc:ZDB-GENE-050320-118]"
"ENSDARG00000051853";"ENSDARG00000051853";"13 x 3";"72hpf_pos_tbx5.1";"galns";"galactosamine (N-acetyl)-6-sulfatase [Source:ZFIN;Acc:ZDB-GENE-070112-1152]"
"ENSDARG00000053241";"ENSDARG00000053241";"11 x 20";"72hpf_pos.1";"sts";"steroid sulfatase (microsomal), isozyme S [Source:ZFIN;Acc:ZDB-GENE-030717-5]"
"ENSDARG00000059714";"ENSDARG00000059714";"8 x 11";"72hpf_pos.1";"arsk";"arylsulfatase family, member K [Source:ZFIN;Acc:ZDB-GENE-060929-332]"
"ENSDARG00000063359";"ENSDARG00000063359";"4 x 9";"72hpf_pos_gata5.1";"LOC563783";"arylsulfatase family, member Ib [Source:ZFIN;Acc:ZDB-GENE-100819-1]"
"ENSDARG00000071699";"ENSDARG00000071699";"24 x 17";"72hpf_pos_tbx5.1";"ids";"iduronate 2-sulfatase [Source:ZFIN;Acc:ZDB-GENE-061215-37]"
"ENSDARG00000076843";"ENSDARG00000076843";"22 x 37";"24hpf_neg";"si:dkey-174i8.1";"si:dkey-174i8.1 [Source:ZFIN;Acc:ZDB-GENE-160114-17]"
"ENSDARG00000077590";"ENSDARG00000077590";"15 x 39";"72hpf_neg";"LOC559800";"arylsulfatase family, member J [Source:ZFIN;Acc:ZDB-GENE-111215-1]"
"ENSDARG00000077606";"ENSDARG00000077606";"18 x 39";"72hpf_neg_gata5";"arsia";"arylsulfatase family, member Ia [Source:ZFIN;Acc:ZDB-GENE-140106-141]"
"ENSDARG00000098296";"ENSDARG00000098296";"7 x 1";"72hpf_pos_tbx5";"gnsb";"glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID), b [Source:ZFIN;Acc:ZDB-GENE-030131-5846]"
"ENSDARG00000101715";"ENSDARG00000101715";"36 x 28";"24hpf_pos.1";"arsg";"arylsulfatase G [Source:ZFIN;Acc:ZDB-GENE-060503-154]"
"ENSDARG00000103261";"ENSDARG00000103261";"34 x 20";"24hpf_pos";"";""
