"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000503";"ENSDARG00000000503";"1 x 40";"72hpf_neg_tbx5";"stx1b";"syntaxin 1B [Source:ZFIN;Acc:ZDB-GENE-000330-4]"
"ENSDARG00000001880";"ENSDARG00000001880";"17 x 32";"72hpf_neg_gata5";"stx3a";"syntaxin 3A [Source:ZFIN;Acc:ZDB-GENE-040426-1489]"
"ENSDARG00000004618";"ENSDARG00000004618";"8 x 15";"72hpf_pos_gata5";"stx2a";"syntaxin 2a [Source:ZFIN;Acc:ZDB-GENE-040801-80]"
"ENSDARG00000012874";"ENSDARG00000012874";"13 x 4";"24hpf_pos";"snap23.1";"synaptosomal-associated protein 23.1 [Source:ZFIN;Acc:ZDB-GENE-040426-883]"
"ENSDARG00000020609";"ENSDARG00000020609";"1 x 40";"72hpf_neg_hand2";"snap25a";"synaptosomal-associated protein, 25a [Source:ZFIN;Acc:ZDB-GENE-980526-468]"
"ENSDARG00000029290";"ENSDARG00000029290";"5 x 13";"72hpf_pos_gata5";"stx11b.1";"syntaxin 11b, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1893]"
"ENSDARG00000040965";"ENSDARG00000040965";"25 x 28";"72hpf_neg";"zgc:101731";"zgc:101731 [Source:ZFIN;Acc:ZDB-GENE-040912-57]"
"ENSDARG00000042231";"ENSDARG00000042231";"10 x 19";"72hpf_pos_gata5";"stx11b.2";"syntaxin 11b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-050417-148]"
"ENSDARG00000044039";"ENSDARG00000044039";"10 x 1";"72hpf_pos_hand2.1";"stx11a";"syntaxin 11a [Source:ZFIN;Acc:ZDB-GENE-040426-2564]"
"ENSDARG00000051981";"ENSDARG00000051981";"3 x 32";"72hpf_neg_gata5";"zgc:165520";"zgc:165520 [Source:ZFIN;Acc:ZDB-GENE-070620-13]"
"ENSDARG00000052518";"ENSDARG00000052518";"16 x 2";"72hpf_pos_tbx5.1";"stx4";"syntaxin 4 [Source:ZFIN;Acc:ZDB-GENE-030131-2455]"
"ENSDARG00000055252";"ENSDARG00000055252";"14 x 16";"72hpf_pos_gata5";"snap23.2";"synaptosomal-associated protein 23.2 [Source:ZFIN;Acc:ZDB-GENE-051030-75]"
"ENSDARG00000058117";"ENSDARG00000058117";"1 x 37";"72hpf_neg_hand2";"snap25b";"synaptosomal-associated protein, 25b [Source:ZFIN;Acc:ZDB-GENE-980526-392]"
"ENSDARG00000063445";"ENSDARG00000063445";"11 x 27";"72hpf_neg_tbx5";"snap47";"synaptosomal-associated protein, 47 [Source:ZFIN;Acc:ZDB-GENE-060825-140]"
"ENSDARG00000068217";"ENSDARG00000068217";"37 x 38";"24hpf_pos.1";"stx2b";"syntaxin 2b [Source:ZFIN;Acc:ZDB-GENE-091204-424]"
"ENSDARG00000074029";"ENSDARG00000074029";"38 x 15";"24hpf_pos.1";"stx19";"syntaxin 19 [Source:ZFIN;Acc:ZDB-GENE-150909-2]"
