"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000568";"ENSDARG00000000568";"35 x 19";"72hpf_pos_gata5";"";"elongation factor RNA polymerase II [Source:ZFIN;Acc:ZDB-GENE-030131-3946]"
"ENSDARG00000006251";"ENSDARG00000006251";"40 x 34";"24hpf_pos.1";"ell2";"elongation factor, RNA polymerase II, 2 [Source:ZFIN;Acc:ZDB-GENE-030131-1717]"
"ENSDARG00000006524";"ENSDARG00000006524";"25 x 34";"24hpf_neg";"supt6h";"SPT6 homolog, histone chaperone [Source:ZFIN;Acc:ZDB-GENE-030131-7949]"
"ENSDARG00000008852";"ENSDARG00000008852";"37 x 6";"24hpf_pos";"elp4";"elongator acetyltransferase complex subunit 4 [Source:ZFIN;Acc:ZDB-GENE-050417-114]"
"ENSDARG00000008947";"ENSDARG00000008947";"27 x 36";"24hpf_neg";"";"RTF1 homolog, Paf1/RNA polymerase II complex component [Source:ZFIN;Acc:ZDB-GENE-030131-6778]"
"ENSDARG00000020201";"ENSDARG00000020201";"33 x 14";"24hpf_pos.1";"cdc73";"cell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040426-1309]"
"ENSDARG00000038121";"ENSDARG00000038121";"40 x 19";"24hpf_pos.1";"LOC565819";"si:ch211-13k12.2 [Source:ZFIN;Acc:ZDB-GENE-061207-5]"
"ENSDARG00000044811";"ENSDARG00000044811";"34 x 11";"72hpf_pos.1";"cdk9";"cyclin-dependent kinase 9 (CDC2-related kinase) [Source:ZFIN;Acc:ZDB-GENE-030131-321]"
"ENSDARG00000055357";"ENSDARG00000055357";"40 x 18";"24hpf_pos.1";"leo1";"LEO1 homolog, Paf1/RNA polymerase II complex component [Source:ZFIN;Acc:ZDB-GENE-040426-2435]"
"ENSDARG00000063726";"ENSDARG00000063726";"28 x 38";"24hpf_neg";"cdk12";"cyclin-dependent kinase 12 [Source:ZFIN;Acc:ZDB-GENE-081104-294]"
"ENSDARG00000076791";"ENSDARG00000076791";"27 x 36";"48hpf_neg";"cdk13";"cyclin-dependent kinase 13 [Source:ZFIN;Acc:ZDB-GENE-030131-4975]"
"ENSDARG00000079957";"ENSDARG00000079957";"8 x 18";"72hpf_pos_gata5.1";"zgc:152986";"transcription elongation factor B (SIII), polypeptide 3, like [Source:ZFIN;Acc:ZDB-GENE-131029-2]"
"ENSDARG00000098432";"ENSDARG00000098432";"35 x 32";"24hpf_neg";"";"PAF1 homolog, Paf1/RNA polymerase II complex component [Source:ZFIN;Acc:ZDB-GENE-050506-101]"
"ENSDARG00000099453";"ENSDARG00000099453";"18 x 15";"72hpf_pos";"elof1";"ELF1 homolog, elongation factor 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1385]"
