"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003142";"ENSDARG00000003142";"40 x 24";"48hpf_neg";"dachc";"dachshund c [Source:ZFIN;Acc:ZDB-GENE-020402-5]"
"ENSDARG00000003631";"ENSDARG00000003631";"16 x 34";"72hpf_neg_hand2";"clockb";"clock circadian regulator b [Source:ZFIN;Acc:ZDB-GENE-030408-2]"
"ENSDARG00000004415";"ENSDARG00000004415";"7 x 40";"48hpf_neg";"tcf7l2";"transcription factor 7-like 2 (T-cell specific, HMG-box) [Source:ZFIN;Acc:ZDB-GENE-991110-8]"
"ENSDARG00000004502";"ENSDARG00000004502";"12 x 36";"48hpf_neg";"rcor3";"REST corepressor 3 [Source:ZFIN;Acc:ZDB-GENE-050208-371]"
"ENSDARG00000004714";"ENSDARG00000004714";"3 x 30";"72hpf_neg";"tcf12";"transcription factor 12 [Source:ZFIN;Acc:ZDB-GENE-040516-11]"
"ENSDARG00000005915";"ENSDARG00000005915";"34 x 36";"72hpf_neg_gata5";"tcf3a";"transcription factor 3a [Source:ZFIN;Acc:ZDB-GENE-990415-51]"
"ENSDARG00000006389";"ENSDARG00000006389";"24 x 33";"72hpf_neg";"smad2";"SMAD family member 2 [Source:ZFIN;Acc:ZDB-GENE-990603-7]"
"ENSDARG00000006791";"ENSDARG00000006791";"14 x 29";"72hpf_neg_hand2";"arntl1a";"aryl hydrocarbon receptor nuclear translocator-like 1a [Source:ZFIN;Acc:ZDB-GENE-000509-1]"
"ENSDARG00000007720";"ENSDARG00000007720";"4 x 17";"72hpf_pos_gata5.1";"sub1b";"SUB1 homolog, transcriptional regulator b [Source:ZFIN;Acc:ZDB-GENE-040718-209]"
"ENSDARG00000008119";"ENSDARG00000008119";"29 x 11";"72hpf_neg_gata5";"si:ch211-195d17.2";"si:ch211-195d17.2 [Source:ZFIN;Acc:ZDB-GENE-030131-513]"
"ENSDARG00000008131";"ENSDARG00000008131";"19 x 40";"24hpf_neg";"sox1b";"SRY (sex determining region Y)-box 1b [Source:ZFIN;Acc:ZDB-GENE-060322-5]"
"ENSDARG00000008141";"ENSDARG00000008141";"38 x 4";"24hpf_pos.1";"rbl1";"retinoblastoma-like 1 (p107) [Source:ZFIN;Acc:ZDB-GENE-030131-8179]"
"ENSDARG00000008278";"ENSDARG00000008278";"36 x 40";"24hpf_neg";"rcor2";"REST corepressor 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1812]"
"ENSDARG00000008697";"ENSDARG00000008697";"1 x 11";"72hpf_pos_gata5";"epas1a";"endothelial PAS domain protein 1a [Source:ZFIN;Acc:ZDB-GENE-030131-4490]"
"ENSDARG00000008986";"ENSDARG00000008986";"40 x 35";"24hpf_neg";"e2f7";"E2F transcription factor 7 [Source:ZFIN;Acc:ZDB-GENE-030131-3527]"
"ENSDARG00000009094";"ENSDARG00000009094";"17 x 29";"72hpf_neg_hand2";"gata2b";"GATA binding protein 2b [Source:ZFIN;Acc:ZDB-GENE-040718-440]"
"ENSDARG00000010132";"ENSDARG00000010132";"16 x 39";"72hpf_neg_hand2";"dacha";"dachshund a [Source:ZFIN;Acc:ZDB-GENE-020402-3]"
"ENSDARG00000010207";"ENSDARG00000010207";"21 x 38";"24hpf_neg";"smad3b";"SMAD family member 3b [Source:ZFIN;Acc:ZDB-GENE-030128-4]"
"ENSDARG00000010770";"ENSDARG00000010770";"19 x 40";"24hpf_neg";"sox19a";"SRY (sex determining region Y)-box 19a [Source:ZFIN;Acc:ZDB-GENE-980526-102]"
"ENSDARG00000011445";"ENSDARG00000011445";"6 x 12";"72hpf_pos_gata5.1";"elmsan1a";"ELM2 and Myb/SANT-like domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-041001-151]"
"ENSDARG00000011703";"ENSDARG00000011703";"6 x 31";"72hpf_neg";"clocka";"clock circadian regulator a [Source:ZFIN;Acc:ZDB-GENE-990630-14]"
"ENSDARG00000012649";"ENSDARG00000012649";"21 x 37";"24hpf_neg";"gb:cr929477";"expressed sequence CR929477 [Source:ZFIN;Acc:ZDB-GENE-141211-39]"
"ENSDARG00000013477";"ENSDARG00000013477";"40 x 40";"24hpf_pos.1";"gata1a";"GATA binding protein 1a [Source:ZFIN;Acc:ZDB-GENE-980526-268]"
"ENSDARG00000013789";"ENSDARG00000013789";"15 x 35";"48hpf_neg";"sim1b";"single-minded family bHLH transcription factor 1b [Source:ZFIN;Acc:ZDB-GENE-041210-5]"
"ENSDARG00000014479";"ENSDARG00000014479";"16 x 30";"48hpf_pos.1";"ptf1a";"pancreas specific transcription factor, 1a [Source:ZFIN;Acc:ZDB-GENE-030616-579]"
"ENSDARG00000014722";"ENSDARG00000014722";"30 x 24";"24hpf_neg";"her1";"hairy-related 1 [Source:ZFIN;Acc:ZDB-GENE-980526-125]"
"ENSDARG00000016304";"ENSDARG00000016304";"36 x 32";"24hpf_pos.1";"tfdp1b";"transcription factor Dp-1, b [Source:ZFIN;Acc:ZDB-GENE-040426-1746]"
"ENSDARG00000016526";"ENSDARG00000016526";"11 x 40";"48hpf_neg";"gata3";"GATA binding protein 3 [Source:ZFIN;Acc:ZDB-GENE-990415-82]"
"ENSDARG00000016536";"ENSDARG00000016536";"4 x 9";"48hpf_pos.1";"npas2";"neuronal PAS domain protein 2 [Source:ZFIN;Acc:ZDB-GENE-030408-3]"
"ENSDARG00000016858";"ENSDARG00000016858";"30 x 36";"72hpf_neg_gata5";"smad7";"SMAD family member 7 [Source:ZFIN;Acc:ZDB-GENE-030128-3]"
"ENSDARG00000017821";"ENSDARG00000017821";"12 x 1";"48hpf_pos.1";"gata5";"GATA binding protein 5 [Source:ZFIN;Acc:ZDB-GENE-980526-340]"
"ENSDARG00000017953";"ENSDARG00000017953";"35 x 28";"24hpf_pos.1";"tp73";"tumor protein p73 [Source:ZFIN;Acc:ZDB-GENE-030814-2]"
"ENSDARG00000018109";"ENSDARG00000018109";"7 x 30";"48hpf_neg";"mafga";"v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog Ga [Source:ZFIN;Acc:ZDB-GENE-040624-7]"
"ENSDARG00000019293";"ENSDARG00000019293";"38 x 31";"24hpf_neg";"tfdp1a";"transcription factor Dp-1, a [Source:ZFIN;Acc:ZDB-GENE-040426-2883]"
"ENSDARG00000020046";"ENSDARG00000020046";"17 x 12";"72hpf_pos";"ahr1a";"aryl hydrocarbon receptor 1a [Source:ZFIN;Acc:ZDB-GENE-020531-2]"
"ENSDARG00000020606";"ENSDARG00000020606";"37 x 40";"24hpf_pos.1";"nfe2";"nuclear factor, erythroid 2 [Source:ZFIN;Acc:ZDB-GENE-030124-1]"
"ENSDARG00000021855";"ENSDARG00000021855";"26 x 32";"24hpf_pos.1";"arnt";"aryl hydrocarbon receptor nuclear translocator [Source:ZFIN;Acc:ZDB-GENE-060126-7]"
"ENSDARG00000021938";"ENSDARG00000021938";"40 x 6";"48hpf_pos.1";"smad9";"SMAD family member 9 [Source:ZFIN;Acc:ZDB-GENE-031014-1]"
"ENSDARG00000027199";"ENSDARG00000027199";"21 x 6";"72hpf_pos_hand2";"smad1";"SMAD family member 1 [Source:ZFIN;Acc:ZDB-GENE-991119-8]"
"ENSDARG00000028159";"ENSDARG00000028159";"33 x 35";"24hpf_neg";"tead1a";"TEA domain family member 1a [Source:ZFIN;Acc:ZDB-GENE-040426-2101]"
"ENSDARG00000028957";"ENSDARG00000028957";"15 x 5";"48hpf_pos";"maff";"v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog F [Source:ZFIN;Acc:ZDB-GENE-040426-1280]"
"ENSDARG00000031434";"ENSDARG00000031434";"28 x 25";"24hpf_pos.1";"rcor1";"REST corepressor 1 [Source:ZFIN;Acc:ZDB-GENE-050506-79]"
"ENSDARG00000031683";"ENSDARG00000031683";"9 x 1";"72hpf_pos_hand2";"fosab";"v-fos FBJ murine osteosarcoma viral oncogene homolog Ab [Source:ZFIN;Acc:ZDB-GENE-031222-4]"
"ENSDARG00000031763";"ENSDARG00000031763";"40 x 8";"24hpf_pos.1";"smad6b";"SMAD family member 6b [Source:ZFIN;Acc:ZDB-GENE-050419-198]"
"ENSDARG00000031894";"ENSDARG00000031894";"5 x 34";"48hpf_neg";"lef1";"lymphoid enhancer-binding factor 1 [Source:ZFIN;Acc:ZDB-GENE-990714-26]"
"ENSDARG00000035732";"ENSDARG00000035732";"8 x 26";"72hpf_pos.1";"arntl1b";"aryl hydrocarbon receptor nuclear translocator-like 1b [Source:ZFIN;Acc:ZDB-GENE-030408-1]"
"ENSDARG00000036096";"ENSDARG00000036096";"15 x 38";"72hpf_neg_gata5";"smad3a";"SMAD family member 3a [Source:ZFIN;Acc:ZDB-GENE-000509-3]"
"ENSDARG00000036100";"ENSDARG00000036100";"33 x 35";"24hpf_neg";"eya3";"EYA transcriptional coactivator and phosphatase 3 [Source:ZFIN;Acc:ZDB-GENE-060503-864]"
"ENSDARG00000037238";"ENSDARG00000037238";"28 x 8";"72hpf_pos_tbx5.1";"smad5";"SMAD family member 5 [Source:ZFIN;Acc:ZDB-GENE-990603-9]"
"ENSDARG00000038159";"ENSDARG00000038159";"33 x 35";"24hpf_neg";"tcf7l1a";"transcription factor 7-like 1a (T-cell specific, HMG-box) [Source:ZFIN;Acc:ZDB-GENE-980605-30]"
"ENSDARG00000038672";"ENSDARG00000038672";"39 x 26";"24hpf_neg";"tcf7";"transcription factor 7 (T-cell specific, HMG-box) [Source:ZFIN;Acc:ZDB-GENE-050222-4]"
"ENSDARG00000038812";"ENSDARG00000038812";"29 x 7";"72hpf_pos_gata5";"e2f5";"E2F transcription factor 5 [Source:ZFIN;Acc:ZDB-GENE-030828-3]"
"ENSDARG00000041381";"ENSDARG00000041381";"29 x 37";"24hpf_neg";"arntl2";"aryl hydrocarbon receptor nuclear translocator-like 2 [Source:ZFIN;Acc:ZDB-GENE-000509-2]"
"ENSDARG00000042824";"ENSDARG00000042824";"5 x 4";"72hpf_pos_gata5.1";"nfe2l2a";"nuclear factor, erythroid 2-like 2a [Source:ZFIN;Acc:ZDB-GENE-030723-2]"
"ENSDARG00000042835";"ENSDARG00000042835";"21 x 40";"24hpf_neg";"tfdp2";"transcription factor Dp-2 [Source:ZFIN;Acc:ZDB-GENE-030219-104]"
"ENSDARG00000043531";"ENSDARG00000043531";"12 x 11";"72hpf_pos.1";"jun";"jun proto-oncogene [Source:ZFIN;Acc:ZDB-GENE-030131-7859]"
"ENSDARG00000044356";"ENSDARG00000044356";"18 x 40";"24hpf_neg";"tp63";"tumor protein p63 [Source:ZFIN;Acc:ZDB-GENE-030819-1]"
"ENSDARG00000045094";"ENSDARG00000045094";"40 x 26";"24hpf_pos.1";"si:dkey-222b8.1";"si:dkey-222b8.1 [Source:ZFIN;Acc:ZDB-GENE-060503-248]"
"ENSDARG00000045636";"ENSDARG00000045636";"3 x 33";"72hpf_neg_tbx5";"rbl2";"retinoblastoma-like 2 (p130) [Source:ZFIN;Acc:ZDB-GENE-061109-2]"
