"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003326";"ENSDARG00000003326";"15 x 28";"72hpf_neg_tbx5";"cacng5a";"calcium channel, voltage-dependent, gamma subunit 5a [Source:ZFIN;Acc:ZDB-GENE-120104-4]"
"ENSDARG00000020450";"ENSDARG00000020450";"10 x 34";"72hpf_neg_tbx5";"cacng8a";"calcium channel, voltage-dependent, gamma subunit 8a [Source:ZFIN;Acc:ZDB-GENE-050417-239]"
"ENSDARG00000032565";"ENSDARG00000032565";"6 x 38";"72hpf_neg_tbx5";"cacng2a";"calcium channel, voltage-dependent, gamma subunit 2a [Source:ZFIN;Acc:ZDB-GENE-040426-1401]"
"ENSDARG00000039238";"ENSDARG00000039238";"26 x 15";"48hpf_pos";"cacng4a";"calcium channel, voltage-dependent, gamma subunit 4a [Source:ZFIN;Acc:ZDB-GENE-120215-100]"
"ENSDARG00000056910";"ENSDARG00000056910";"1 x 10";"48hpf_pos.1";"nfascb";"neurofascin [Source:HGNC Symbol;Acc:HGNC:29866]"
"ENSDARG00000058460";"ENSDARG00000058460";"23 x 16";"72hpf_pos_tbx5.1";"";"calcium channel, voltage-dependent, gamma subunit 3a [Source:ZFIN;Acc:ZDB-GENE-090312-124]"
"ENSDARG00000061099";"ENSDARG00000061099";"6 x 40";"72hpf_neg_tbx5";"nfasca";"neurofascin homolog (chicken) a [Source:ZFIN;Acc:ZDB-GENE-080229-6]"
"ENSDARG00000063006";"ENSDARG00000063006";"12 x 29";"72hpf_neg_hand2";"cacng7a";"calcium channel, voltage-dependent, gamma subunit 7a [Source:ZFIN;Acc:ZDB-GENE-060503-814]"
"ENSDARG00000070624";"ENSDARG00000070624";"17 x 28";"72hpf_neg_tbx5";"cacng7b";"calcium channel, voltage-dependent, gamma subunit 7b [Source:ZFIN;Acc:ZDB-GENE-100921-51]"
"ENSDARG00000070626";"ENSDARG00000070626";"10 x 33";"72hpf_neg_tbx5";"cacng8b";"calcium channel, voltage-dependent, gamma subunit 8b [Source:ZFIN;Acc:ZDB-GENE-100921-72]"
"ENSDARG00000074669";"ENSDARG00000074669";"27 x 40";"72hpf_neg_tbx5";"cacng4b";"calcium channel, voltage-dependent, gamma subunit 4b [Source:ZFIN;Acc:ZDB-GENE-120104-6]"
"ENSDARG00000076401";"ENSDARG00000076401";"7 x 37";"72hpf_neg_tbx5";"cacng3b";"calcium channel, voltage-dependent, gamma subunit 3b [Source:ZFIN;Acc:ZDB-GENE-090828-1]"
"ENSDARG00000076981";"ENSDARG00000076981";"14 x 26";"72hpf_neg_hand2";"zgc:198329";"zgc:198329 [Source:ZFIN;Acc:ZDB-GENE-080226-6]"
"ENSDARG00000078177";"ENSDARG00000078177";"22 x 19";"72hpf_pos_hand2";"";"chemokine (C-X-C motif) receptor 3, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-060130-38]"
"ENSDARG00000093279";"ENSDARG00000093279";"25 x 23";"24hpf_neg";"LOC108179508";"si:dkey-11o1.3 [Source:ZFIN;Acc:ZDB-GENE-100921-37]"
"ENSDARG00000095048";"ENSDARG00000095048";"21 x 30";"72hpf_neg_gata5";"si:dkey-250k15.7";"si:dkey-250k15.7 [Source:ZFIN;Acc:ZDB-GENE-100921-33]"
"ENSDARG00000095134";"ENSDARG00000095134";"21 x 22";"24hpf_pos";"";"si:dkey-250k15.9 [Source:ZFIN;Acc:ZDB-GENE-100922-41]"
"ENSDARG00000095772";"ENSDARG00000095772";"32 x 13";"72hpf_pos";"";"si:dkey-11o1.2 [Source:ZFIN;Acc:ZDB-GENE-100921-76]"
"ENSDARG00000105324";"ENSDARG00000105324";"29 x 21";"24hpf_pos";"";"si:dkey-11o1.7 [Source:ZFIN;Acc:ZDB-GENE-160113-19]"
