"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000001";"ENSDARG00000000001";"32 x 27";"72hpf_pos_gata5.1";"slc35a5";"solute carrier family 35, member A5 [Source:ZFIN;Acc:ZDB-GENE-030616-55]"
"ENSDARG00000000551";"ENSDARG00000000551";"12 x 37";"72hpf_neg_tbx5";"slc1a4";"solute carrier family 1 (glutamate/neutral amino acid transporter), member 4 [Source:ZFIN;Acc:ZDB-GENE-030616-566]"
"ENSDARG00000000690";"ENSDARG00000000690";"6 x 2";"48hpf_pos";"sypl2b";"synaptophysin-like 2b [Source:ZFIN;Acc:ZDB-GENE-050417-309]"
"ENSDARG00000000730";"ENSDARG00000000730";"13 x 11";"72hpf_pos_tbx5";"slc6a22.1";"solute carrier family 6 member 22, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030616-629]"
"ENSDARG00000001354";"ENSDARG00000001354";"1 x 24";"72hpf_neg_gata5";"slc6a22.2";"solute carrier family 6 member 22, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030616-628]"
"ENSDARG00000001437";"ENSDARG00000001437";"27 x 14";"24hpf_neg";"slc2a1a";"solute carrier family 2 (facilitated glucose transporter), member 1a [Source:ZFIN;Acc:ZDB-GENE-030131-3158]"
"ENSDARG00000001733";"ENSDARG00000001733";"31 x 38";"72hpf_neg";"gulp1a";"GULP, engulfment adaptor PTB domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-030616-21]"
"ENSDARG00000001767";"ENSDARG00000001767";"33 x 39";"24hpf_neg";"slc29a2";"solute carrier family 29 (equilibrative nucleoside transporter), member 2 [Source:ZFIN;Acc:ZDB-GENE-050220-15]"
"ENSDARG00000001803";"ENSDARG00000001803";"10 x 1";"72hpf_pos_hand2";"";"potassium voltage-gated channel, subfamily H (eag-related), member 6a [Source:ZFIN;Acc:ZDB-GENE-040702-5]"
"ENSDARG00000001870";"ENSDARG00000001870";"1 x 8";"72hpf_pos.1";"atp1a1a.4";"ATPase, Na+/K+ transporting, alpha 1a polypeptide, tandem duplicate 4 [Source:ZFIN;Acc:ZDB-GENE-001212-4]"
"ENSDARG00000001937";"ENSDARG00000001937";"21 x 34";"24hpf_neg";"LOC100334818";""
"ENSDARG00000002190";"ENSDARG00000002190";"5 x 5";"72hpf_pos_tbx5.1";"chmp2bb";"charged multivesicular body protein 2Bb [Source:ZFIN;Acc:ZDB-GENE-040426-2539]"
"ENSDARG00000002230";"ENSDARG00000002230";"1 x 38";"72hpf_neg_tbx5";"sypb";"synaptophysin b [Source:ZFIN;Acc:ZDB-GENE-040718-205]"
"ENSDARG00000002241";"ENSDARG00000002241";"17 x 31";"72hpf_neg_gata5";"LOC100537815";"potassium voltage-gated channel, shaker-related subfamily, member 2a [Source:ZFIN;Acc:ZDB-GENE-131113-1]"
"ENSDARG00000002300";"ENSDARG00000002300";"18 x 13";"72hpf_pos";"p2rx2";"purinergic receptor P2X, ligand-gated ion channel, 2 [Source:ZFIN;Acc:ZDB-GENE-030319-2]"
"ENSDARG00000002311";"ENSDARG00000002311";"23 x 15";"72hpf_pos_tbx5.1";"fabp11b";"fatty acid binding protein 11b [Source:ZFIN;Acc:ZDB-GENE-050522-391]"
"ENSDARG00000002405";"ENSDARG00000002405";"12 x 1";"24hpf_pos.1";"si:ch211-225b11.1";"si:ch211-225b11.1 [Source:ZFIN;Acc:ZDB-GENE-060531-39]"
"ENSDARG00000002666";"ENSDARG00000002666";"22 x 39";"24hpf_neg";"kcnj1b";"potassium inwardly-rectifying channel, subfamily J, member 1b [Source:ZFIN;Acc:ZDB-GENE-070620-9]"
"ENSDARG00000002771";"ENSDARG00000002771";"7 x 29";"72hpf_neg_tbx5";"";"si:ch211-48m9.1 [Source:ZFIN;Acc:ZDB-GENE-060531-64]"
"ENSDARG00000002790";"ENSDARG00000002790";"40 x 4";"24hpf_pos.1";"ap2m1a";"adaptor-related protein complex 2, mu 1 subunit, a [Source:ZFIN;Acc:ZDB-GENE-030131-9784]"
"ENSDARG00000002791";"ENSDARG00000002791";"13 x 12";"72hpf_pos_hand2";"atp1a1a.1";"ATPase, Na+/K+ transporting, alpha 1a polypeptide, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-001212-2]"
"ENSDARG00000002792";"ENSDARG00000002792";"12 x 25";"72hpf_neg_hand2";"arcn1a";"archain 1a [Source:ZFIN;Acc:ZDB-GENE-021031-2]"
"ENSDARG00000002840";"ENSDARG00000002840";"5 x 34";"72hpf_neg_tbx5";"si:dkey-28b4.8";"si:dkey-28b4.8 [Source:ZFIN;Acc:ZDB-GENE-090501-2]"
"ENSDARG00000002947";"ENSDARG00000002947";"9 x 12";"72hpf_pos_hand2";"abcd3b";"ATP-binding cassette, sub-family D (ALD), member 3b [Source:ZFIN;Acc:ZDB-GENE-050517-29]"
"ENSDARG00000003203";"ENSDARG00000003203";"7 x 16";"72hpf_pos_gata5";"rhcga";"Rh family, C glycoprotein a [Source:ZFIN;Acc:ZDB-GENE-070424-81]"
"ENSDARG00000003269";"ENSDARG00000003269";"4 x 18";"72hpf_pos_tbx5";"clcn3";"chloride channel 3 [Source:ZFIN;Acc:ZDB-GENE-030131-1699]"
"ENSDARG00000003326";"ENSDARG00000003326";"15 x 28";"72hpf_neg_tbx5";"cacng5a";"calcium channel, voltage-dependent, gamma subunit 5a [Source:ZFIN;Acc:ZDB-GENE-120104-4]"
"ENSDARG00000003344";"ENSDARG00000003344";"22 x 32";"72hpf_neg_gata5";"trpc2b";"transient receptor potential cation channel, subfamily C, member 2b [Source:ZFIN;Acc:ZDB-GENE-050712-3]"
"ENSDARG00000003420";"ENSDARG00000003420";"11 x 36";"72hpf_neg_hand2";"chrna5";"cholinergic receptor, nicotinic, alpha 5 [Source:ZFIN;Acc:ZDB-GENE-050417-440]"
"ENSDARG00000003487";"ENSDARG00000003487";"37 x 36";"24hpf_pos";"nup93";"nucleoporin 93 [Source:ZFIN;Acc:ZDB-GENE-990415-46]"
"ENSDARG00000003615";"ENSDARG00000003615";"40 x 9";"24hpf_pos";"slc26a3.2";"solute carrier family 26 (anion exchanger), member 3, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-041210-179]"
"ENSDARG00000003697";"ENSDARG00000003697";"23 x 5";"72hpf_pos_gata5";"slc5a8l";"solute carrier family 5 (iodide transporter), member 8-like [Source:ZFIN;Acc:ZDB-GENE-061110-98]"
"ENSDARG00000003808";"ENSDARG00000003808";"1 x 3";"72hpf_pos";"aqp3a";"aquaporin 3a [Source:ZFIN;Acc:ZDB-GENE-040426-2826]"
"ENSDARG00000004173";"ENSDARG00000004173";"27 x 29";"72hpf_neg";"copa";"coatomer protein complex, subunit alpha [Source:ZFIN;Acc:ZDB-GENE-020905-2]"
"ENSDARG00000004219";"ENSDARG00000004219";"14 x 30";"72hpf_pos_gata5.1";"";"solute carrier family 6 (neurotransmitter transporter), member 3 [Source:ZFIN;Acc:ZDB-GENE-010316-1]"
"ENSDARG00000004243";"ENSDARG00000004243";"12 x 29";"72hpf_neg_tbx5";"asic4b";"acid-sensing (proton-gated) ion channel family member 4b [Source:ZFIN;Acc:ZDB-GENE-040513-6]"
"ENSDARG00000004261";"ENSDARG00000004261";"6 x 17";"72hpf_pos.1";"tmed9";"transmembrane p24 trafficking protein 9 [Source:ZFIN;Acc:ZDB-GENE-050417-434]"
"ENSDARG00000004280";"ENSDARG00000004280";"31 x 7";"24hpf_pos";"seh1l";"SEH1-like (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-030131-6689]"
"ENSDARG00000004405";"ENSDARG00000004405";"17 x 12";"72hpf_pos";"snx10a";"sorting nexin 10a [Source:ZFIN;Acc:ZDB-GENE-050809-44]"
"ENSDARG00000004455";"ENSDARG00000004455";"26 x 18";"72hpf_pos_tbx5";"p2rx5";"purinergic receptor P2X, ligand-gated ion channel, 5 [Source:ZFIN;Acc:ZDB-GENE-030319-5]"
"ENSDARG00000004634";"ENSDARG00000004634";"12 x 14";"72hpf_pos_hand2.1";"osbp";"oxysterol binding protein [Source:ZFIN;Acc:ZDB-GENE-090312-18]"
"ENSDARG00000004726";"ENSDARG00000004726";"17 x 3";"72hpf_pos_tbx5.1";"trappc11";"trafficking protein particle complex 11 [Source:ZFIN;Acc:ZDB-GENE-030131-1723]"
