"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000012076";"ENSDARG00000012076";"1 x 3";"72hpf_pos_tbx5.1";"apoa1a";"apolipoprotein A-Ia [Source:ZFIN;Acc:ZDB-GENE-990415-14]"
"ENSDARG00000020866";"ENSDARG00000020866";"3 x 4";"72hpf_pos_tbx5";"apoa4b.2";"apolipoprotein A-IV b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030131-3143]"
"ENSDARG00000040295";"ENSDARG00000040295";"1 x 5";"72hpf_pos_tbx5";"apoeb";"apolipoprotein Eb [Source:ZFIN;Acc:ZDB-GENE-980526-368]"
"ENSDARG00000040298";"ENSDARG00000040298";"1 x 4";"72hpf_pos_tbx5";"apoa4b.1";"apolipoprotein A-IV b, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1263]"
"ENSDARG00000069375";"ENSDARG00000069375";"6 x 8";"72hpf_pos_tbx5.1";"zgc:162608";"zgc:162608 [Source:ZFIN;Acc:ZDB-GENE-070410-86]"
"ENSDARG00000069834";"ENSDARG00000069834";"18 x 13";"72hpf_pos";"pnpla4";"patatin-like phospholipase domain containing 4 [Source:ZFIN;Acc:ZDB-GENE-070410-74]"
"ENSDARG00000089390";"ENSDARG00000089390";"10 x 3";"72hpf_pos_hand2.1";"pnpla2";"patatin-like phospholipase domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-120913-3]"
"ENSDARG00000094929";"ENSDARG00000094929";"16 x 7";"72hpf_pos_tbx5.1";"apoa4b.3";"apolipoprotein A-IV b, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-100921-47]"
"ENSDARG00000095863";"ENSDARG00000095863";"3 x 5";"72hpf_pos_tbx5";"afp4";"antifreeze protein type IV [Source:ZFIN;Acc:ZDB-GENE-030131-5217]"
"ENSDARG00000102004";"ENSDARG00000102004";"1 x 3";"72hpf_pos_tbx5.1";"apoea";"apolipoprotein Ea [Source:ZFIN;Acc:ZDB-GENE-010724-18]"
