"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002988";"ENSDARG00000002988";"6 x 9";"72hpf_pos_tbx5";"tnnt2d";"troponin T2d, cardiac [Source:ZFIN;Acc:ZDB-GENE-050626-97]"
"ENSDARG00000005841";"ENSDARG00000005841";"3 x 11";"72hpf_pos.1";"";"troponin I type 2a (skeletal, fast), tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-040426-970]"
"ENSDARG00000011400";"ENSDARG00000011400";"4 x 1";"72hpf_pos_hand2";"tnnc1a";"troponin C type 1a (slow) [Source:ZFIN;Acc:ZDB-GENE-030523-1]"
"ENSDARG00000013752";"ENSDARG00000013752";"11 x 17";"72hpf_pos.1";"tnni2a.3";"troponin I type 2a (skeletal, fast), tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-040718-80]"
"ENSDARG00000020610";"ENSDARG00000020610";"4 x 1";"72hpf_pos_hand2";"tnnt2a";"troponin T type 2a (cardiac) [Source:ZFIN;Acc:ZDB-GENE-000626-1]"
"ENSDARG00000029069";"ENSDARG00000029069";"1 x 7";"72hpf_pos.1";"tnni2a.4";"troponin I type 2a (skeletal, fast), tandem duplicate 4 [Source:ZFIN;Acc:ZDB-GENE-040625-119]"
"ENSDARG00000029995";"ENSDARG00000029995";"4 x 11";"72hpf_pos.1";"tnni2b.2";"troponin I type 2b (skeletal, fast), tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-040801-9]"
"ENSDARG00000030270";"ENSDARG00000030270";"1 x 9";"72hpf_pos.1";"tnnt3a";"troponin T type 3a (skeletal, fast) [Source:ZFIN;Acc:ZDB-GENE-000322-3]"
"ENSDARG00000032242";"ENSDARG00000032242";"35 x 10";"24hpf_neg";"tnnt2c";"troponin T2c, cardiac [Source:ZFIN;Acc:ZDB-GENE-030520-1]"
"ENSDARG00000035958";"ENSDARG00000035958";"10 x 28";"24hpf_neg";"tnni2b.1";"troponin I type 2b (skeletal, fast), tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-050417-49]"
"ENSDARG00000036671";"ENSDARG00000036671";"4 x 8";"72hpf_pos_tbx5.1";"tnni4b.2";"troponin I4b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-040625-81]"
"ENSDARG00000037539";"ENSDARG00000037539";"4 x 5";"72hpf_pos_tbx5";"tnnc1b";"troponin C type 1b (slow) [Source:ZFIN;Acc:ZDB-GENE-040625-62]"
"ENSDARG00000037954";"ENSDARG00000037954";"37 x 16";"24hpf_pos.1";"tnnt1";"troponin T type 1 (skeletal, slow) [Source:ZFIN;Acc:ZDB-GENE-080723-27]"
"ENSDARG00000042559";"ENSDARG00000042559";"9 x 12";"72hpf_pos_tbx5";"tnni1c";"troponin I, skeletal, slow c [Source:ZFIN;Acc:ZDB-GENE-060825-192]"
"ENSDARG00000045592";"ENSDARG00000045592";"9 x 10";"72hpf_pos.1";"tnni2a.1";"troponin I type 2a (skeletal, fast), tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-041114-60]"
"ENSDARG00000045822";"ENSDARG00000045822";"1 x 6";"72hpf_pos_tbx5";"tnnt2e";"troponin T2e, cardiac [Source:ZFIN;Acc:ZDB-GENE-041210-27]"
"ENSDARG00000052708";"ENSDARG00000052708";"4 x 1";"72hpf_pos_hand2";"tnni1b";"troponin I type 1b (skeletal, slow) [Source:ZFIN;Acc:ZDB-GENE-041212-37]"
"ENSDARG00000068457";"ENSDARG00000068457";"1 x 8";"72hpf_pos.1";"tnnt3b";"troponin T type 3b (skeletal, fast) [Source:ZFIN;Acc:ZDB-GENE-030520-2]"
"ENSDARG00000070835";"ENSDARG00000070835";"1 x 9";"72hpf_pos.1";"tnnc2";"troponin C type 2 (fast) [Source:ZFIN;Acc:ZDB-GENE-000322-2]"
"ENSDARG00000073766";"ENSDARG00000073766";"9 x 23";"72hpf_pos.1";"tnni1d";"troponin I, skeletal, slow d [Source:ZFIN;Acc:ZDB-GENE-040718-374]"
"ENSDARG00000092999";"ENSDARG00000092999";"17 x 8";"72hpf_pos_tbx5";"tnni4b.1";"troponin I4b, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-090312-198]"
"ENSDARG00000099870";"ENSDARG00000099870";"6 x 18";"48hpf_pos";"tnni4a";"troponin I4a [Source:ZFIN;Acc:ZDB-GENE-041010-75]"
"ENSDARG00000100694";"ENSDARG00000100694";"13 x 22";"72hpf_pos.1";"tnnt2b";"troponin T type 2b (cardiac) [Source:ZFIN;Acc:ZDB-GENE-091106-2]"
