"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004169";"ENSDARG00000004169";"18 x 40";"72hpf_neg";"stmn1a";"stathmin 1a [Source:ZFIN;Acc:ZDB-GENE-031006-14]"
"ENSDARG00000007444";"ENSDARG00000007444";"38 x 23";"24hpf_pos";"ift81";"intraflagellar transport 81 homolog [Source:ZFIN;Acc:ZDB-GENE-040714-3]"
"ENSDARG00000022918";"ENSDARG00000022918";"27 x 12";"48hpf_pos.1";"tbcc";"tubulin folding cofactor C [Source:ZFIN;Acc:ZDB-GENE-041008-103]"
"ENSDARG00000030106";"ENSDARG00000030106";"8 x 37";"72hpf_neg_hand2";"stmn4";"stathmin-like 4 [Source:ZFIN;Acc:ZDB-GENE-040426-2732]"
"ENSDARG00000030463";"ENSDARG00000030463";"5 x 21";"72hpf_pos.1";"tppp3";"tubulin polymerization-promoting protein family member 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1909]"
"ENSDARG00000033234";"ENSDARG00000033234";"10 x 36";"72hpf_neg_tbx5";"stmn2a";"stathmin 2a [Source:ZFIN;Acc:ZDB-GENE-041010-85]"
"ENSDARG00000033655";"ENSDARG00000033655";"1 x 40";"48hpf_neg";"stmn1b";"stathmin 1b [Source:ZFIN;Acc:ZDB-GENE-050417-397]"
"ENSDARG00000035338";"ENSDARG00000035338";"9 x 30";"72hpf_neg_hand2";"tppp2";"tubulin polymerization-promoting protein family member 2 [Source:ZFIN;Acc:ZDB-GENE-140106-24]"
"ENSDARG00000038465";"ENSDARG00000038465";"12 x 30";"72hpf_neg_tbx5";"stmn3";"stathmin-like 3 [Source:ZFIN;Acc:ZDB-GENE-081124-2]"
"ENSDARG00000043932";"ENSDARG00000043932";"4 x 37";"72hpf_neg_hand2";"stmn4l";"stathmin-like 4, like [Source:ZFIN;Acc:ZDB-GENE-040718-301]"
"ENSDARG00000055052";"ENSDARG00000055052";"10 x 39";"72hpf_neg_tbx5";"";"microtubule-associated protein 2 [Source:ZFIN;Acc:ZDB-GENE-041010-118]"
"ENSDARG00000057632";"ENSDARG00000057632";"17 x 24";"72hpf_neg_hand2";"ppp1r42";"protein phosphatase 1, regulatory subunit 42 [Source:ZFIN;Acc:ZDB-GENE-040704-43]"
"ENSDARG00000068745";"ENSDARG00000068745";"1 x 38";"72hpf_neg_tbx5";"map4l";"microtubule associated protein 4 like [Source:ZFIN;Acc:ZDB-GENE-070912-581]"
"ENSDARG00000070537";"ENSDARG00000070537";"1 x 40";"72hpf_neg_hand2";"stmn2b";"stathmin 2b [Source:ZFIN;Acc:ZDB-GENE-050522-207]"
"ENSDARG00000087616";"ENSDARG00000087616";"1 x 40";"72hpf_neg_tbx5";"maptb";"microtubule-associated protein tau b [Source:ZFIN;Acc:ZDB-GENE-081027-2]"
"ENSDARG00000089314";"ENSDARG00000089314";"1 x 40";"72hpf_neg_tbx5";"mapta";"microtubule-associated protein tau a [Source:ZFIN;Acc:ZDB-GENE-081027-1]"
"ENSDARG00000101687";"ENSDARG00000101687";"3 x 10";"72hpf_pos_hand2.1";"LOC100001114";""
"ENSDARG00000105029";"ENSDARG00000105029";"8 x 31";"72hpf_neg_hand2";"tppp";""
