"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004196";"ENSDARG00000004196";"18 x 35";"72hpf_neg";"tnfsf10l";"TNF superfamily member 10, like [Source:ZFIN;Acc:ZDB-GENE-010801-1]"
"ENSDARG00000009511";"ENSDARG00000009511";"21 x 20";"72hpf_pos_hand2";"tnfa";"tumor necrosis factor a (TNF superfamily, member 2) [Source:ZFIN;Acc:ZDB-GENE-050317-1]"
"ENSDARG00000012945";"ENSDARG00000012945";"37 x 11";"72hpf_pos.1";"tnfsf13b";"TNF superfamily member 13b [Source:ZFIN;Acc:ZDB-GENE-080204-44]"
"ENSDARG00000013598";"ENSDARG00000013598";"1 x 3";"72hpf_pos_hand2";"tnfb";"tumor necrosis factor b (TNF superfamily, member 2) [Source:ZFIN;Acc:ZDB-GENE-050601-2]"
"ENSDARG00000020483";"ENSDARG00000020483";"28 x 20";"24hpf_pos";"lta";"lymphotoxin alpha (TNF superfamily, member 1) [Source:ZFIN;Acc:ZDB-GENE-050601-3]"
"ENSDARG00000032746";"ENSDARG00000032746";"18 x 13";"72hpf_pos";"tnfsf10l3";"tumor necrosis factor (ligand) superfamily, member 10 like 3 [Source:ZFIN;Acc:ZDB-GENE-070606-1]"
"ENSDARG00000057241";"ENSDARG00000057241";"4 x 29";"72hpf_neg_gata5";"tnfsf10";"TNF superfamily member 10 [Source:ZFIN;Acc:ZDB-GENE-040718-335]"
"ENSDARG00000058068";"ENSDARG00000058068";"24 x 5";"72hpf_neg";"tnfsf10l4";"tumor necrosis factor (ligand) superfamily, member 10 like 4 [Source:ZFIN;Acc:ZDB-GENE-050227-6]"
"ENSDARG00000068141";"ENSDARG00000068141";"37 x 16";"24hpf_pos.1";"tnfsf11";"TNF superfamily member 11 [Source:ZFIN;Acc:ZDB-GENE-090805-2]"
"ENSDARG00000069376";"ENSDARG00000069376";"1 x 5";"72hpf_pos";"tnfsf12";"TNF superfamily member 12 [Source:ZFIN;Acc:ZDB-GENE-060929-376]"
"ENSDARG00000074591";"ENSDARG00000074591";"20 x 36";"24hpf_neg";"eda";"ectodysplasin A [Source:ZFIN;Acc:ZDB-GENE-050107-6]"
"ENSDARG00000076274";"ENSDARG00000076274";"35 x 15";"24hpf_pos.1";"tnfsf14";"TNF superfamily member 14 [Source:ZFIN;Acc:ZDB-GENE-101109-3]"
"ENSDARG00000079333";"ENSDARG00000079333";"7 x 20";"72hpf_pos.1";"cd40lg";"CD40 ligand [Source:ZFIN;Acc:ZDB-GENE-100727-1]"
"ENSDARG00000079550";"ENSDARG00000079550";"21 x 23";"72hpf_neg_tbx5";"tnfsf18";"TNF superfamily member 18 [Source:ZFIN;Acc:ZDB-GENE-101109-1]"
"ENSDARG00000093048";"ENSDARG00000093048";"11 x 12";"72hpf_pos.1";"si:ch211-158d24.4";"si:ch211-158d24.4 [Source:ZFIN;Acc:ZDB-GENE-081104-141]"
"ENSDARG00000094693";"ENSDARG00000094693";"25 x 27";"72hpf_neg";"si:dkey-220k22.3";"si:dkey-220k22.3 [Source:ZFIN;Acc:ZDB-GENE-060526-257]"
