"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000017500";"ENSDARG00000017500";"23 x 31";"72hpf_neg_gata5";"rock2a";"rho-associated, coiled-coil containing protein kinase 2a [Source:ZFIN;Acc:ZDB-GENE-030115-3]"
"ENSDARG00000029955";"ENSDARG00000029955";"14 x 1";"72hpf_pos_tbx5.1";"glb1l";"galactosidase, beta 1-like [Source:ZFIN;Acc:ZDB-GENE-050309-196]"
"ENSDARG00000036415";"ENSDARG00000036415";"13 x 4";"48hpf_pos";"glb1";"galactosidase, beta 1 [Source:ZFIN;Acc:ZDB-GENE-050410-9]"
"ENSDARG00000036577";"ENSDARG00000036577";"5 x 35";"72hpf_neg_tbx5";"atp6v0cb";"ATPase, H+ transporting, lysosomal, V0 subunit cb [Source:ZFIN;Acc:ZDB-GENE-030131-4127]"
"ENSDARG00000037176";"ENSDARG00000037176";"13 x 4";"72hpf_pos";"ggh";"gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase) [Source:ZFIN;Acc:ZDB-GENE-040426-2615]"
"ENSDARG00000039150";"ENSDARG00000039150";"7 x 2";"72hpf_pos_hand2.1";"lgmn";"legumain [Source:ZFIN;Acc:ZDB-GENE-021030-1]"
"ENSDARG00000057853";"ENSDARG00000057853";"11 x 5";"72hpf_pos_hand2";"atp6v0ca";"ATPase, H+ transporting, lysosomal, V0 subunit ca [Source:ZFIN;Acc:ZDB-GENE-020419-23]"
"ENSDARG00000059613";"ENSDARG00000059613";"30 x 29";"24hpf_pos.1";"nprl2";"NPR2-like, GATOR1 complex subunit [Source:ZFIN;Acc:ZDB-GENE-060825-93]"
"ENSDARG00000068291";"ENSDARG00000068291";"26 x 1";"24hpf_pos.1";"zgc:77041";"zgc:77041 [Source:ZFIN;Acc:ZDB-GENE-040426-2523]"
"ENSDARG00000086549";"ENSDARG00000086549";"16 x 15";"72hpf_pos";"LOC100005266";""
"ENSDARG00000088643";"ENSDARG00000088643";"16 x 15";"72hpf_pos";"";""
"ENSDARG00000089264";"ENSDARG00000089264";"24 x 19";"72hpf_pos_hand2.1";"";""
"ENSDARG00000089346";"ENSDARG00000089346";"16 x 14";"72hpf_pos";"LOC100005129";""
"ENSDARG00000089898";"ENSDARG00000089898";"20 x 14";"72hpf_pos";"";"uncharacterized protein LOC100005356  [Source:RefSeq peptide;Acc:NP_001314936]"
"ENSDARG00000090543";"ENSDARG00000090543";"26 x 40";"24hpf_neg";"tmem138";"transmembrane protein 138 [Source:ZFIN;Acc:ZDB-GENE-120912-1]"
"ENSDARG00000099102";"ENSDARG00000099102";"16 x 13";"72hpf_pos";"";""
"ENSDARG00000102758";"ENSDARG00000102758";"9 x 7";"72hpf_pos_hand2.1";"LOC553228";"gamma-glutamyl hydrolase precursor  [Source:RefSeq peptide;Acc:NP_001243151]"
"ENSDARG00000104109";"ENSDARG00000104109";"24 x 19";"72hpf_pos_hand2.1";"";""
