"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000005257";"ENSDARG00000005257";"12 x 22";"72hpf_pos.1";"si:dkey-110k5.10";"si:dkey-110k5.10 [Source:ZFIN;Acc:ZDB-GENE-060531-70]"
"ENSDARG00000009488";"ENSDARG00000009488";"1 x 30";"72hpf_pos.1";"gipc2";"GIPC PDZ domain containing family, member 2 [Source:ZFIN;Acc:ZDB-GENE-040426-921]"
"ENSDARG00000011283";"ENSDARG00000011283";"29 x 22";"24hpf_pos";"";"globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group) [Source:HGNC Symbol;Acc:HGNC:20460]"
"ENSDARG00000012903";"ENSDARG00000012903";"12 x 16";"72hpf_pos.1";"slc34a2a";"solute carrier family 34 (type II sodium/phosphate cotransporter), member 2a [Source:ZFIN;Acc:ZDB-GENE-000524-1]"
"ENSDARG00000025275";"ENSDARG00000025275";"21 x 15";"72hpf_pos";"gbgt1l1";"globoside alpha-1,3-N-acetylgalactosaminyltransferase 1, like 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1117]"
"ENSDARG00000027750";"ENSDARG00000027750";"7 x 2";"72hpf_pos_tbx5.1";"dpp7";"dipeptidyl-peptidase 7 [Source:ZFIN;Acc:ZDB-GENE-050306-16]"
"ENSDARG00000028824";"ENSDARG00000028824";"8 x 9";"72hpf_pos.1";"slc34a1a";"solute carrier family 34 (type II sodium/phosphate cotransporter), member 1a [Source:ZFIN;Acc:ZDB-GENE-101006-3]"
"ENSDARG00000029036";"ENSDARG00000029036";"1 x 1";"48hpf_pos";"rab32a";"RAB32a, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-031006-10]"
"ENSDARG00000035459";"ENSDARG00000035459";"6 x 1";"72hpf_pos_gata5.1";"spns3";"spinster homolog 3 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-060531-7]"
"ENSDARG00000035555";"ENSDARG00000035555";"3 x 26";"72hpf_pos_gata5";"gbgt1l3";"globoside alpha-1,3-N-acetylgalactosaminyltransferase 1, like 3 [Source:ZFIN;Acc:ZDB-GENE-040912-46]"
"ENSDARG00000036499";"ENSDARG00000036499";"17 x 4";"72hpf_pos_gata5.1";"zgc:162171";"zgc:162171 [Source:ZFIN;Acc:ZDB-GENE-070424-24]"
"ENSDARG00000036864";"ENSDARG00000036864";"32 x 31";"24hpf_neg";"";"solute carrier family 34 (type II sodium/phosphate cotransporter), member 2b [Source:ZFIN;Acc:ZDB-GENE-030709-1]"
"ENSDARG00000041165";"ENSDARG00000041165";"21 x 18";"72hpf_pos_tbx5.1";"rab32b";"RAB32b, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-090821-4]"
"ENSDARG00000053074";"ENSDARG00000053074";"18 x 16";"72hpf_pos";"gipc3";"GIPC PDZ domain containing family, member 3 [Source:ZFIN;Acc:ZDB-GENE-060616-326]"
"ENSDARG00000054658";"ENSDARG00000054658";"14 x 16";"72hpf_pos_gata5";"slc34a1b";"solute carrier family 34 (type II sodium/phosphate cotransporter), member 1b [Source:ZFIN;Acc:ZDB-GENE-101006-4]"
"ENSDARG00000056549";"ENSDARG00000056549";"5 x 3";"48hpf_pos.1";"vps26a";"vacuolar protein sorting 26 homolog A (S. pombe) [Source:ZFIN;Acc:ZDB-GENE-040426-1108]"
"ENSDARG00000056877";"ENSDARG00000056877";"1 x 40";"72hpf_neg_tbx5";"vamp2";"vesicle-associated membrane protein 2 [Source:ZFIN;Acc:ZDB-GENE-030131-8225]"
"ENSDARG00000061017";"ENSDARG00000061017";"39 x 39";"24hpf_pos.1";"spns2";"spinster homolog 2 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-030131-5843]"
"ENSDARG00000068503";"ENSDARG00000068503";"29 x 27";"72hpf_pos_gata5";"gbgt1l4";"globoside alpha-1,3-N-acetylgalactosaminyltransferase 1, like 4 [Source:ZFIN;Acc:ZDB-GENE-031204-4]"
"ENSDARG00000069159";"ENSDARG00000069159";"1 x 1";"48hpf_pos.1";"rab38b";"RAB38b, member of RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-091204-345]"
"ENSDARG00000074719";"ENSDARG00000074719";"1 x 1";"72hpf_pos_gata5.1";"rab38c";"RAB38c, member of RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-091118-91]"
"ENSDARG00000079891";"ENSDARG00000079891";"4 x 38";"72hpf_neg_tbx5";"dnajc6";"DnaJ (Hsp40) homolog, subfamily C, member 6 [Source:ZFIN;Acc:ZDB-GENE-080104-2]"
"ENSDARG00000090654";"ENSDARG00000090654";"11 x 27";"72hpf_neg_tbx5";"gak";"cyclin G associated kinase [Source:ZFIN;Acc:ZDB-GENE-041210-358]"
"ENSDARG00000091936";"ENSDARG00000091936";"17 x 19";"72hpf_pos_gata5";"";"si:ch211-135f11.5 [Source:ZFIN;Acc:ZDB-GENE-060531-16]"
"ENSDARG00000092718";"ENSDARG00000092718";"24 x 29";"72hpf_neg";"gbgt1l2";"globoside alpha-1,3-N-acetylgalactosaminyltransferase 1, like 2 [Source:ZFIN;Acc:ZDB-GENE-060531-71]"
"ENSDARG00000104483";"ENSDARG00000104483";"40 x 24";"24hpf_pos";"gipc1";"GIPC PDZ domain containing family, member 1 [Source:ZFIN;Acc:ZDB-GENE-060726-1]"
