"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"amino acid transport";3,13853384;"      .";"      .";"";"cellular lipid metabolic process";-11,57277571;"      .";"      ."
2;"nucleic acid binding";2,92432853;"      .";"      .";"";"carboxylic ester hydrolase activity";-6,12465611;"      .";"      ."
3;"amino acid transmembrane transporter activity";2,8421466;"      .";"      .";"";"neuromast development";-4,71419822;"      .";"      ."
4;"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides";2,7921648;"      .";"      .";"";"nervous system development";-3,76111569;"      .";"      ."
5;"amino acid transmembrane transport";2,75195842;"      .";"      .";"";"mitochondrion";-3,65764992;"      .";"      ."
6;"thrombocyte differentiation";2,62194009;"      .";"      .";"";"biological_process";-3,42128752;"      .";"      ."
7;"cellular metabolic process";2,58096562;"      .";"      .";"";"dopaminergic neuron differentiation";-3,3829235;"      .";"      ."
8;"double-strand break repair via homologous recombination";2,40393313;"      .";"      .";"";"GTP binding";-2,83820493;"      .";"      ."
9;"miRNA mediated inhibition of translation";1,95150786;"      .";"      .";"";"synapse organization";-2,60552135;"      .";"      ."
10;"DNA duplex unwinding";1,94510775;"      .";"      .";"";"molecular_function";-2,55032325;"      .";"      ."
11;"nucleus";1,89396666;"      .";"      .";"";"transmission of nerve impulse";-2,37242876;"      .";"      ."
12;"endonuclease activity";1,80357612;"      .";"      .";"";"bicellular tight junction";-2,27670321;"      .";"      ."
13;"DNA recombination";1,757921;"      .";"      .";"";"negative regulation of JAK-STAT cascade";-2,1880885;"      .";"      ."
14;"chromosome";1,72734499;"      .";"      .";"";"cell junction";-2,09010546;"      .";"      ."
15;"DNA repair";1,65476069;"      .";"      .";"";"peripheral nervous system development";-2,03016858;"      .";"      ."
16;"gene silencing by RNA";1,64354287;"      .";"      .";"";"negative regulation of insulin receptor signaling pathway";-2,02013018;"      .";"      ."
17;"RNA phosphodiester bond hydrolysis, endonucleolytic";1,62646172;"      .";"      .";"";"phospholipid binding";-1,94063278;"      .";"      ."
18;"DNA replication";1,61603498;"      .";"      .";"";"myelination";-1,91418787;"      .";"      ."
19;"nuclease activity";1,55219991;"      .";"      .";"";"protein kinase inhibitor activity";-1,90130349;"      .";"      ."
20;"ribosome biogenesis";1,52391361;"      .";"      .";"";"intracellular receptor signaling pathway";-1,85296395;"      .";"      ."
21;"cell redox homeostasis";1,50077208;"      .";"      .";"";"structural molecule activity";-1,83837256;"      .";"      ."
