"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"DNA binding";20,02653678;"      .";"      .";"";"oxidation-reduction process";-16,57205263;"      .";"      ."
2;"nucleus";19,59768947;"      .";"      .";"";"oxidoreductase activity";-15,81639876;"      .";"      ."
3;"regulation of transcription, DNA-templated";18,64175661;"      .";"      .";"";"metabolic process";-10,72798863;"      .";"      ."
4;"sequence-specific DNA binding";17,24121209;"      .";"      .";"";"catalytic activity";-9,82462;"      .";"      ."
5;"homophilic cell adhesion via plasma membrane adhesion molecules";13,53393627;"      .";"      .";"";"pigmentation";-9,4219502;"      .";"      ."
6;"nervous system development";13,07240493;"      .";"      .";"";"sarcomere organization";-9,08613105;"      .";"      ."
7;"nucleic acid binding";12,62614929;"      .";"      .";"";"heart contraction";-9,08442353;"      .";"      ."
8;"multicellular organism development";12,43670152;"      .";"      .";"";"endopeptidase inhibitor activity";-8,07693984;"      .";"      ."
9;"hemoglobin complex";12,41769463;"      .";"      .";"";"lipoprotein metabolic process";-7,71774881;"      .";"      ."
10;"cell adhesion";11,20033359;"      .";"      .";"";"mitochondrion";-7,56836049;"      .";"      ."
11;"transcription, DNA-templated";10,77059832;"      .";"      .";"";"melanosome";-6,92612829;"      .";"      ."
12;"oxygen binding";10,7095476;"      .";"      .";"";"lysosome";-6,91237594;"      .";"      ."
13;"oxygen transport";10,7095476;"      .";"      .";"";"cellular_component";-6,85209055;"      .";"      ."
14;"oxygen transporter activity";10,7095476;"      .";"      .";"";"lipid transport";-6,80017919;"      .";"      ."
15;"transcription factor activity, sequence-specific DNA binding";9,71478648;"      .";"      .";"";"carbohydrate metabolic process";-6,78638153;"      .";"      ."
16;"axon guidance";9,31560048;"      .";"      .";"";"negative regulation of endopeptidase activity";-6,7742447;"      .";"      ."
17;"microtubule binding";9,15914474;"      .";"      .";"";"iron-sulfur cluster binding";-6,69978847;"      .";"      ."
18;"synapse";8,04726245;"      .";"      .";"";"response to bacterium";-6,53340195;"      .";"      ."
19;"microtubule";7,9664792;"      .";"      .";"";"melanosome organization";-6,51710788;"      .";"      ."
20;"nucleosome";7,92482741;"      .";"      .";"";"ribosome";-6,48122739;"      .";"      ."
21;"chromosome";7,84068269;"      .";"      .";"";"structural constituent of ribosome";-6,3867402;"      .";"      ."
22;"neuron development";7,82482109;"      .";"      .";"";"GTP binding";-6,2977022;"      .";"      ."
23;"plasma membrane";7,13651848;"      .";"      .";"";"nucleoside metabolic process";-6,15081766;"      .";"      ."
24;"peripheral nervous system neuron axonogenesis";7,09101098;"      .";"      .";"";"troponin complex";-6,07042303;"      .";"      ."
25;"neuron projection development";6,9939943;"      .";"      .";"";"cardiac muscle tissue development";-5,95937773;"      .";"      ."
26;"calcium ion binding";6,80750833;"      .";"      .";"";"monooxygenase activity";-5,94047503;"      .";"      ."
27;"extracellular matrix structural constituent";6,7643786;"      .";"      .";"";"translation";-5,92129904;"      .";"      ."
28;"regulation of transcription from RNA polymerase II promoter";6,71243912;"      .";"      .";"";"flavin adenine dinucleotide binding";-5,82675845;"      .";"      ."
29;"nucleosome assembly";6,68044402;"      .";"      .";"";"purine nucleotide biosynthetic process";-5,78342654;"      .";"      ."
30;"ephrin receptor signaling pathway";6,64879744;"      .";"      .";"";"chylomicron";-5,721398;"      .";"      ."
31;"presynaptic active zone";6,59524699;"      .";"      .";"";"photoreceptor activity";-5,62969775;"      .";"      ."
32;"cell differentiation";6,44118867;"      .";"      .";"";"substrate-specific transmembrane transporter activity";-5,62252192;"      .";"      ."
33;"microtubule motor activity";6,40478014;"      .";"      .";"";"cardiac muscle contraction";-5,59544653;"      .";"      ."
34;"brain development";6,37618035;"      .";"      .";"";"cellular response to estrogen stimulus";-5,52613242;"      .";"      ."
