"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"ADP transport";0,78485486;"      .";"      .";"";"trace-amine receptor activity";-2,15831719;"      .";"      ."
2;"ATP transport";0,78485486;"      .";"      .";"";"nucleosome assembly";-1,05771958;"      .";"      ."
3;"transport";0,717201;"      .";"      .";"";"nucleosome";-0,85042251;"      .";"      ."
4;"metal ion binding";0,71283325;"      .";"      .";"";"chromosome";-0,74636072;"      .";"      ."
5;"membrane";0,70736709;"      .";"      .";"";"ATPase activity";-0,69105356;"      .";"      ."
6;"oxidation-reduction process";0,69842634;"      .";"      .";"";"transmission of nerve impulse";-0,68856842;"      .";"      ."
7;"transmembrane transport";0,67398385;"      .";"      .";"";"peripheral nervous system development";-0,60483443;"      .";"      ."
8;"digestive tract morphogenesis";0,67207297;"      .";"      .";"";"synapse organization";-0,58924959;"      .";"      ."
9;"integral component of membrane";0,65489698;"      .";"      .";"";"myelination";-0,52584215;"      .";"      ."
10;"oxidoreductase activity";0,63798661;"      .";"      .";"";"nucleosomal DNA binding";-0,52354197;"      .";"      ."
11;"cytoplasm";0,608818;"      .";"      .";"";"G-protein coupled receptor activity";-0,49961158;"      .";"      ."
12;"mitochondrial inner membrane";0,57873838;"      .";"      .";"";"signal transducer activity";-0,46330913;"      .";"      ."
13;"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen";0,56032636;"      .";"      .";"";"cell redox homeostasis";-0,44947232;"      .";"      ."
14;"MAP kinase kinase kinase kinase activity";0,52740479;"      .";"      .";"";"G-protein coupled receptor signaling pathway";-0,44778836;"      .";"      ."
15;"ATP binding";0,50601536;"      .";"      .";"";"hydrolase activity, acting on glycosyl bonds";-0,40321134;"      .";"      ."
16;"mitochondrial electron transport, ubiquinol to cytochrome c";0,5056647;"      .";"      .";"";"cellular component organization";-0,36836426;"      .";"      ."
17;"mitochondrion";0,49801156;"      .";"      .";"";"regulation of cell morphogenesis";-0,35426344;"      .";"      ."
18;"intracellular";0,48500261;"      .";"      .";"";"homophilic cell adhesion via plasma membrane adhesion molecules";-0,29403047;"      .";"      ."
19;"nucleotide binding";0,48413327;"      .";"      .";"";"cell";-0,28101762;"      .";"      ."
20;"ion transport";0,48090297;"      .";"      .";"";"axon guidance";-0,27569922;"      .";"      ."
21;"cardiac muscle cell proliferation";0,47295913;"      .";"      .";"";"negative regulation of BMP signaling pathway";-0,23928601;"      .";"      ."
22;"ion transmembrane transport";0,46442026;"      .";"      .";"";"generation of neurons";-0,23578928;"      .";"      ."
23;"amino acid transport";0,46103997;"      .";"      .";"";"Rho GTPase binding";-0,21978292;"      .";"      ."
24;"nucleic acid binding";0,45114555;"      .";"      .";"";"regulation of small GTPase mediated signal transduction";-0,20230474;"      .";"      ."
25;"activation of MAPKKK activity";0,43921095;"      .";"      .";"";"carbohydrate metabolic process";-0,20151054;"      .";"      ."
26;"ion channel activity";0,43477723;"      .";"      .";"";"calcium channel regulator activity";-0,18996444;"      .";"      ."
27;"aerobic respiration";0,4285992;"      .";"      .";"";"regulation of molecular function";-0,18178428;"      .";"      ."
28;"iron ion binding";0,42098029;"      .";"      .";"";"cell projection organization";-0,16892262;"      .";"      ."
29;"regulation of cell shape";0,40606993;"      .";"      .";"";"signal transduction";-0,16379366;"      .";"      ."
30;"neuron projection morphogenesis";0,39961819;"      .";"      .";"";"spectrin binding";-0,14153801;"      .";"      ."
31;"transporter activity";0,39925244;"      .";"      .";"";"detection of chemical stimulus involved in sensory perception of smell";-0,14015351;"      .";"      ."
32;"respiratory chain";0,38510898;"      .";"      .";"";"olfactory receptor activity";-0,14015351;"      .";"      ."
33;"phosphorylation";0,37859607;"      .";"      .";"";"cell adhesion";-0,139989;"      .";"      ."
34;"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";0,37360696;"      .";"      .";"";"detection of chemical stimulus involved in sensory perception";-0,13863714;"      .";"      ."
35;"monooxygenase activity";0,37195303;"      .";"      .";"";"forebrain development";-0,13413201;"      .";"      ."
36;"regulation of apoptotic process";0,37130647;"      .";"      .";"";"midbrain development";-0,12608819;"      .";"      ."
37;"transferase activity";0,3649146;"      .";"      .";"";"negative regulation of Wnt signaling pathway";-0,10971647;"      .";"      ."
38;"heme binding";0,35370227;"      .";"      .";"";"positive regulation of cell proliferation";-0,10707513;"      .";"      ."
39;"steroid hormone receptor activity";0,35309473;"      .";"      .";"";"polysaccharide binding";-0,10300725;"      .";"      ."
40;"steroid hormone mediated signaling pathway";0,35240088;"      .";"      .";"";"metallopeptidase activity";-0,09622062;"      .";"      ."
41;"kinase activity";0,35129504;"      .";"      .";"";"sensory perception of smell";-0,08764126;"      .";"      ."
42;"cytosol";0,35087077;"      .";"      .";"";"cell growth";-0,08328323;"      .";"      ."
43;"transcription factor activity, sequence-specific DNA binding";0,34819457;"      .";"      .";"";"negative regulation of neurogenesis";-0,07765957;"      .";"      ."
44;"regulation of transcription, DNA-templated";0,34445793;"      .";"      .";"";"P granule";-0,06777965;"      .";"      ."
45;"zinc ion binding";0,32632108;"      .";"      .";"";"cytokine receptor activity";-0,06757184;"      .";"      ."
46;"MAPK cascade";0,32357366;"      .";"      .";"";"cell projection";-0,06210526;"      .";"      ."
47;"stress-activated protein kinase signaling cascade";0,32027685;"      .";"      .";"";"protein autophosphorylation";-0,05821823;"      .";"      ."
48;"gastrulation";0,31860977;"      .";"      .";"";"regulation of ARF protein signal transduction";-0,05362393;"      .";"      ."
49;"RNA binding";0,31856253;"      .";"      .";"";"protein K48-linked deubiquitination";-0,05229621;"      .";"      ."
50;"hydrogen ion transmembrane transport";0,31329928;"      .";"      .";"";"germ cell migration";-0,04984228;"      .";"      ."
51;"amino acid transmembrane transporter activity";0,30922034;"      .";"      .";"";"transforming growth factor beta receptor signaling pathway";-0,04843953;"      .";"      ."
52;"convergent extension involved in gastrulation";0,30568089;"      .";"      .";"";"negative regulation of translation";-0,04546267;"      .";"      ."
53;"intracellular signal transduction";0,29747049;"      .";"      .";"";"ARF guanyl-nucleotide exchange factor activity";-0,04371868;"      .";"      ."
54;"protein phosphorylation";0,29727463;"      .";"      .";"";"DNA binding";-0,04183581;"      .";"      ."
55;"response to bacterium";0,29637687;"      .";"      .";"";"sugar:proton symporter activity";-0,04065807;"      .";"      ."
56;"protein kinase activity";0,28499963;"      .";"      .";"";"carbohydrate transport";-0,04063338;"      .";"      ."
57;"intracellular protein transport";0,28249795;"      .";"      .";"";"cell development";-0,04038229;"      .";"      ."
58;"positive regulation of GTPase activity";0,2815895;"      .";"      .";"";"positive regulation of pathway-restricted SMAD protein phosphorylation";-0,03935213;"      .";"      ."
59;"GTPase activator activity";0,28001681;"      .";"      .";"";"transforming growth factor beta receptor binding";-0,03935213;"      .";"      ."
60;"GTP binding";0,27470997;"      .";"      .";"";"midbrain-hindbrain boundary development";-0,03891998;"      .";"      ."
61;"catalytic activity";0,27310506;"      .";"      .";"";"SMAD protein signal transduction";-0,03792948;"      .";"      ."
62;"chylomicron";0,26852074;"      .";"      .";"";"embryonic cranial skeleton morphogenesis";-0,0375763;"      .";"      ."
63;"amino acid transmembrane transport";0,26851883;"      .";"      .";"";"cellular_component";-0,0369337;"      .";"      ."
64;"integral component of plasma membrane";0,26492063;"      .";"      .";"";"protein heterodimerization activity";-0,03690672;"      .";"      ."
65;"GTP-Rho binding";0,26425024;"      .";"      .";"";"peripheral nervous system neuron axonogenesis";-0,03563245;"      .";"      ."
66;"endoplasmic reticulum";0,26383406;"      .";"      .";"";"hydrolase activity, hydrolyzing O-glycosyl compounds";-0,03445851;"      .";"      ."
67;"response to cytokine";0,26162528;"      .";"      .";"";"protein ubiquitination involved in ubiquitin-dependent protein catabolic process";-0,032565;"      .";"      ."
68;"triglyceride catabolic process";0,26156885;"      .";"      .";"";"protein K63-linked deubiquitination";-0,03000054;"      .";"      ."
69;"RNA polymerase II transcription factor activity, sequence-specific DNA binding";0,26146724;"      .";"      .";"";"cellular response to estrogen stimulus";-0,02865452;"      .";"      ."
70;"high-density lipoprotein particle";0,25944026;"      .";"      .";"";"formation of translation preinitiation complex";-0,02819516;"      .";"      ."
71;"GTPase activity";0,25732528;"      .";"      .";"";"urea transmembrane transport";-0,02791657;"      .";"      ."
72;"positive regulation of actin filament polymerization";0,25670335;"      .";"      .";"";"urea transmembrane transporter activity";-0,02791657;"      .";"      ."
73;"cholesterol homeostasis";0,25401809;"      .";"      .";"";"regulation of MAPK cascade";-0,02693173;"      .";"      ."
74;"transcription, DNA-templated";0,24872907;"      .";"      .";"";"response to stimulus";-0,02689322;"      .";"      ."
75;"extracellular region";0,24655053;"      .";"      .";"";"DNA integration";-0,02179478;"      .";"      ."
76;"cholesterol biosynthetic process";0,24448592;"      .";"      .";"";"carbohydrate binding";-0,02117285;"      .";"      ."
77;"inflammatory response";0,24294668;"      .";"      .";"";"ubiquitin-dependent protein catabolic process";-0,01985489;"      .";"      ."
78;"defense response to bacterium";0,24183736;"      .";"      .";"";"cell surface";-0,01883216;"      .";"      ."
79;"flavin adenine dinucleotide binding";0,24176549;"      .";"      .";"";"endoplasmic reticulum unfolded protein response";-0,01780443;"      .";"      ."
80;"angiogenesis";0,24175308;"      .";"      .";"";"spermatid development";-0,01704691;"      .";"      ."
81;"hypothalamus development";0,24170748;"      .";"      .";"";"cytoskeleton organization";-0,01534806;"      .";"      ."
82;"transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding";0,24000055;"      .";"      .";"";"cytokine activity";-0,01509186;"      .";"      ."
83;"lipid transport";0,23941403;"      .";"      .";"";"cation binding";-0,01447231;"      .";"      ."
84;"Rho protein signal transduction";0,23840905;"      .";"      .";"";"transcription cofactor activity";-0,01165017;"      .";"      ."
85;"double-strand break repair";0,23684674;"      .";"      .";"";"embryonic camera-type eye development";-0,0109731;"      .";"      ."
86;"cholesterol efflux";0,23637323;"      .";"      .";"";"molecular_function";-0,01096076;"      .";"      ."
87;"positive regulation of transcription from RNA polymerase II promoter";0,23365939;"      .";"      .";"";"DNA damage checkpoint";-0,00960247;"      .";"      ."
88;"iron-sulfur cluster binding";0,23324829;"      .";"      .";"";"cell cycle arrest";-0,00875823;"      .";"      ."
89;"protein transport";0,23027138;"      .";"      .";"";"ventral spinal cord interneuron differentiation";-0,00760782;"      .";"      ."
90;"electron carrier activity";0,22913567;"      .";"      .";"";"regulation of translation";-0,00669348;"      .";"      ."
91;"small GTPase mediated signal transduction";0,22663099;"      .";"      .";"";"scavenger receptor activity";-0,00652141;"      .";"      ."
92;"lipid metabolic process";0,22604019;"      .";"      .";"";"neuropeptide Y receptor activity";-0,00633451;"      .";"      ."
93;"2 iron, 2 sulfur cluster binding";0,22589953;"      .";"      .";"";"retinal cone cell development";-0,0061744;"      .";"      ."
94;"blood microparticle";0,22259021;"      .";"      .";"";"developmental process";-0,00593003;"      .";"      ."
95;"neutrophil differentiation";0,22136875;"      .";"      .";"";"positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway";-0,00586133;"      .";"      ."
96;"extrinsic apoptotic signaling pathway in absence of ligand";0,22078491;"      .";"      .";"";"positive regulation of Rho protein signal transduction";-0,00586133;"      .";"      ."
97;"posterior lateral line neuromast development";0,22061525;"      .";"      .";"";"phospholipase C-activating dopamine receptor signaling pathway";-0,00565788;"      .";"      ."
98;"pigmentation";0,22060027;"      .";"      .";"";"sialylation";-0,00508149;"      .";"      ."
99;"muscle fiber development";0,21964987;"      .";"      .";"";"sialyltransferase activity";-0,00508149;"      .";"      ."
100;"hormone activity";0,21940542;"      .";"      .";"";"thiolester hydrolase activity";-0,00449436;"      .";"      ."
101;"endoplasmic reticulum membrane";0,21884484;"      .";"      .";"";"negative regulation of adenylate cyclase activity";-0,00445943;"      .";"      ."
102;"mitochondrial matrix";0,21798693;"      .";"      .";"";"neuropeptide binding";-0,00395043;"      .";"      ."
