"gene set";"p-value";"fdr"
"carboxypeptidase activity";"0.0065359477124183      .";"1      ."
"ceramide biosynthetic process";"0.0065359477124183      .";"1      ."
"endocytic recycling";"0.0065359477124183      .";"1      ."
"peptide cross-linking";"0.0065359477124183      .";"1      ."
"photoreceptor activity";"0.0065359477124183      .";"1      ."
"protein-chromophore linkage";"0.0065359477124183      .";"1      ."
"protein-glutamine gamma-glutamyltransferase activity";"0.0065359477124183      .";"1      ."
"response to stress";"0.0065359477124183      .";"1      ."
"urea transmembrane transport";"0.0065359477124183      .";"1      ."
"urea transmembrane transporter activity";"0.0065359477124183      .";"1      ."
"water transmembrane transporter activity";"0.0065359477124183      .";"1      ."
"water transport";"0.0065359477124183      .";"1      ."
"cellular calcium ion homeostasis";"0.0130718954248366      .";"1      ."
"CTP biosynthetic process";"0.0130718954248366      .";"1      ."
"detection of visible light";"0.0130718954248366      .";"1      ."
"GTP biosynthetic process";"0.0130718954248366      .";"1      ."
"iron ion homeostasis";"0.0130718954248366      .";"1      ."
"regulation of cell differentiation";"0.0130718954248366      .";"1      ."
"response to endoplasmic reticulum stress";"0.0130718954248366      .";"1      ."
"response to stimulus";"0.0130718954248366      .";"1      ."
"UTP biosynthetic process";"0.0130718954248366      .";"1      ."
"actin nucleation";"0.0261437908496732      .";"1      ."
"cilium organization";"0.0261437908496732      .";"1      ."
"epiboly";"0.0261437908496732      .";"1      ."
"G-protein coupled photoreceptor activity";"0.0261437908496732      .";"1      ."
"G-protein coupled receptor binding";"0.0261437908496732      .";"1      ."
"hydrolase activity, acting on ester bonds";"0.0261437908496732      .";"1      ."
"multicellular organismal response to stress";"0.0261437908496732      .";"1      ."
"nitrogen compound metabolic process";"0.0261437908496732      .";"1      ."
"one-carbon metabolic process";"0.0261437908496732      .";"1      ."
"photoreceptor outer segment";"0.0261437908496732      .";"1      ."
"polysaccharide binding";"0.0261437908496732      .";"1      ."
"retinol metabolic process";"0.0261437908496732      .";"1      ."
"structural constituent of eye lens";"0.0261437908496732      .";"1      ."
"thiolester hydrolase activity";"0.0261437908496732      .";"1      ."
"actin filament";"0.0392156862745098      .";"1      ."
"acyl-CoA hydrolase activity";"0.0392156862745098      .";"1      ."
"connexin complex";"0.0392156862745098      .";"1      ."
"digestive tract morphogenesis";"0.0392156862745098      .";"1      ."
