"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000349";"ENSDARG00000000349";"15 x 22";"72hpf_pos_gata5";"si:rp71-1p14.7";"si:rp71-1p14.7 [Source:ZFIN;Acc:ZDB-GENE-040724-203]"
"ENSDARG00000000369";"ENSDARG00000000369";"28 x 6";"72hpf_pos_gata5.1";"prkag3b";"protein kinase, AMP-activated, gamma 3b non-catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-060421-6938]"
"ENSDARG00000001210";"ENSDARG00000001210";"31 x 9";"72hpf_pos";"arl14ep";"ADP-ribosylation factor-like 14 effector protein [Source:ZFIN;Acc:ZDB-GENE-060825-216]"
"ENSDARG00000001879";"ENSDARG00000001879";"32 x 32";"24hpf_neg";"nav2b";"neuron navigator 2b [Source:ZFIN;Acc:ZDB-GENE-061207-13]"
"ENSDARG00000001898";"ENSDARG00000001898";"27 x 12";"72hpf_pos_tbx5.1";"manea";"mannosidase, endo-alpha [Source:ZFIN;Acc:ZDB-GENE-040912-87]"
"ENSDARG00000001969";"ENSDARG00000001969";"35 x 15";"24hpf_pos.1";"txlng";"taxilin gamma [Source:ZFIN;Acc:ZDB-GENE-060616-122]"
"ENSDARG00000002002";"ENSDARG00000002002";"20 x 4";"72hpf_pos_hand2.1";"lmcd1";"LIM and cysteine-rich domains 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1067]"
"ENSDARG00000002220";"ENSDARG00000002220";"28 x 11";"72hpf_pos";"zgc:103692";"zgc:103692 [Source:ZFIN;Acc:ZDB-GENE-041010-15]"
"ENSDARG00000002285";"ENSDARG00000002285";"7 x 4";"72hpf_pos_gata5.1";"mcoln1a";"mucolipin 1a [Source:ZFIN;Acc:ZDB-GENE-040426-2704]"
"ENSDARG00000002298";"ENSDARG00000002298";"6 x 13";"72hpf_pos_gata5.1";"ankrd22";"ankyrin repeat domain 22 [Source:ZFIN;Acc:ZDB-GENE-040426-1120]"
"ENSDARG00000002377";"ENSDARG00000002377";"16 x 16";"72hpf_pos_gata5";"";"mitochondrial elongation factor 2 [Source:ZFIN;Acc:ZDB-GENE-060929-864]"
"ENSDARG00000002391";"ENSDARG00000002391";"19 x 10";"72hpf_pos";"tlcd1";"TLC domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-041010-173]"
"ENSDARG00000002509";"ENSDARG00000002509";"8 x 16";"72hpf_pos_gata5";"zgc:153911";"zgc:153911 [Source:ZFIN;Acc:ZDB-GENE-061013-174]"
"ENSDARG00000002564";"ENSDARG00000002564";"1 x 3";"48hpf_pos";"syngr1a";"synaptogyrin 1a [Source:ZFIN;Acc:ZDB-GENE-041010-169]"
"ENSDARG00000002635";"ENSDARG00000002635";"5 x 37";"72hpf_neg_tbx5";"zgc:85722";"zgc:85722 [Source:ZFIN;Acc:ZDB-GENE-040516-7]"
"ENSDARG00000002682";"ENSDARG00000002682";"1 x 17";"72hpf_pos_tbx5.1";"";"tubulin folding cofactor E-like a [Source:ZFIN;Acc:ZDB-GENE-040426-1719]"
"ENSDARG00000002872";"ENSDARG00000002872";"22 x 37";"48hpf_neg";"zgc:113210";"zgc:113210 [Source:ZFIN;Acc:ZDB-GENE-050320-83]"
"ENSDARG00000002967";"ENSDARG00000002967";"7 x 15";"72hpf_pos_gata5.1";"pdap1b";"pdgfa associated protein 1b [Source:ZFIN;Acc:ZDB-GENE-040426-942]"
"ENSDARG00000002971";"ENSDARG00000002971";"26 x 38";"24hpf_pos.1";"phc1";"polyhomeotic homolog 1 [Source:ZFIN;Acc:ZDB-GENE-081022-39]"
"ENSDARG00000003144";"ENSDARG00000003144";"26 x 1";"72hpf_pos_tbx5.1";"pxmp2";"peroxisomal membrane protein 2 [Source:ZFIN;Acc:ZDB-GENE-040912-184]"
"ENSDARG00000003313";"ENSDARG00000003313";"1 x 25";"72hpf_pos_gata5";"si:ch73-70c5.1";"si:ch73-70c5.1 [Source:ZFIN;Acc:ZDB-GENE-050506-143]"
"ENSDARG00000003373";"ENSDARG00000003373";"28 x 4";"72hpf_pos_gata5.1";"commd2";"COMM domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-040718-118]"
"ENSDARG00000003822";"ENSDARG00000003822";"29 x 7";"24hpf_pos.1";"ankrd16";"ankyrin repeat domain 16 [Source:ZFIN;Acc:ZDB-GENE-041210-253]"
"ENSDARG00000003973";"ENSDARG00000003973";"14 x 8";"72hpf_pos_tbx5";"chordc1a";"cysteine and histidine-rich domain (CHORD) containing 1a [Source:ZFIN;Acc:ZDB-GENE-050626-79]"
"ENSDARG00000003998";"ENSDARG00000003998";"10 x 30";"72hpf_neg_tbx5";"phyhipla";"phytanoyl-CoA 2-hydroxylase interacting protein-like a [Source:ZFIN;Acc:ZDB-GENE-061215-64]"
"ENSDARG00000004171";"ENSDARG00000004171";"13 x 4";"72hpf_pos_tbx5.1";"rabac1";"Rab acceptor 1 (prenylated) [Source:ZFIN;Acc:ZDB-GENE-040625-146]"
"ENSDARG00000004211";"ENSDARG00000004211";"5 x 28";"72hpf_neg_gata5";"ccdc106a";"coiled-coil domain containing 106a [Source:ZFIN;Acc:ZDB-GENE-050220-4]"
"ENSDARG00000004308";"ENSDARG00000004308";"33 x 13";"72hpf_pos";"fam8a1b";"family with sequence similarity 8, member A1b [Source:ZFIN;Acc:ZDB-GENE-050410-14]"
"ENSDARG00000004318";"ENSDARG00000004318";"19 x 3";"48hpf_pos";"cbwd";"COBW domain containing [Source:ZFIN;Acc:ZDB-GENE-040426-2388]"
"ENSDARG00000004525";"ENSDARG00000004525";"34 x 4";"24hpf_pos.1";"zgc:63882";"zgc:63882 [Source:ZFIN;Acc:ZDB-GENE-040426-1286]"
"ENSDARG00000004577";"ENSDARG00000004577";"24 x 40";"72hpf_neg_tbx5";"zgc:194665";"zgc:194665 [Source:ZFIN;Acc:ZDB-GENE-080722-38]"
"ENSDARG00000004594";"ENSDARG00000004594";"24 x 40";"24hpf_neg";"znf800a";"zinc finger protein 800a [Source:ZFIN;Acc:ZDB-GENE-041008-151]"
"ENSDARG00000004636";"ENSDARG00000004636";"38 x 19";"24hpf_pos.1";"ccdc9";"coiled-coil domain containing 9 [Source:ZFIN;Acc:ZDB-GENE-060929-520]"
"ENSDARG00000004794";"ENSDARG00000004794";"24 x 18";"72hpf_pos_hand2.1";"ccdc146";"coiled-coil domain containing 146 [Source:ZFIN;Acc:ZDB-GENE-041210-217]"
"ENSDARG00000004806";"ENSDARG00000004806";"33 x 24";"24hpf_pos";"grwd1";"glutamate-rich WD repeat containing 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9844]"
"ENSDARG00000004874";"ENSDARG00000004874";"6 x 21";"72hpf_pos.1";"spata6l";"spermatogenesis associated 6-like [Source:ZFIN;Acc:ZDB-GENE-040426-1369]"
"ENSDARG00000004875";"ENSDARG00000004875";"30 x 32";"24hpf_pos.1";"";"transmembrane channel-like 6b [Source:ZFIN;Acc:ZDB-GENE-040718-460]"
"ENSDARG00000004906";"ENSDARG00000004906";"12 x 22";"72hpf_pos.1";"stip1";"stress-induced phosphoprotein 1 [Source:ZFIN;Acc:ZDB-GENE-041121-17]"
"ENSDARG00000005139";"ENSDARG00000005139";"15 x 8";"24hpf_pos.1";"hhatlb";"hedgehog acyltransferase-like, b [Source:ZFIN;Acc:ZDB-GENE-050506-130]"
"ENSDARG00000005216";"ENSDARG00000005216";"25 x 40";"72hpf_neg_hand2";"";"zgc:158328 [Source:ZFIN;Acc:ZDB-GENE-070112-1202]"
"ENSDARG00000005343";"ENSDARG00000005343";"16 x 39";"72hpf_neg_hand2";"ccdc85al";"coiled-coil domain containing 85A, like [Source:ZFIN;Acc:ZDB-GENE-040912-92]"
"ENSDARG00000005500";"ENSDARG00000005500";"31 x 17";"24hpf_pos";"dgcr6";"DiGeorge syndrome critical region gene 6 [Source:ZFIN;Acc:ZDB-GENE-040912-125]"
"ENSDARG00000005526";"ENSDARG00000005526";"1 x 11";"72hpf_pos_tbx5";"igfn1.1";"immunoglobulin-like and fibronectin type III domain containing 1, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-050327-30]"
