"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000001754";"ENSDARG00000001754";"35 x 3";"24hpf_pos";"noc2l";"NOC2-like nucleolar associated transcriptional repressor [Source:ZFIN;Acc:ZDB-GENE-000607-75]"
"ENSDARG00000003287";"ENSDARG00000003287";"38 x 28";"24hpf_pos";"wdr12";"WD repeat domain 12 [Source:ZFIN;Acc:ZDB-GENE-030131-371]"
"ENSDARG00000003732";"ENSDARG00000003732";"3 x 1";"48hpf_pos.1";"mitfa";"microphthalmia-associated transcription factor a [Source:ZFIN;Acc:ZDB-GENE-990910-11]"
"ENSDARG00000007277";"ENSDARG00000007277";"34 x 35";"24hpf_neg";"myf5";"myogenic factor 5 [Source:ZFIN;Acc:ZDB-GENE-000616-6]"
"ENSDARG00000008032";"ENSDARG00000008032";"34 x 31";"24hpf_pos.1";"sart3";"squamous cell carcinoma antigen recognized by T cells 3 [Source:ZFIN;Acc:ZDB-GENE-040724-10]"
"ENSDARG00000011404";"ENSDARG00000011404";"35 x 30";"24hpf_neg";"fen1";"flap structure-specific endonuclease 1 [Source:ZFIN;Acc:ZDB-GENE-031112-11]"
"ENSDARG00000012325";"ENSDARG00000012325";"30 x 25";"48hpf_pos";"zgc:110269";"zgc:110269 [Source:ZFIN;Acc:ZDB-GENE-050417-81]"
"ENSDARG00000012667";"ENSDARG00000012667";"1 x 40";"48hpf_neg";"tfap2b";"transcription factor AP-2 beta [Source:ZFIN;Acc:ZDB-GENE-050417-394]"
"ENSDARG00000015676";"ENSDARG00000015676";"35 x 5";"24hpf_pos";"nmd3";"NMD3 ribosome export adaptor [Source:ZFIN;Acc:ZDB-GENE-050320-149]"
"ENSDARG00000016360";"ENSDARG00000016360";"26 x 30";"48hpf_pos.1";"kpna1";"karyopherin alpha 1 (importin alpha 5) [Source:ZFIN;Acc:ZDB-GENE-091116-39]"
"ENSDARG00000017762";"ENSDARG00000017762";"35 x 33";"24hpf_pos.1";"srrt";"serrate RNA effector molecule homolog (Arabidopsis) [Source:ZFIN;Acc:ZDB-GENE-020419-13]"
"ENSDARG00000018494";"ENSDARG00000018494";"30 x 27";"24hpf_neg";"smn1";"survival of motor neuron 1, telomeric [Source:ZFIN;Acc:ZDB-GENE-990715-16]"
"ENSDARG00000018902";"ENSDARG00000018902";"35 x 5";"24hpf_pos";"pes";"pescadillo [Source:ZFIN;Acc:ZDB-GENE-990415-206]"
"ENSDARG00000019797";"ENSDARG00000019797";"32 x 32";"24hpf_neg";"qrich1";"glutamine-rich 1 [Source:ZFIN;Acc:ZDB-GENE-030131-8204]"
"ENSDARG00000020964";"ENSDARG00000020964";"35 x 32";"24hpf_pos.1";"prkrirb";"protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor) b [Source:ZFIN;Acc:ZDB-GENE-040718-429]"
"ENSDARG00000022203";"ENSDARG00000022203";"20 x 34";"72hpf_neg_gata5";"gtf2ird1";"GTF2I repeat domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-010328-18]"
"ENSDARG00000023190";"ENSDARG00000023190";"19 x 17";"72hpf_pos";"kpna4";"karyopherin alpha 4 (importin alpha 3) [Source:ZFIN;Acc:ZDB-GENE-030131-5584]"
"ENSDARG00000027169";"ENSDARG00000027169";"9 x 23";"72hpf_pos.1";"kpna7";"karyopherin alpha 7 (importin alpha 8) [Source:ZFIN;Acc:ZDB-GENE-040426-2023]"
"ENSDARG00000027353";"ENSDARG00000027353";"23 x 40";"48hpf_neg";"zmym2";"zinc finger, MYM-type 2 [Source:ZFIN;Acc:ZDB-GENE-030131-2408]"
"ENSDARG00000035573";"ENSDARG00000035573";"30 x 3";"24hpf_pos";"zgc:86811";"zgc:86811 [Source:ZFIN;Acc:ZDB-GENE-040625-113]"
"ENSDARG00000035821";"ENSDARG00000035821";"19 x 37";"72hpf_neg";"si:ch211-173p18.3";"si:ch211-173p18.3 [Source:ZFIN;Acc:ZDB-GENE-060503-672]"
"ENSDARG00000035823";"ENSDARG00000035823";"20 x 37";"24hpf_neg";"zmym4";"zinc finger, MYM-type 4 [Source:ZFIN;Acc:ZDB-GENE-030131-5459]"
"ENSDARG00000035853";"ENSDARG00000035853";"34 x 5";"24hpf_pos.1";"cdkn2aip";"CDKN2A interacting protein [Source:ZFIN;Acc:ZDB-GENE-041010-188]"
"ENSDARG00000037833";"ENSDARG00000037833";"1 x 2";"72hpf_pos_gata5.1";"mitfb";"microphthalmia-associated transcription factor b [Source:ZFIN;Acc:ZDB-GENE-010919-1]"
"ENSDARG00000038066";"ENSDARG00000038066";"39 x 35";"24hpf_pos";"kpna2";"karyopherin alpha 2 (RAG cohort 1, importin alpha 1) [Source:ZFIN;Acc:ZDB-GENE-040718-22]"
"ENSDARG00000040606";"ENSDARG00000040606";"20 x 38";"48hpf_neg";"tfap2c";"transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma) [Source:ZFIN;Acc:ZDB-GENE-041212-61]"
"ENSDARG00000041411";"ENSDARG00000041411";"35 x 29";"24hpf_pos";"rad51";"RAD51 recombinase [Source:ZFIN;Acc:ZDB-GENE-040426-2286]"
"ENSDARG00000042489";"ENSDARG00000042489";"40 x 29";"24hpf_neg";"prkrira";"protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor) a [Source:ZFIN;Acc:ZDB-GENE-040426-2045]"
"ENSDARG00000042492";"ENSDARG00000042492";"36 x 31";"24hpf_neg";"";"si:dkey-250d21.1 [Source:ZFIN;Acc:ZDB-GENE-030131-8276]"
"ENSDARG00000042642";"ENSDARG00000042642";"22 x 37";"72hpf_neg_hand2";"wtap";"WT1 associated protein [Source:ZFIN;Acc:ZDB-GENE-030131-5990]"
"ENSDARG00000042825";"ENSDARG00000042825";"37 x 19";"24hpf_pos.1";"rnf169";"ring finger protein 169 [Source:ZFIN;Acc:ZDB-GENE-030131-4336]"
"ENSDARG00000044980";"ENSDARG00000044980";"17 x 9";"72hpf_pos_tbx5";"kpna6";"karyopherin alpha 6 (importin alpha 7) [Source:ZFIN;Acc:ZDB-GENE-130530-626]"
"ENSDARG00000045296";"ENSDARG00000045296";"18 x 15";"72hpf_pos";"myeov2";"myeloma overexpressed 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1883]"
"ENSDARG00000046024";"ENSDARG00000046024";"37 x 18";"24hpf_pos.1";"pym1";"PYM homolog 1, exon junction complex associated factor [Source:ZFIN;Acc:ZDB-GENE-040426-1464]"
"ENSDARG00000052641";"ENSDARG00000052641";"17 x 10";"72hpf_pos";"kpna3";"karyopherin alpha 3 (importin alpha 4) [Source:ZFIN;Acc:ZDB-GENE-030616-541]"
"ENSDARG00000053395";"ENSDARG00000053395";"34 x 13";"24hpf_pos.1";"cdkn2aipnl";"CDKN2A interacting protein N-terminal like [Source:ZFIN;Acc:ZDB-GENE-041010-154]"
"ENSDARG00000055883";"ENSDARG00000055883";"20 x 21";"48hpf_pos";"dmc1";"DNA meiotic recombinase 1 [Source:ZFIN;Acc:ZDB-GENE-060331-93]"
"ENSDARG00000057681";"ENSDARG00000057681";"30 x 40";"24hpf_neg";"si:ch211-266o15.1";"si:ch211-266o15.1 [Source:ZFIN;Acc:ZDB-GENE-131127-116]"
"ENSDARG00000058358";"ENSDARG00000058358";"6 x 12";"72hpf_pos";"krt8";"keratin 8 [Source:ZFIN;Acc:ZDB-GENE-030411-5]"
"ENSDARG00000059020";"ENSDARG00000059020";"37 x 11";"72hpf_pos.1";"";"THAP domain containing, apoptosis associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-060519-9]"
"ENSDARG00000060911";"ENSDARG00000060911";"17 x 34";"72hpf_neg_tbx5";"";"si:ch211-126i22.5 [Source:ZFIN;Acc:ZDB-GENE-091204-183]"
"ENSDARG00000061397";"ENSDARG00000061397";"28 x 37";"24hpf_pos.1";"trip12";"thyroid hormone receptor interactor 12 [Source:ZFIN;Acc:ZDB-GENE-041111-262]"
"ENSDARG00000063627";"ENSDARG00000063627";"40 x 33";"24hpf_pos.1";"bop1";"block of proliferation 1 [Source:ZFIN;Acc:ZDB-GENE-030219-109]"
"ENSDARG00000070046";"ENSDARG00000070046";"20 x 4";"72hpf_pos_tbx5.1";"eny2";"enhancer of yellow 2 homolog (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-040718-124]"
"ENSDARG00000087779";"ENSDARG00000087779";"35 x 4";"24hpf_pos";"im:7148292";"pumilio RNA-binding family member 3 [Source:ZFIN;Acc:ZDB-GENE-030131-9808]"
"ENSDARG00000098243";"ENSDARG00000098243";"26 x 23";"24hpf_neg";"";""
"ENSDARG00000098903";"ENSDARG00000098903";"37 x 1";"24hpf_pos.1";"tfe3a";"transcription factor binding to IGHM enhancer 3a [Source:ZFIN;Acc:ZDB-GENE-010919-2]"
"ENSDARG00000101333";"ENSDARG00000101333";"36 x 22";"24hpf_pos";"";""
"ENSDARG00000102896";"ENSDARG00000102896";"33 x 11";"24hpf_neg";"jmjd6";"jumonji domain containing 6 [Source:ZFIN;Acc:ZDB-GENE-040426-17]"
