"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000349";"ENSDARG00000000349";"15 x 22";"72hpf_pos_gata5";"si:rp71-1p14.7";"si:rp71-1p14.7 [Source:ZFIN;Acc:ZDB-GENE-040724-203]"
"ENSDARG00000000369";"ENSDARG00000000369";"28 x 6";"72hpf_pos_gata5.1";"prkag3b";"protein kinase, AMP-activated, gamma 3b non-catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-060421-6938]"
"ENSDARG00000000666";"ENSDARG00000000666";"21 x 5";"72hpf_pos_gata5.1";"creg2";"cellular repressor of E1A-stimulated genes 2 [Source:ZFIN;Acc:ZDB-GENE-041114-173]"
"ENSDARG00000000804";"ENSDARG00000000804";"29 x 30";"24hpf_pos.1";"rassf6";"Ras association (RalGDS/AF-6) domain family 6 [Source:ZFIN;Acc:ZDB-GENE-030616-513]"
"ENSDARG00000000887";"ENSDARG00000000887";"13 x 1";"48hpf_pos";"zgc:56699";"zgc:56699 [Source:ZFIN;Acc:ZDB-GENE-040426-2099]"
"ENSDARG00000000935";"ENSDARG00000000935";"27 x 36";"24hpf_pos";"unk";"unkempt family zinc finger [Source:ZFIN;Acc:ZDB-GENE-040426-707]"
"ENSDARG00000001431";"ENSDARG00000001431";"1 x 8";"72hpf_pos.1";"actn3b";"actinin alpha 3b [Source:ZFIN;Acc:ZDB-GENE-030131-2040]"
"ENSDARG00000001463";"ENSDARG00000001463";"16 x 36";"72hpf_neg_gata5";"tdh2";"L-threonine dehydrogenase 2 [Source:ZFIN;Acc:ZDB-GENE-070620-14]"
"ENSDARG00000001782";"ENSDARG00000001782";"37 x 1";"24hpf_pos.1";"prkacba";"protein kinase, cAMP-dependent, catalytic, beta a [Source:ZFIN;Acc:ZDB-GENE-040426-1351]"
"ENSDARG00000001829";"ENSDARG00000001829";"18 x 38";"72hpf_neg_gata5";"zgc:112982";"zgc:112982 [Source:ZFIN;Acc:ZDB-GENE-050306-55]"
"ENSDARG00000001873";"ENSDARG00000001873";"20 x 40";"24hpf_neg";"phgdh";"phosphoglycerate dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-030131-647]"
"ENSDARG00000001879";"ENSDARG00000001879";"32 x 32";"24hpf_neg";"nav2b";"neuron navigator 2b [Source:ZFIN;Acc:ZDB-GENE-061207-13]"
"ENSDARG00000001898";"ENSDARG00000001898";"27 x 12";"72hpf_pos_tbx5.1";"manea";"mannosidase, endo-alpha [Source:ZFIN;Acc:ZDB-GENE-040912-87]"
"ENSDARG00000001953";"ENSDARG00000001953";"12 x 9";"72hpf_pos_hand2.1";"pfkfb3";"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2724]"
"ENSDARG00000001969";"ENSDARG00000001969";"35 x 15";"24hpf_pos.1";"txlng";"taxilin gamma [Source:ZFIN;Acc:ZDB-GENE-060616-122]"
"ENSDARG00000001994";"ENSDARG00000001994";"4 x 40";"72hpf_neg_tbx5";"stxbp1a";"syntaxin binding protein 1a [Source:ZFIN;Acc:ZDB-GENE-050626-106]"
"ENSDARG00000002013";"ENSDARG00000002013";"37 x 9";"72hpf_pos.1";"grb10a";"growth factor receptor-bound protein 10a [Source:ZFIN;Acc:ZDB-GENE-040822-32]"
"ENSDARG00000002128";"ENSDARG00000002128";"30 x 25";"24hpf_neg";"cwf19l1";"CWF19-like 1, cell cycle control [Source:ZFIN;Acc:ZDB-GENE-031204-5]"
"ENSDARG00000002220";"ENSDARG00000002220";"28 x 11";"72hpf_pos";"zgc:103692";"zgc:103692 [Source:ZFIN;Acc:ZDB-GENE-041010-15]"
"ENSDARG00000002259";"ENSDARG00000002259";"16 x 19";"72hpf_pos_gata5";"ca15c";"carbonic anhydrase XV c [Source:ZFIN;Acc:ZDB-GENE-061013-737]"
"ENSDARG00000002311";"ENSDARG00000002311";"23 x 15";"72hpf_pos_tbx5.1";"fabp11b";"fatty acid binding protein 11b [Source:ZFIN;Acc:ZDB-GENE-050522-391]"
"ENSDARG00000002377";"ENSDARG00000002377";"16 x 16";"72hpf_pos_gata5";"";"mitochondrial elongation factor 2 [Source:ZFIN;Acc:ZDB-GENE-060929-864]"
"ENSDARG00000002401";"ENSDARG00000002401";"3 x 16";"72hpf_pos.1";"gale";"UDP-galactose-4-epimerase [Source:ZFIN;Acc:ZDB-GENE-060421-6479]"
"ENSDARG00000002589";"ENSDARG00000002589";"1 x 7";"72hpf_pos.1";"mylpfb";"myosin light chain, phosphorylatable, fast skeletal muscle b [Source:ZFIN;Acc:ZDB-GENE-040912-115]"
"ENSDARG00000002635";"ENSDARG00000002635";"5 x 37";"72hpf_neg_tbx5";"zgc:85722";"zgc:85722 [Source:ZFIN;Acc:ZDB-GENE-040516-7]"
"ENSDARG00000002830";"ENSDARG00000002830";"36 x 30";"24hpf_pos";"trmt2a";"tRNA methyltransferase 2 homolog A [Source:ZFIN;Acc:ZDB-GENE-030131-6876]"
"ENSDARG00000002949";"ENSDARG00000002949";"27 x 3";"24hpf_pos";"ppp6c";"protein phosphatase 6, catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-040426-949]"
"ENSDARG00000002967";"ENSDARG00000002967";"7 x 15";"72hpf_pos_gata5.1";"pdap1b";"pdgfa associated protein 1b [Source:ZFIN;Acc:ZDB-GENE-040426-942]"
"ENSDARG00000002970";"ENSDARG00000002970";"17 x 36";"72hpf_neg_gata5";"ss18";"synovial sarcoma translocation, chromosome 18 (H. sapiens) [Source:ZFIN;Acc:ZDB-GENE-030131-4867]"
"ENSDARG00000003181";"ENSDARG00000003181";"14 x 16";"72hpf_pos_gata5";"sult1st4";"sulfotransferase family 1, cytosolic sulfotransferase 4 [Source:ZFIN;Acc:ZDB-GENE-040426-2054]"
"ENSDARG00000003193";"ENSDARG00000003193";"1 x 27";"72hpf_pos_gata5";"rassf7b";"Ras association (RalGDS/AF-6) domain family (N-terminal) member 7b [Source:ZFIN;Acc:ZDB-GENE-030429-1]"
"ENSDARG00000003259";"ENSDARG00000003259";"17 x 34";"72hpf_neg";"loxa";"lysyl oxidase a [Source:ZFIN;Acc:ZDB-GENE-040426-2398]"
"ENSDARG00000003290";"ENSDARG00000003290";"8 x 40";"72hpf_neg_tbx5";"dab1b";"Dab, reelin signal transducer, homolog 1b (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-060421-7958]"
"ENSDARG00000003313";"ENSDARG00000003313";"1 x 25";"72hpf_pos_gata5";"si:ch73-70c5.1";"si:ch73-70c5.1 [Source:ZFIN;Acc:ZDB-GENE-050506-143]"
"ENSDARG00000003320";"ENSDARG00000003320";"13 x 17";"72hpf_pos_gata5";"fam91a1";"family with sequence similarity 91, member A1 [Source:ZFIN;Acc:ZDB-GENE-040426-1187]"
"ENSDARG00000003373";"ENSDARG00000003373";"28 x 4";"72hpf_pos_gata5.1";"commd2";"COMM domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-040718-118]"
"ENSDARG00000003414";"ENSDARG00000003414";"21 x 31";"72hpf_neg_gata5";"";"calcyphosine-like b [Source:ZFIN;Acc:ZDB-GENE-050417-298]"
"ENSDARG00000003444";"ENSDARG00000003444";"29 x 1";"24hpf_pos.1";"dhrs7";"dehydrogenase/reductase (SDR family) member 7 [Source:ZFIN;Acc:ZDB-GENE-060825-21]"
"ENSDARG00000003486";"ENSDARG00000003486";"27 x 30";"24hpf_pos";"ppp1caa";"protein phosphatase 1, catalytic subunit, alpha isozyme a [Source:ZFIN;Acc:ZDB-GENE-040516-3]"
"ENSDARG00000003573";"ENSDARG00000003573";"15 x 4";"48hpf_pos";"dctn5";"dynactin 5 [Source:ZFIN;Acc:ZDB-GENE-040718-201]"
"ENSDARG00000003642";"ENSDARG00000003642";"12 x 6";"72hpf_pos.1";"";"zinc finger, FYVE domain containing 19 [Source:ZFIN;Acc:ZDB-GENE-040718-109]"
"ENSDARG00000003675";"ENSDARG00000003675";"8 x 1";"48hpf_pos";"cryl1";"crystallin, lambda 1 [Source:ZFIN;Acc:ZDB-GENE-060810-7]"
