"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000503";"ENSDARG00000000503";"1 x 40";"72hpf_neg_tbx5";"stx1b";"syntaxin 1B [Source:ZFIN;Acc:ZDB-GENE-000330-4]"
"ENSDARG00000001880";"ENSDARG00000001880";"17 x 32";"72hpf_neg_gata5";"stx3a";"syntaxin 3A [Source:ZFIN;Acc:ZDB-GENE-040426-1489]"
"ENSDARG00000003175";"ENSDARG00000003175";"10 x 17";"72hpf_pos_gata5";"stx5al";"syntaxin 5A, like [Source:ZFIN;Acc:ZDB-GENE-030131-1825]"
"ENSDARG00000003307";"ENSDARG00000003307";"24 x 36";"24hpf_pos";"stx16";"syntaxin 16 [Source:ZFIN;Acc:ZDB-GENE-060810-113]"
"ENSDARG00000004618";"ENSDARG00000004618";"8 x 15";"72hpf_pos_gata5";"stx2a";"syntaxin 2a [Source:ZFIN;Acc:ZDB-GENE-040801-80]"
"ENSDARG00000006869";"ENSDARG00000006869";"7 x 15";"72hpf_pos";"stx17";"syntaxin 17 [Source:ZFIN;Acc:ZDB-GENE-041114-164]"
"ENSDARG00000008414";"ENSDARG00000008414";"33 x 37";"24hpf_pos.1";"exoc3l2a";"exocyst complex component 3-like 2a [Source:ZFIN;Acc:ZDB-GENE-060526-343]"
"ENSDARG00000014582";"ENSDARG00000014582";"13 x 6";"72hpf_pos_tbx5.1";"exoc3";"exocyst complex component 3 [Source:ZFIN;Acc:ZDB-GENE-030131-5947]"
"ENSDARG00000023815";"ENSDARG00000023815";"25 x 36";"72hpf_pos";"uvrag";"UV radiation resistance associated gene [Source:ZFIN;Acc:ZDB-GENE-040426-924]"
"ENSDARG00000024116";"ENSDARG00000024116";"31 x 28";"72hpf_pos_gata5";"vamp8";"vesicle-associated membrane protein 8 (endobrevin) [Source:ZFIN;Acc:ZDB-GENE-030131-5215]"
"ENSDARG00000025033";"ENSDARG00000025033";"4 x 18";"72hpf_pos.1";"stx5a";"syntaxin 5A [Source:ZFIN;Acc:ZDB-GENE-040718-18]"
"ENSDARG00000026654";"ENSDARG00000026654";"40 x 21";"72hpf_pos";"gosr1";"golgi SNAP receptor complex member 1 [Source:ZFIN;Acc:ZDB-GENE-050417-133]"
"ENSDARG00000029290";"ENSDARG00000029290";"5 x 13";"72hpf_pos_gata5";"stx11b.1";"syntaxin 11b, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1893]"
"ENSDARG00000030775";"ENSDARG00000030775";"33 x 18";"72hpf_pos_gata5.1";"sybl1";"synaptobrevin-like 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1055]"
"ENSDARG00000030782";"ENSDARG00000030782";"11 x 11";"72hpf_pos_hand2";"exoc3l2b";"exocyst complex component 3-like 2b [Source:ZFIN;Acc:ZDB-GENE-100728-5]"
"ENSDARG00000031283";"ENSDARG00000031283";"12 x 35";"72hpf_neg_tbx5";"vamp1";"vesicle-associated membrane protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2725]"
"ENSDARG00000039270";"ENSDARG00000039270";"14 x 5";"72hpf_pos_hand2.1";"vti1b";"vesicle transport through interaction with t-SNAREs 1B [Source:ZFIN;Acc:ZDB-GENE-040426-1148]"
"ENSDARG00000042231";"ENSDARG00000042231";"10 x 19";"72hpf_pos_gata5";"stx11b.2";"syntaxin 11b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-050417-148]"
"ENSDARG00000042742";"ENSDARG00000042742";"3 x 14";"72hpf_pos_tbx5.1";"stx6";"syntaxin 6 [Source:ZFIN;Acc:ZDB-GENE-030131-858]"
"ENSDARG00000043416";"ENSDARG00000043416";"2 x 13";"72hpf_pos_tbx5.1";"tnfaip2a";"tumor necrosis factor, alpha-induced protein 2a [Source:ZFIN;Acc:ZDB-GENE-041210-301]"
