"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000563";"ENSDARG00000000563";"10 x 12";"72hpf_pos.1";"";"titin, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030616-413]"
"ENSDARG00000002571";"ENSDARG00000002571";"23 x 10";"72hpf_pos_gata5.1";"tmod2";"tropomodulin 2 [Source:ZFIN;Acc:ZDB-GENE-040912-185]"
"ENSDARG00000002952";"ENSDARG00000002952";"32 x 40";"24hpf_neg";"smo";"smoothened, frizzled class receptor [Source:ZFIN;Acc:ZDB-GENE-980526-89]"
"ENSDARG00000005513";"ENSDARG00000005513";"18 x 8";"24hpf_pos.1";"naca";"nascent polypeptide-associated complex alpha subunit [Source:ZFIN;Acc:ZDB-GENE-020423-4]"
"ENSDARG00000008433";"ENSDARG00000008433";"40 x 6";"72hpf_pos_hand2";"unc45b";"unc-45 myosin chaperone B [Source:ZFIN;Acc:ZDB-GENE-020919-3]"
"ENSDARG00000010478";"ENSDARG00000010478";"30 x 33";"24hpf_neg";"hsp90aa1.1";"heat shock protein 90, alpha (cytosolic), class A member 1, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-990415-94]"
"ENSDARG00000012311";"ENSDARG00000012311";"11 x 21";"72hpf_pos.1";"myoz2a";"myozenin 2a [Source:ZFIN;Acc:ZDB-GENE-040426-1880]"
"ENSDARG00000017229";"ENSDARG00000017229";"17 x 37";"72hpf_neg";"megf10";"multiple EGF-like-domains 10 [Source:ZFIN;Acc:ZDB-GENE-080506-1]"
"ENSDARG00000019342";"ENSDARG00000019342";"5 x 26";"72hpf_pos.1";"chrnd";"cholinergic receptor, nicotinic, delta (muscle) [Source:ZFIN;Acc:ZDB-GENE-030131-6665]"
"ENSDARG00000020953";"ENSDARG00000020953";"31 x 5";"24hpf_pos";"dnajb6b";"DnaJ (Hsp40) homolog, subfamily B, member 6b [Source:ZFIN;Acc:ZDB-GENE-040426-1122]"
"ENSDARG00000021987";"ENSDARG00000021987";"31 x 36";"72hpf_neg";"si:ch211-165e15.1";"plectin b [Source:ZFIN;Acc:ZDB-GENE-100917-2]"
"ENSDARG00000022101";"ENSDARG00000022101";"12 x 2";"72hpf_pos_hand2";"";"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF b [Source:ZFIN;Acc:ZDB-GENE-070119-5]"
"ENSDARG00000028213";"ENSDARG00000028213";"40 x 8";"72hpf_pos.1";"";"titin, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030113-2]"
"ENSDARG00000029069";"ENSDARG00000029069";"1 x 7";"72hpf_pos.1";"tnni2a.4";"troponin I type 2a (skeletal, fast), tandem duplicate 4 [Source:ZFIN;Acc:ZDB-GENE-040625-119]"
"ENSDARG00000030270";"ENSDARG00000030270";"1 x 9";"72hpf_pos.1";"tnnt3a";"troponin T type 3a (skeletal, fast) [Source:ZFIN;Acc:ZDB-GENE-000322-3]"
