"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002760";"ENSDARG00000002760";"3 x 32";"72hpf_neg";"gdf5";"growth differentiation factor 5 [Source:ZFIN;Acc:ZDB-GENE-990415-39]"
"ENSDARG00000003229";"ENSDARG00000003229";"27 x 23";"24hpf_neg";"gdf9";"growth differentiation factor 9 [Source:ZFIN;Acc:ZDB-GENE-050221-7]"
"ENSDARG00000005510";"ENSDARG00000005510";"40 x 7";"24hpf_pos.1";"gdf6b";"growth differentiation factor 6b [Source:ZFIN;Acc:ZDB-GENE-980526-442]"
"ENSDARG00000009511";"ENSDARG00000009511";"21 x 20";"72hpf_pos_hand2";"tnfa";"tumor necrosis factor a (TNF superfamily, member 2) [Source:ZFIN;Acc:ZDB-GENE-050317-1]"
"ENSDARG00000010700";"ENSDARG00000010700";"30 x 22";"24hpf_pos";"il17d";"interleukin 17d [Source:ZFIN;Acc:ZDB-GENE-061031-4]"
"ENSDARG00000012671";"ENSDARG00000012671";"6 x 29";"72hpf_neg_gata5";"inhbaa";"inhibin, beta Aa [Source:ZFIN;Acc:ZDB-GENE-000210-21]"
"ENSDARG00000013409";"ENSDARG00000013409";"33 x 37";"24hpf_pos.1";"bmp2a";"bone morphogenetic protein 2a [Source:ZFIN;Acc:ZDB-GENE-980526-388]"
"ENSDARG00000013598";"ENSDARG00000013598";"1 x 3";"72hpf_pos_hand2";"tnfb";"tumor necrosis factor b (TNF superfamily, member 2) [Source:ZFIN;Acc:ZDB-GENE-050601-2]"
"ENSDARG00000014309";"ENSDARG00000014309";"18 x 26";"72hpf_neg_tbx5";"spaw";"southpaw [Source:ZFIN;Acc:ZDB-GENE-030219-1]"
"ENSDARG00000015686";"ENSDARG00000015686";"38 x 38";"24hpf_pos";"bmp6";"bone morphogenetic protein 6 [Source:ZFIN;Acc:ZDB-GENE-050306-42]"
"ENSDARG00000018260";"ENSDARG00000018260";"29 x 24";"24hpf_neg";"bmp7a";"bone morphogenetic protein 7a [Source:ZFIN;Acc:ZDB-GENE-000208-25]"
"ENSDARG00000019367";"ENSDARG00000019367";"30 x 36";"72hpf_neg_gata5";"tgfb3";"transforming growth factor, beta 3 [Source:ZFIN;Acc:ZDB-GENE-030723-4]"
"ENSDARG00000019920";"ENSDARG00000019920";"26 x 23";"24hpf_neg";"lft1";"lefty1 [Source:ZFIN;Acc:ZDB-GENE-990630-10]"
"ENSDARG00000019995";"ENSDARG00000019995";"40 x 6";"24hpf_pos";"bmp4";"bone morphogenetic protein 4 [Source:ZFIN;Acc:ZDB-GENE-980528-2059]"
"ENSDARG00000024211";"ENSDARG00000024211";"21 x 30";"72hpf_neg_gata5";"ifng1-2";"interferon, gamma 1-2 [Source:ZFIN;Acc:ZDB-GENE-040629-1]"
"ENSDARG00000024759";"ENSDARG00000024759";"24 x 27";"72hpf_neg";"inhbab";"inhibin, beta Ab [Source:ZFIN;Acc:ZDB-GENE-050525-2]"
"ENSDARG00000025372";"ENSDARG00000025372";"21 x 22";"48hpf_neg";"admp";"anti-dorsalizing morphogenic protein [Source:ZFIN;Acc:ZDB-GENE-011214-1]"
"ENSDARG00000025607";"ENSDARG00000025607";"23 x 26";"72hpf_neg";"ifnphi1";"interferon phi 1 [Source:ZFIN;Acc:ZDB-GENE-030721-3]"
"ENSDARG00000027087";"ENSDARG00000027087";"6 x 27";"72hpf_pos.1";"tgfb2";"transforming growth factor, beta 2 [Source:ZFIN;Acc:ZDB-GENE-030723-3]"
"ENSDARG00000029546";"ENSDARG00000029546";"8 x 23";"72hpf_pos.1";"grem1a";"gremlin 1a, DAN family BMP antagonist [Source:ZFIN;Acc:ZDB-GENE-040625-1]"
"ENSDARG00000033727";"ENSDARG00000033727";"26 x 16";"48hpf_pos";"il12ba";"interleukin 12Ba [Source:ZFIN;Acc:ZDB-GENE-050525-3]"
"ENSDARG00000035435";"ENSDARG00000035435";"3 x 6";"72hpf_pos_hand2.1";"";"IL-6 subfamily cytokine M17 [Source:ZFIN;Acc:ZDB-GENE-060526-368]"
"ENSDARG00000035677";"ENSDARG00000035677";"35 x 9";"24hpf_pos.1";"bmp8a";"bone morphogenetic protein 8a [Source:ZFIN;Acc:ZDB-GENE-030912-13]"
"ENSDARG00000037859";"ENSDARG00000037859";"24 x 1";"72hpf_pos_tbx5";"il11a";"interleukin 11a [Source:ZFIN;Acc:ZDB-GENE-051019-1]"
"ENSDARG00000037995";"ENSDARG00000037995";"40 x 34";"24hpf_pos.1";"gdf3";"growth differentiation factor 3 [Source:ZFIN;Acc:ZDB-GENE-980526-389]"
"ENSDARG00000040777";"ENSDARG00000040777";"2 x 14";"72hpf_pos";"inhbb";"inhibin, beta B [Source:ZFIN;Acc:ZDB-GENE-990415-2]"
"ENSDARG00000041430";"ENSDARG00000041430";"17 x 38";"72hpf_neg_hand2";"";"bone morphogenetic protein 2b [Source:ZFIN;Acc:ZDB-GENE-980526-474]"
"ENSDARG00000041502";"ENSDARG00000041502";"17 x 33";"72hpf_neg_gata5";"tgfb1a";"transforming growth factor, beta 1a [Source:ZFIN;Acc:ZDB-GENE-030618-1]"
"ENSDARG00000041835";"ENSDARG00000041835";"19 x 28";"72hpf_pos_hand2";"ccl38a.5";"chemokine (C-C motif) ligand 38, duplicate 5 [Source:ZFIN;Acc:ZDB-GENE-041014-167]"
"ENSDARG00000041919";"ENSDARG00000041919";"21 x 6";"72hpf_pos_tbx5.1";"ccl38.1";"chemokine (C-C motif) ligand 38, duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-041014-320]"
"ENSDARG00000041923";"ENSDARG00000041923";"19 x 31";"72hpf_neg_gata5";"ccl38.6";"chemokine (C-C motif) ligand 38, duplicate 6 [Source:ZFIN;Acc:ZDB-GENE-041014-165]"
"ENSDARG00000041976";"ENSDARG00000041976";"25 x 27";"72hpf_neg";"il17a/f3";"interleukin 17a/f3 [Source:ZFIN;Acc:ZDB-GENE-041001-192]"
"ENSDARG00000042197";"ENSDARG00000042197";"21 x 23";"72hpf_neg_tbx5";"";"zmp:0000000611 [Source:ZFIN;Acc:ZDB-GENE-130530-614]"
"ENSDARG00000042784";"ENSDARG00000042784";"32 x 12";"24hpf_pos.1";"gdf7";"growth differentiation factor 7 [Source:ZFIN;Acc:ZDB-GENE-990714-1]"
"ENSDARG00000043933";"ENSDARG00000043933";"11 x 21";"72hpf_pos.1";"il17a/f1";"interleukin 17a/f1 [Source:ZFIN;Acc:ZDB-GENE-061031-3]"
"ENSDARG00000044059";"ENSDARG00000044059";"40 x 37";"24hpf_pos";"lft2";"lefty2 [Source:ZFIN;Acc:ZDB-GENE-990630-11]"
"ENSDARG00000044924";"ENSDARG00000044924";"10 x 40";"48hpf_neg";"gdf11";"growth differentiation factor 11 [Source:ZFIN;Acc:ZDB-GENE-040427-2]"
"ENSDARG00000045632";"ENSDARG00000045632";"39 x 15";"24hpf_pos.1";"";"bone morphogenetic protein 10, like [Source:ZFIN;Acc:ZDB-GENE-130530-629]"
"ENSDARG00000052361";"ENSDARG00000052361";"21 x 9";"72hpf_pos_gata5.1";"il15";"interleukin 15 [Source:ZFIN;Acc:ZDB-GENE-060213-2]"
"ENSDARG00000052433";"ENSDARG00000052433";"21 x 22";"24hpf_neg";"inha";"inhibin, alpha [Source:ZFIN;Acc:ZDB-GENE-060503-554]"
"ENSDARG00000053479";"ENSDARG00000053479";"40 x 40";"24hpf_pos.1";"gdf6a";"growth differentiation factor 6a [Source:ZFIN;Acc:ZDB-GENE-980526-373]"
"ENSDARG00000054542";"ENSDARG00000054542";"40 x 16";"24hpf_pos.1";"il12bb";"interleukin 12B, b [Source:ZFIN;Acc:ZDB-GENE-030131-7937]"
"ENSDARG00000057096";"ENSDARG00000057096";"32 x 1";"24hpf_pos.1";"ndr1";"nodal-related 1 [Source:ZFIN;Acc:ZDB-GENE-990415-256]"
"ENSDARG00000057180";"ENSDARG00000057180";"18 x 28";"72hpf_neg_gata5";"";"interleukin 17c [Source:ZFIN;Acc:ZDB-GENE-061031-5]"
"ENSDARG00000057241";"ENSDARG00000057241";"4 x 29";"72hpf_neg_gata5";"tnfsf10";"TNF superfamily member 10 [Source:ZFIN;Acc:ZDB-GENE-040718-335]"
"ENSDARG00000058389";"ENSDARG00000058389";"10 x 22";"72hpf_pos.1";"ccl19a.1";"chemokine (C-C motif) ligand 19a, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-060526-181]"
"ENSDARG00000058557";"ENSDARG00000058557";"24 x 18";"72hpf_pos_hand2";"LOC108180095";"interleukin 11b [Source:ZFIN;Acc:ZDB-GENE-051019-2]"
"ENSDARG00000059173";"ENSDARG00000059173";"28 x 19";"72hpf_pos_hand2.1";"gdf2";"growth differentiation factor 2 [Source:ZFIN;Acc:ZDB-GENE-100107-1]"
"ENSDARG00000060526";"ENSDARG00000060526";"35 x 40";"24hpf_pos.1";"bmp3";"bone morphogenetic protein 3 [Source:ZFIN;Acc:ZDB-GENE-030131-7192]"
"ENSDARG00000061769";"ENSDARG00000061769";"40 x 6";"48hpf_pos.1";"bmp10";"bone morphogenetic protein 10 [Source:ZFIN;Acc:ZDB-GENE-060526-211]"
"ENSDARG00000063230";"ENSDARG00000063230";"40 x 6";"48hpf_pos.1";"bmp7b";"bone morphogenetic protein 7b [Source:ZFIN;Acc:ZDB-GENE-060929-328]"
"ENSDARG00000067814";"ENSDARG00000067814";"20 x 23";"72hpf_neg_tbx5";"zmp:0000001127";"zmp:0000001127 [Source:ZFIN;Acc:ZDB-GENE-140106-87]"
"ENSDARG00000068263";"ENSDARG00000068263";"7 x 24";"72hpf_pos.1";"csf1b";"colony stimulating factor 1b (macrophage) [Source:ZFIN;Acc:ZDB-GENE-061215-106]"
"ENSDARG00000069133";"ENSDARG00000069133";"9 x 25";"72hpf_pos.1";"mstnb";"myostatin b [Source:ZFIN;Acc:ZDB-GENE-990415-165]"
"ENSDARG00000070676";"ENSDARG00000070676";"30 x 19";"72hpf_pos_tbx5.1";"ifnphi3";"interferon phi 3 [Source:ZFIN;Acc:ZDB-GENE-071128-2]"
"ENSDARG00000071879";"ENSDARG00000071879";"4 x 26";"72hpf_pos.1";"tgfb2l";"transforming growth factor, beta 2, like [Source:ZFIN;Acc:ZDB-GENE-130425-3]"
"ENSDARG00000073891";"ENSDARG00000073891";"6 x 27";"72hpf_pos.1";"gdf10b";"growth differentiation factor 10b [Source:ZFIN;Acc:ZDB-GENE-120316-1]"
"ENSDARG00000074487";"ENSDARG00000074487";"37 x 12";"24hpf_pos.1";"LOC101883994";""
"ENSDARG00000074662";"ENSDARG00000074662";"38 x 16";"24hpf_pos.1";"cntf";"ciliary neurotrophic factor [Source:ZFIN;Acc:ZDB-GENE-090313-176]"
"ENSDARG00000075045";"ENSDARG00000075045";"19 x 6";"24hpf_pos.1";"cxcl18b";"chemokine (C-X-C motif) ligand 18b [Source:ZFIN;Acc:ZDB-GENE-090313-165]"
"ENSDARG00000075343";"ENSDARG00000075343";"17 x 40";"72hpf_neg_hand2";"csf1a";"colony stimulating factor 1a (macrophage) [Source:ZFIN;Acc:ZDB-GENE-080204-107]"
"ENSDARG00000076140";"ENSDARG00000076140";"31 x 38";"24hpf_pos.1";"clcf1";"cardiotrophin-like cytokine factor 1 [Source:ZFIN;Acc:ZDB-GENE-110411-244]"
"ENSDARG00000076569";"ENSDARG00000076569";"23 x 31";"72hpf_neg_gata5";"ndp";"Norrie disease (pseudoglioma) [Source:ZFIN;Acc:ZDB-GENE-060216-2]"
"ENSDARG00000078147";"ENSDARG00000078147";"36 x 15";"24hpf_pos.1";"il10";"interleukin 10 [Source:ZFIN;Acc:ZDB-GENE-051111-1]"
"ENSDARG00000079158";"ENSDARG00000079158";"37 x 15";"24hpf_pos.1";"thpo";"thrombopoietin [Source:ZFIN;Acc:ZDB-GENE-110510-1]"
"ENSDARG00000079333";"ENSDARG00000079333";"7 x 20";"72hpf_pos.1";"cd40lg";"CD40 ligand [Source:ZFIN;Acc:ZDB-GENE-100727-1]"
"ENSDARG00000089383";"ENSDARG00000089383";"13 x 8";"72hpf_pos_hand2.1";"il1fma";"interleukin-1 family member A [Source:ZFIN;Acc:ZDB-GENE-140106-231]"
"ENSDARG00000092845";"ENSDARG00000092845";"28 x 22";"24hpf_neg";"";"si:dkey-66g10.2 [Source:ZFIN;Acc:ZDB-GENE-090313-321]"
"ENSDARG00000093779";"ENSDARG00000093779";"23 x 16";"72hpf_pos_tbx5.1";"cxcl11.7";"chemokine (C-X-C motif) ligand 11, duplicate 7 [Source:ZFIN;Acc:ZDB-GENE-060526-79]"
"ENSDARG00000094511";"ENSDARG00000094511";"21 x 20";"72hpf_pos_hand2";"ccl20b";"chemokine (C-C motif) ligand 20b [Source:ZFIN;Acc:ZDB-GENE-091204-95]"
"ENSDARG00000094706";"ENSDARG00000094706";"23 x 15";"72hpf_pos_tbx5.1";"cxcl11.6";"chemokine (C-X-C motif) ligand 11, duplicate 6 [Source:ZFIN;Acc:ZDB-GENE-060526-78]"
"ENSDARG00000095049";"ENSDARG00000095049";"15 x 8";"72hpf_pos_hand2.1";"";"chemokine (C-C motif) ligand 32a, duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-070912-30]"
"ENSDARG00000095378";"ENSDARG00000095378";"34 x 40";"72hpf_neg_gata5";"gdf10a";"growth differentiation factor 10a [Source:ZFIN;Acc:ZDB-GENE-090312-17]"
"ENSDARG00000095939";"ENSDARG00000095939";"23 x 19";"72hpf_pos_hand2.1";"si:ch73-226l13.2";"si:ch73-226l13.2 [Source:ZFIN;Acc:ZDB-GENE-110411-18]"
"ENSDARG00000098700";"ENSDARG00000098700";"2 x 5";"72hpf_pos_hand2";"il1b";"interleukin 1, beta [Source:ZFIN;Acc:ZDB-GENE-040702-2]"
"ENSDARG00000099693";"ENSDARG00000099693";"22 x 16";"72hpf_pos_tbx5.1";"LOC567472";""
"ENSDARG00000100986";"ENSDARG00000100986";"9 x 22";"72hpf_pos.1";"LOC100329520";"inhibin beta E subunit [Source:HGNC Symbol;Acc:HGNC:24029]"
"ENSDARG00000101040";"ENSDARG00000101040";"19 x 25";"72hpf_neg_tbx5";"ccl20a.3";"chemokine (C-C motif) ligand 20a, duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-081022-193]"
"ENSDARG00000101415";"ENSDARG00000101415";"25 x 23";"24hpf_neg";"";""
"ENSDARG00000102299";"ENSDARG00000102299";"23 x 10";"72hpf_pos_gata5.1";"cxcl8b.1";"chemokine (C-X-C motif) ligand 8b, duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-101026-3]"
"ENSDARG00000103092";"ENSDARG00000103092";"26 x 40";"48hpf_neg";"grem2b";"gremlin 2, DAN family BMP antagonist b [Source:ZFIN;Acc:ZDB-GENE-030911-9]"
"ENSDARG00000103892";"ENSDARG00000103892";"32 x 36";"24hpf_pos.1";"";""
"ENSDARG00000104795";"ENSDARG00000104795";"11 x 8";"72hpf_pos_hand2";"cxcl8a";"chemokine (C-X-C motif) ligand 8a [Source:ZFIN;Acc:ZDB-GENE-081104-317]"
"ENSDARG00000105048";"ENSDARG00000105048";"11 x 16";"72hpf_pos_tbx5.1";"LOC101885590";""
"ENSDARG00000105263";"ENSDARG00000105263";"25 x 20";"72hpf_pos_tbx5";"ccl36.1";"chemokine (C-C motif) ligand 36, duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-140718-2]"
